hour_index_0based,local_ac_w,official_replay_ac_w,absolute_difference_w,exact_match
197,0.0,0.0,0.0,True
198,0.0,0.0,0.0,True
199,35.577,35.577,0.0,True
200,351.587,351.587,0.0,True
201,527.042,527.042,0.0,True
202,629.283,629.283,0.0,True
203,664.341,664.341,0.0,True
204,641.596,641.596,0.0,True
205,590.42,590.42,0.0,True
206,489.603,489.603,0.0,True
207,328.474,328.474,0.0,True
208,50.703,50.703,0.0,True
209,0.0,0.0,0.0,True
210,0.0,0.0,0.0,True
211,0.0,0.0,0.0,True
212,0.0,0.0,0.0,True
213,0.0,0.0,0.0,True
214,0.0,0.0,0.0,True
215,0.0,0.0,0.0,True
216,0.0,0.0,0.0,True
217,0.0,0.0,0.0,True
218,0.0,0.0,0.0,True
219,0.0,0.0,0.0,True
220,0.0,0.0,0.0,True
221,0.0,0.0,0.0,True
222,0.0,0.0,0.0,True
223,25.625,25.625,0.0,True
224,270.75,270.75,0.0,True
225,304.516,304.516,0.0,True
226,448.755,448.755,0.0,True
227,353.519,353.519,0.0,True
228,424.957,424.957,0.0,True
229,268.513,268.513,0.0,True
230,290.621,290.621,0.0,True
231,276.758,276.758,0.0,True
232,12.7,12.7,0.0,True
233,0.0,0.0,0.0,True
234,0.0,0.0,0.0,True
235,0.0,0.0,0.0,True
236,0.0,0.0,0.0,True
237,0.0,0.0,0.0,True
238,0.0,0.0,0.0,True
239,0.0,0.0,0.0,True
240,0.0,0.0,0.0,True
241,0.0,0.0,0.0,True
242,0.0,0.0,0.0,True
243,0.0,0.0,0.0,True
244,0.0,0.0,0.0,True
245,0.0,0.0,0.0,True
246,0.0,0.0,0.0,True
247,63.432,63.432,0.0,True
248,264.54,264.54,0.0,True
249,478.811,478.811,0.0,True
250,592.685,592.685,0.0,True
251,652.05,652.05,0.0,True
252,656.282,656.282,0.0,True
253,607.852,607.852,0.0,True
254,501.018,501.018,0.0,True
255,221.604,221.604,0.0,True
256,90.237,90.237,0.0,True
257,0.0,0.0,0.0,True
258,0.0,0.0,0.0,True
259,0.0,0.0,0.0,True
260,0.0,0.0,0.0,True
261,0.0,0.0,0.0,True
262,0.0,0.0,0.0,True
263,0.0,0.0,0.0,True
264,0.0,0.0,0.0,True
265,0.0,0.0,0.0,True
266,0.0,0.0,0.0,True
267,0.0,0.0,0.0,True
268,0.0,0.0,0.0,True
269,0.0,0.0,0.0,True
270,0.0,0.0,0.0,True
271,75.43,75.43,0.0,True
272,90.891,90.891,0.0,True
273,487.454,487.454,0.0,True
274,598.653,598.653,0.0,True
275,643.645,643.645,0.0,True
276,637.712,637.712,0.0,True
277,587.713,587.713,0.0,True
278,494.867,494.867,0.0,True
279,327.762,327.762,0.0,True
280,93.242,93.242,0.0,True
281,0.0,0.0,0.0,True
282,0.0,0.0,0.0,True
283,0.0,0.0,0.0,True
284,0.0,0.0,0.0,True
285,0.0,0.0,0.0,True
286,0.0,0.0,0.0,True
287,0.0,0.0,0.0,True
288,0.0,0.0,0.0,True
289,0.0,0.0,0.0,True
290,0.0,0.0,0.0,True
291,0.0,0.0,0.0,True
292,0.0,0.0,0.0,True
293,0.0,0.0,0.0,True
294,0.0,0.0,0.0,True
295,85.232,85.232,0.0,True
296,322.604,322.604,0.0,True
297,487.047,487.047,0.0,True
298,586.748,586.748,0.0,True
299,647.721,647.721,0.0,True
300,648.472,648.472,0.0,True
301,599.777,599.777,0.0,True
302,491.104,491.104,0.0,True
303,321.09,321.09,0.0,True
304,89.422,89.422,0.0,True
305,0.0,0.0,0.0,True
306,0.0,0.0,0.0,True
307,0.0,0.0,0.0,True
308,0.0,0.0,0.0,True
309,0.0,0.0,0.0,True
310,0.0,0.0,0.0,True
311,0.0,0.0,0.0,True
312,0.0,0.0,0.0,True
313,0.0,0.0,0.0,True
314,0.0,0.0,0.0,True
315,0.0,0.0,0.0,True
316,0.0,0.0,0.0,True
317,0.0,0.0,0.0,True
318,0.0,0.0,0.0,True
319,97.581,97.581,0.0,True
320,348.393,348.393,0.0,True
321,523.118,523.118,0.0,True
322,629.481,629.481,0.0,True
323,674.989,674.989,0.0,True
324,661.009,661.009,0.0,True
325,474.322,474.322,0.0,True
326,500.585,500.585,0.0,True
327,343.912,343.912,0.0,True
328,107.446,107.446,0.0,True
329,0.0,0.0,0.0,True
330,0.0,0.0,0.0,True
331,0.0,0.0,0.0,True
332,0.0,0.0,0.0,True
333,0.0,0.0,0.0,True
334,0.0,0.0,0.0,True
335,0.0,0.0,0.0,True
336,0.0,0.0,0.0,True
337,0.0,0.0,0.0,True
338,0.0,0.0,0.0,True
339,0.0,0.0,0.0,True
340,0.0,0.0,0.0,True
341,0.0,0.0,0.0,True
342,0.0,0.0,0.0,True
343,40.221,40.221,0.0,True
344,287.0,287.0,0.0,True
345,488.99,488.99,0.0,True
346,464.523,464.523,0.0,True
347,448.15,448.15,0.0,True
348,637.368,637.368,0.0,True
349,590.368,590.368,0.0,True
350,330.615,330.615,0.0,True
351,81.471,81.471,0.0,True
352,6.4,6.4,0.0,True
353,0.0,0.0,0.0,True
354,0.0,0.0,0.0,True
355,0.0,0.0,0.0,True
356,0.0,0.0,0.0,True
357,0.0,0.0,0.0,True
358,0.0,0.0,0.0,True
359,0.0,0.0,0.0,True
360,0.0,0.0,0.0,True
361,0.0,0.0,0.0,True
362,0.0,0.0,0.0,True
363,0.0,0.0,0.0,True
364,0.0,0.0,0.0,True
365,0.0,0.0,0.0,True
366,0.0,0.0,0.0,True
367,27.025,27.025,0.0,True
368,312.981,312.981,0.0,True
369,490.083,490.083,0.0,True
370,607.361,607.361,0.0,True
371,668.76,668.76,0.0,True
372,673.439,673.439,0.0,True
373,618.181,618.181,0.0,True
374,509.431,509.431,0.0,True
375,337.087,337.087,0.0,True
376,69.792,69.792,0.0,True
377,0.0,0.0,0.0,True
378,0.0,0.0,0.0,True
379,0.0,0.0,0.0,True
380,0.0,0.0,0.0,True
381,0.0,0.0,0.0,True
382,0.0,0.0,0.0,True
383,0.0,0.0,0.0,True
384,0.0,0.0,0.0,True
385,0.0,0.0,0.0,True
386,0.0,0.0,0.0,True
387,0.0,0.0,0.0,True
388,0.0,0.0,0.0,True
389,0.0,0.0,0.0,True
390,0.0,0.0,0.0,True
391,87.934,87.934,0.0,True
392,22.581,22.581,0.0,True
393,108.351,108.351,0.0,True
394,302.737,302.737,0.0,True
395,453.901,453.901,0.0,True
396,664.741,664.741,0.0,True
397,611.192,611.192,0.0,True
398,506.443,506.443,0.0,True
399,336.706,336.706,0.0,True
400,110.218,110.218,0.0,True
401,0.0,0.0,0.0,True
402,0.0,0.0,0.0,True
403,0.0,0.0,0.0,True
404,0.0,0.0,0.0,True
405,0.0,0.0,0.0,True
406,0.0,0.0,0.0,True
407,0.0,0.0,0.0,True
408,0.0,0.0,0.0,True
409,0.0,0.0,0.0,True
410,0.0,0.0,0.0,True
