controller,state_id,day,step,repetition,elapsed_ms,qp_execution_path,executed_battery_power_kw,soc_after_kwh,grid_violation_kw
DischargeBias+QP,12,264,48,3,3.6963,phase2_solution,0.9999987295753993,224.73684243958542,39.68716319298672
DischargeBias+QP,12,264,48,4,3.708,phase2_solution,0.9999987295753993,224.73684243958542,39.68716319298672
DischargeBias+QP,12,264,48,5,3.7128,phase2_solution,0.9999987295753993,224.73684243958542,39.68716319298672
DischargeBias+QP,13,264,72,1,1.3486,hard_qp_solution,45.000000012019036,213.15789472747605,0.0
DischargeBias+QP,13,264,72,2,1.3241,hard_qp_solution,45.000000012019036,213.15789472747605,0.0
DischargeBias+QP,13,264,72,3,1.3216,hard_qp_solution,45.000000012019036,213.15789472747605,0.0
DischargeBias+QP,13,264,72,4,1.3203,hard_qp_solution,45.000000012019036,213.15789472747605,0.0
DischargeBias+QP,13,264,72,5,1.3258,hard_qp_solution,45.000000012019036,213.15789472747605,0.0
DischargeBias+QP,14,264,95,1,1.4345,hard_qp_solution,99.99999998575731,125.0,0.0
DischargeBias+QP,14,264,95,2,1.4534,hard_qp_solution,99.99999998575731,125.0,0.0
DischargeBias+QP,14,264,95,3,1.4442,hard_qp_solution,99.99999998575731,125.0,0.0
DischargeBias+QP,14,264,95,4,1.5399,hard_qp_solution,99.99999998575731,125.0,0.0
DischargeBias+QP,14,264,95,5,1.5156,hard_qp_solution,99.99999998575731,125.0,0.0
DischargeBias+QP,15,276,0,1,1.3484,hard_qp_solution,45.0,113.15789473684211,0.0
DischargeBias+QP,15,276,0,2,1.3423,hard_qp_solution,45.0,113.15789473684211,0.0
DischargeBias+QP,15,276,0,3,1.3164,hard_qp_solution,45.0,113.15789473684211,0.0
DischargeBias+QP,15,276,0,4,1.3175,hard_qp_solution,45.0,113.15789473684211,0.0
DischargeBias+QP,15,276,0,5,1.3199,hard_qp_solution,45.0,113.15789473684211,0.0
DischargeBias+QP,16,276,24,1,1.3157,hard_qp_solution,45.00000000870353,154.72039463834454,0.0
DischargeBias+QP,16,276,24,2,1.3411,hard_qp_solution,45.00000000870353,154.72039463834454,0.0
DischargeBias+QP,16,276,24,3,1.3965,hard_qp_solution,45.00000000870353,154.72039463834454,0.0
DischargeBias+QP,16,276,24,4,1.3482,hard_qp_solution,45.00000000870353,154.72039463834454,0.0
DischargeBias+QP,16,276,24,5,1.3332,hard_qp_solution,45.00000000870353,154.72039463834454,0.0
DischargeBias+QP,17,276,48,1,3.7208,phase2_solution,0.9999993887553245,224.736842266117,29.343698343390816
DischargeBias+QP,17,276,48,2,3.8997,phase2_solution,0.9999993887553245,224.736842266117,29.343698343390816
DischargeBias+QP,17,276,48,3,3.7236,phase2_solution,0.9999993887553245,224.736842266117,29.343698343390816
DischargeBias+QP,17,276,48,4,3.7018,phase2_solution,0.9999993887553245,224.736842266117,29.343698343390816
DischargeBias+QP,17,276,48,5,3.7274,phase2_solution,0.9999993887553245,224.736842266117,29.343698343390816
DischargeBias+QP,18,276,72,1,1.3305,hard_qp_solution,44.99999999999994,213.15789473380187,0.0
DischargeBias+QP,18,276,72,2,1.3185,hard_qp_solution,44.99999999999994,213.15789473380187,0.0
DischargeBias+QP,18,276,72,3,1.319,hard_qp_solution,44.99999999999994,213.15789473380187,0.0
DischargeBias+QP,18,276,72,4,1.486,hard_qp_solution,44.99999999999994,213.15789473380187,0.0
DischargeBias+QP,18,276,72,5,1.3532,hard_qp_solution,44.99999999999994,213.15789473380187,0.0
DischargeBias+QP,19,276,95,1,1.4476,hard_qp_solution,99.9999999857749,125.0,0.0
DischargeBias+QP,19,276,95,2,1.4716,hard_qp_solution,99.9999999857749,125.0,0.0
DischargeBias+QP,19,276,95,3,1.4563,hard_qp_solution,99.9999999857749,125.0,0.0
DischargeBias+QP,19,276,95,4,1.4683,hard_qp_solution,99.9999999857749,125.0,0.0
DischargeBias+QP,19,276,95,5,1.4418,hard_qp_solution,99.9999999857749,125.0,0.0
DischargeBias+QP,20,288,0,1,1.3377,hard_qp_solution,45.0,113.15789473684211,0.0
DischargeBias+QP,20,288,0,2,1.3285,hard_qp_solution,45.0,113.15789473684211,0.0
DischargeBias+QP,20,288,0,3,1.3137,hard_qp_solution,45.0,113.15789473684211,0.0
DischargeBias+QP,20,288,0,4,1.3212,hard_qp_solution,45.0,113.15789473684211,0.0
DischargeBias+QP,20,288,0,5,1.3325,hard_qp_solution,45.0,113.15789473684211,0.0
DischargeBias+QP,21,288,24,1,1.3454,hard_qp_solution,45.00000000870748,171.34539464606092,0.0
DischargeBias+QP,21,288,24,2,1.3233,hard_qp_solution,45.00000000870748,171.34539464606092,0.0
DischargeBias+QP,21,288,24,3,1.3199,hard_qp_solution,45.00000000870748,171.34539464606092,0.0
DischargeBias+QP,21,288,24,4,1.3137,hard_qp_solution,45.00000000870748,171.34539464606092,0.0
DischargeBias+QP,21,288,24,5,1.3178,hard_qp_solution,45.00000000870748,171.34539464606092,0.0
DischargeBias+QP,22,288,48,1,1.3123,hard_qp_solution,9.663704701346656,160.0378274226689,0.0
DischargeBias+QP,22,288,48,2,1.339,hard_qp_solution,9.663704701346656,160.0378274226689,0.0
DischargeBias+QP,22,288,48,3,1.3175,hard_qp_solution,9.663704701346656,160.0378274226689,0.0
DischargeBias+QP,22,288,48,4,1.3269,hard_qp_solution,9.663704701346656,160.0378274226689,0.0
DischargeBias+QP,22,288,48,5,1.3125,hard_qp_solution,9.663704701346656,160.0378274226689,0.0
DischargeBias+QP,23,288,72,1,1.3256,hard_qp_solution,45.000000008143836,191.68284077968656,0.0
DischargeBias+QP,23,288,72,2,1.3185,hard_qp_solution,45.000000008143836,191.68284077968656,0.0
DischargeBias+QP,23,288,72,3,1.3591,hard_qp_solution,45.000000008143836,191.68284077968656,0.0
DischargeBias+QP,23,288,72,4,1.3654,hard_qp_solution,45.000000008143836,191.68284077968656,0.0
DischargeBias+QP,23,288,72,5,1.3449,hard_qp_solution,45.000000008143836,191.68284077968656,0.0
DischargeBias+QP,24,288,95,1,1.4423,hard_qp_solution,99.99999998083672,125.0,0.0
DischargeBias+QP,24,288,95,2,1.456,hard_qp_solution,99.99999998083672,125.0,0.0
DischargeBias+QP,24,288,95,3,1.4741,hard_qp_solution,99.99999998083672,125.0,0.0
DischargeBias+QP,24,288,95,4,1.4531,hard_qp_solution,99.99999998083672,125.0,0.0
DischargeBias+QP,24,288,95,5,1.4758,hard_qp_solution,99.99999998083672,125.0,0.0
