controller,day,step,soc_before,ev_before,price,carbon_signal,reward,ev_power_kw,p,soc,grid_import,grid_export,grid_violation,correction,qp_execution_path,endpoint_minimum_violation_kw,endpoint_infeasible,feasible_state_violation,extra_excess_energy_kwh_step,power_lower_kw,power_upper_kw,ev_lower_fraction,ev_upper_fraction,base_load_minus_pv_kw,lighting_kw,soc_kwh,target_kwh,remaining_steps,physical_lower_kw,physical_upper_kw,terminal_lower_kw,terminal_upper_kw,terminal_physical_gap_kw,tolerance_kw,terminal_roundoff_repair,terminal_ramp_relaxation,terminal_ramp_gap_kw,terminal_target_conflict_step,battery_proposal,battery_correction_squared,ev_proposal,ev_correction_squared,lighting_proposal,lighting_correction_squared,ramp_kw,ramp_slack_kw,forced_full_charge,charge_kwh
DischargeBias+QP,300,0,125.0,34.95093840002569,0.08107647540765808,0.13588918448643308,-9.032870298098066,59.99999999208945,45.0,113.15789473684211,142.70998765114612,0.0,0.0,0.55,hard_qp_solution,0.0,0,0,0.0,-45.0,45.0,0.0,1.0,97.70998765905667,30.0,125.0,125.0,96,-100.0,100.0,-421.0526315789474,380.0,-200.0,3.7999999999999996e-08,0,0,0.0,0,1.0,0.30250000000000005,1.0,6.952981813216611e-20,1.0,0.0,45.0,0.0,False,0.0
DischargeBias+QP,300,1,113.15789473684211,19.95093840200333,0.08226979101294608,0.14559980521795038,-6.8425511508924135,59.999999993776875,90.0,89.47368421052632,100.75670269482112,0.0,0.0,0.09999999999999998,hard_qp_solution,0.0,0,0,0.0,0.0,90.0,0.0,1.0,100.75670270104425,30.0,113.15789473684211,125.0,95,-100.0,100.0,-470.9141274238227,335.0,-200.0,3.7999999999999996e-08,0,0,0.0,0,1.0,0.009999999999999995,1.0,4.303027516355195e-20,1.0,0.0,45.0,0.0,False,0.0
DischargeBias+QP,300,2,89.47368421052632,4.950938403559112,0.07685231850015813,0.14378161323084276,-2.7799600216077445,19.803753578110587,100.0,63.1578947368421,41.163841698499255,0.0,0.0,1.2041954100538987e-09,hard_qp_solution,0.0,0,0,0.0,45.0,100.0,0.0,0.33006256023727415,91.36008812038865,30.0,89.47368421052632,125.0,94,-100.0,100.0,-570.6371191135735,244.99999999999997,-200.0,3.7999999999999996e-08,0,0,0.0,0,1.0,0.0,-0.3398748795254517,1.4500865855948773e-18,1.0,0.0,10.0,0.0,False,0.0
DischargeBias+QP,300,3,63.1578947368421,9.031465353359636e-09,0.07717459534133662,0.14628566460091813,-1.9181731603511007,2.158710876720704e-08,100.0,36.84210526315789,27.75577125395786,0.0,0.0,4.84625117813664e-10,hard_qp_solution,0.0,0,0,0.0,55.0,100.0,0.0,6.020976902239757e-10,97.75577123237075,30.0,63.1578947368421,125.0,93,-100.0,100.0,-681.4404432132964,144.99999999999997,-200.0,3.7999999999999996e-08,0,0,0.0,0,1.0,0.0,-0.9999999987958046,2.3486150481590773e-19,1.0,0.0,0.0,0.0,False,0.0
DischargeBias+QP,300,4,36.84210526315789,3.6346881615578752e-09,0.07300743358818049,0.13949780424289807,-5.392064183924648,7.589712192057618e-09,44.99999999999998,25.0,83.20829625174622,0.0,0.0,0.5500000000000003,hard_qp_solution,0.0,0,0,0.0,-100.0,44.99999999999998,0.0,2.4231254410385835e-10,98.20829624415647,30.0,36.84210526315789,125.0,92,-100.0,44.99999999999998,-792.2437673130195,44.99999999999998,-144.99999999999997,3.7999999999999996e-08,0,0,0.0,0,1.0,0.30250000000000027,-0.9999999995153749,5.365463953080165e-20,1.0,0.0,55.00000000000002,10.000000000000021,False,0.0
DischargeBias+QP,300,5,25.0,1.7372601135434707e-09,0.0718727522456265,0.14303075735881723,-8.552384642467821,0.0,0.0,25.0,129.2669192220634,0.0,0.0,1.0,hard_qp_solution,0.0,0,0,0.0,-2.1316282072803006e-14,0.0,0.0,1.1581734090289805e-10,99.2669192220634,30.0,25.0,125.0,91,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,1.0,1.0,-0.9999999997683653,5.365463953080165e-20,1.0,0.0,44.99999999999998,0.0,False,-0.0
DischargeBias+QP,300,6,25.0,1.7372601135434707e-09,0.08260935642506055,0.13434145603356956,-7.883151968682504,3.410685067706254e-09,0.0,25.0,126.09232311899464,0.0,0.0,1.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,1.1581734090289805e-10,96.09232311558395,30.0,25.0,125.0,90,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,1.0,1.0,-0.9999999997683653,1.3911072362585624e-20,1.0,0.0,0.0,0.0,False,-0.0
DischargeBias+QP,300,7,25.0,8.845888466169072e-10,0.08182557301918489,0.14082608309838643,-8.197536908971992,6.803624330586899e-10,0.0,25.0,125.31130595606187,0.0,0.0,1.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,5.897258977446048e-11,95.31130595538151,30.0,25.0,125.0,89,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,1.0,1.0,-0.9999999998820548,9.075698665056963e-21,1.0,0.0,0.0,0.0,False,-0.0
DischargeBias+QP,300,8,25.0,7.144982383522347e-10,0.08471392155495334,0.13357221553108053,-7.3072893332869855,1.0550560425315325e-10,0.0,25.0,117.43268486523141,0.0,0.0,1.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,4.7633215890148977e-11,87.4326848651259,30.0,25.0,125.0,88,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,1.0,1.0,-0.9999999999047335,8.417990551847956e-21,1.0,0.0,0.0,0.0,False,-0.0
DischargeBias+QP,300,9,25.0,6.881218372889464e-10,0.0744538901665164,0.1454894223693633,-8.216592292992473,1.3385959007905512e-11,0.0,25.0,122.0317628024478,0.0,0.0,1.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,4.587478915259642e-11,92.03176280243441,30.0,25.0,125.0,87,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,1.0,1.0,-0.9999999999082504,8.336312545702584e-21,1.0,0.0,0.0,0.0,False,-0.0
DischargeBias+QP,300,10,25.0,6.8477534753697e-10,0.07645724035594254,0.14277761505824949,-8.020580941739007,1.695310558602614e-12,0.0,25.0,121.22757467870446,0.0,0.0,1.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,4.5651689835798e-11,91.22757467870277,30.0,25.0,125.0,86,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,1.0,1.0,-0.9999999999086966,8.32599656353682e-21,1.0,0.0,0.0,0.0,False,-0.0
DischargeBias+QP,300,11,25.0,6.843515198973193e-10,0.07961438426311146,0.1542662604549804,-8.762412420734531,2.1649348980190553e-13,0.0,25.0,122.70537354762062,0.0,0.0,1.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,4.562343465982129e-11,92.70537354762041,30.0,25.0,125.0,85,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,1.0,1.0,-0.9999999999087531,8.324679658308499e-21,1.0,0.0,0.0,0.0,False,-0.0
DischargeBias+QP,300,12,25.0,6.842973965248689e-10,0.08058897870247768,0.14016131423827732,-8.057426723879388,2.6645352591003757e-14,0.0,25.0,123.79411588242559,0.0,0.0,1.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,4.5619826434991255e-11,93.79411588242556,30.0,25.0,125.0,84,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,1.0,1.0,-0.9999999999087603,8.324517584863369e-21,1.0,0.0,0.0,0.0,False,-0.0
DischargeBias+QP,300,13,25.0,6.842907351867211e-10,0.07898496735233827,0.1351897017579879,-7.610387001417811,3.3306690738754696e-15,0.0,25.0,121.16523190751492,0.0,0.0,1.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,4.5619382345781405e-11,91.16523190751492,30.0,25.0,125.0,83,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,1.0,1.0,-0.9999999999087612,8.324497325793661e-21,1.0,0.0,0.0,0.0,False,-0.0
