controller,comparator,metric,method,mean_difference,ci_lower,ci_upper,seed_difference_min,seed_difference_max,day_clusters,fixed_trained_seeds,bootstrap_replicates,confidence_level,inference_scope
PPO-QP,DischargeBias+QP,cost,day_cluster,-1.48071627538493,-1.8684607588898905,-1.1032832204232423,-3.342908573647993,-0.3960969197037293,65,5,20000,0.95,conditional_on_five_fixed_trained_seeds_and_inspected_scenario_holdout
PPO-QP,DischargeBias+QP,carbon,day_cluster,-1.3559682886221824,-1.807584161461261,-0.9066277842491008,-4.52580612668843,-0.2155419971541046,65,5,20000,0.95,conditional_on_five_fixed_trained_seeds_and_inspected_scenario_holdout
PPO-QP,DischargeBias+QP,task_score,day_cluster,-1.0483628469263726,-2.5489046963684183,0.5007594352249122,-8.04851077620872,4.940716441405118,65,5,20000,0.95,conditional_on_five_fixed_trained_seeds_and_inspected_scenario_holdout
PPO-QP,DischargeBias+QP,peak,day_cluster,-2.7735548148764513e-10,-4.070031226232319e-10,-1.6156700483476854e-10,-4.695366967028418e-10,-2.2805710824076624e-10,65,5,20000,0.95,conditional_on_five_fixed_trained_seeds_and_inspected_scenario_holdout
PPO-QP,DischargeBias+QP,grid_excess_energy_kwh,day_cluster,1.4364645159534724,0.3658111022620012,2.6381890336556553,-0.48487197847581565,5.3151692143374545,65,5,20000,0.95,conditional_on_five_fixed_trained_seeds_and_inspected_scenario_holdout
PPO-QP,DischargeBias+QP,export_excess_energy_kwh,day_cluster,1.4364645159534724,0.3658111022620012,2.6381890336556553,-0.48487197847581565,5.3151692143374545,65,5,20000,0.95,conditional_on_five_fixed_trained_seeds_and_inspected_scenario_holdout
PPO-QP,DischargeBias+QP,import_excess_energy_kwh,day_cluster,0.0,0.0,0.0,0.0,0.0,65,5,20000,0.95,conditional_on_five_fixed_trained_seeds_and_inspected_scenario_holdout
PPO-QP,DischargeBias+QP,ramp_slack_kw_mean,day_cluster,-0.004152664570612234,-0.0395295344828725,0.029289443495660164,-0.11051875844585271,0.18354676856451393,65,5,20000,0.95,conditional_on_five_fixed_trained_seeds_and_inspected_scenario_holdout
PPO-QP,DischargeBias+QP,cost,circular_block_7,-1.48071627538493,-2.0043064987393535,-0.9706394212080565,-3.342908573647993,-0.3960969197037293,65,5,20000,0.95,conditional_on_five_fixed_trained_seeds_and_inspected_scenario_holdout
PPO-QP,DischargeBias+QP,carbon,circular_block_7,-1.3559682886221824,-1.817197001492386,-0.888451329402953,-4.52580612668843,-0.2155419971541046,65,5,20000,0.95,conditional_on_five_fixed_trained_seeds_and_inspected_scenario_holdout
PPO-QP,DischargeBias+QP,task_score,circular_block_7,-1.0483628469263726,-2.3622387415169115,0.18017273673095527,-8.04851077620872,4.940716441405118,65,5,20000,0.95,conditional_on_five_fixed_trained_seeds_and_inspected_scenario_holdout
PPO-QP,DischargeBias+QP,peak,circular_block_7,-2.7735548148764513e-10,-4.046595843367238e-10,-1.6296050375785855e-10,-4.695366967028418e-10,-2.2805710824076624e-10,65,5,20000,0.95,conditional_on_five_fixed_trained_seeds_and_inspected_scenario_holdout
PPO-QP,DischargeBias+QP,grid_excess_energy_kwh,circular_block_7,1.4364645159534724,0.5532905897438894,2.2298691563317306,-0.48487197847581565,5.3151692143374545,65,5,20000,0.95,conditional_on_five_fixed_trained_seeds_and_inspected_scenario_holdout
PPO-QP,DischargeBias+QP,export_excess_energy_kwh,circular_block_7,1.4364645159534724,0.5532905897438894,2.2298691563317306,-0.48487197847581565,5.3151692143374545,65,5,20000,0.95,conditional_on_five_fixed_trained_seeds_and_inspected_scenario_holdout
PPO-QP,DischargeBias+QP,import_excess_energy_kwh,circular_block_7,0.0,0.0,0.0,0.0,0.0,65,5,20000,0.95,conditional_on_five_fixed_trained_seeds_and_inspected_scenario_holdout
PPO-QP,DischargeBias+QP,ramp_slack_kw_mean,circular_block_7,-0.004152664570612234,-0.03832541117462106,0.026774208869069765,-0.11051875844585271,0.18354676856451393,65,5,20000,0.95,conditional_on_five_fixed_trained_seeds_and_inspected_scenario_holdout
PPO-QP,DischargeBias+QP,cost,circular_block_14,-1.48071627538493,-2.05138065821216,-0.9101310308398946,-3.342908573647993,-0.3960969197037293,65,5,20000,0.95,conditional_on_five_fixed_trained_seeds_and_inspected_scenario_holdout
