controller,seed,day,charge_energy_final4_kwh,soc_change_final4_kwh,gross_import_cost_final4,export_excess_final4_kwh,forced_full_charge_steps_final4,any_forced_full_charge_final4
DischargeBias+QP,0,300,105.26315789473685,100.0,47.32727886208134,0.0,4,1
DischargeBias+QP,0,301,105.26315789473685,100.0,45.480505700539204,0.0,4,1
DischargeBias+QP,0,302,105.26315789473685,100.0,51.96268441921887,0.0,4,1
DischargeBias+QP,0,303,105.26315789473685,100.0,52.893666307645525,0.0,4,1
DischargeBias+QP,0,304,105.26315789473685,100.0,53.18207113725596,0.0,4,1
DischargeBias+QP,0,305,105.26315789473685,100.0,56.31066410713184,0.0,4,1
DischargeBias+QP,0,306,105.26315789473685,100.0,54.6662771869955,0.0,4,1
DischargeBias+QP,0,307,105.26315789473685,100.0,47.12040702744999,0.0,4,1
DischargeBias+QP,0,308,105.26315789473685,100.0,44.28673361133316,0.0,4,1
DischargeBias+QP,0,309,105.26315789473685,100.0,54.308296522654786,0.0,4,1
DischargeBias+QP,0,310,105.26315789473685,100.0,55.91390966952406,0.0,4,1
DischargeBias+QP,0,311,105.26315789473685,100.0,55.66982409759438,0.0,4,1
DischargeBias+QP,0,312,105.26315789473685,100.0,54.83438730309794,0.0,4,1
DischargeBias+QP,0,313,105.26315789473685,100.0,55.570408729524715,0.0,4,1
DischargeBias+QP,0,314,105.26315789473685,100.0,48.07537372755225,0.0,4,1
DischargeBias+QP,0,315,105.26315789473685,100.0,43.6154993964059,0.0,4,1
DischargeBias+QP,0,316,105.26315789473685,100.0,53.87968980502231,0.0,4,1
DischargeBias+QP,0,317,105.26315789473685,100.0,54.93003001820041,0.0,4,1
DischargeBias+QP,0,318,105.26315789473685,100.0,54.25610045238014,0.0,4,1
DischargeBias+QP,0,319,105.26315789473685,100.0,54.50569877850422,0.0,4,1
DischargeBias+QP,0,320,105.26315789473685,100.0,54.949325265316276,0.0,4,1
DischargeBias+QP,0,321,105.26315789473685,100.0,47.51827586309651,0.0,4,1
DischargeBias+QP,0,322,105.26315789473685,100.0,45.38271529030885,0.0,4,1
DischargeBias+QP,0,323,105.26315789473685,100.0,55.24045258372797,0.0,4,1
DischargeBias+QP,0,324,105.26315789473685,100.0,52.989595376338954,0.0,4,1
DischargeBias+QP,0,325,105.26315789473685,100.0,54.3124861387168,0.0,4,1
DischargeBias+QP,0,326,105.26315789473685,100.0,55.31495726880769,0.0,4,1
DischargeBias+QP,0,327,105.26315789473685,100.0,55.00812356028558,0.0,4,1
DischargeBias+QP,0,328,105.26315789473685,100.0,47.067583339523694,0.0,4,1
DischargeBias+QP,0,329,105.26315789473685,100.0,45.64936928047589,0.0,4,1
DischargeBias+QP,0,330,105.26315789473685,100.0,55.35710922099992,0.0,4,1
DischargeBias+QP,0,331,105.26315789473685,100.0,55.07301535291924,0.0,4,1
DischargeBias+QP,0,332,105.26315789473685,100.0,55.478232732765036,0.0,4,1
DischargeBias+QP,0,333,105.26315789473685,100.0,54.696523276342496,0.0,4,1
DischargeBias+QP,0,334,105.26315789473685,100.0,55.162508626853764,0.0,4,1
DischargeBias+QP,0,335,105.26315789473685,100.0,46.400296559521905,0.0,4,1
DischargeBias+QP,0,336,105.26315789473685,100.0,42.63408524859849,0.0,4,1
DischargeBias+QP,0,337,105.26315789473685,100.0,54.785522622403064,0.0,4,1
DischargeBias+QP,0,338,105.26315789473685,100.0,54.90118448691276,0.0,4,1
DischargeBias+QP,0,339,105.26315789473685,100.0,56.291106533398136,0.0,4,1
DischargeBias+QP,0,340,105.26315789473685,100.0,55.148452599193334,0.0,4,1
DischargeBias+QP,0,341,105.26315789473685,100.0,55.04791805110659,0.0,4,1
DischargeBias+QP,0,342,105.26315789473685,100.0,46.21307422384374,0.0,4,1
DischargeBias+QP,0,343,105.26315789473685,100.0,44.76359671475066,0.0,4,1
DischargeBias+QP,0,344,105.26315789473685,100.0,54.19114661380987,0.0,4,1
DischargeBias+QP,0,345,105.26315789473685,100.0,55.42111574903031,0.0,4,1
DischargeBias+QP,0,346,105.26315789473685,100.0,57.14712587660537,0.0,4,1
DischargeBias+QP,0,347,105.26315789473685,100.0,91.18358496705645,0.0,4,1
DischargeBias+QP,0,348,105.26315789473685,100.0,57.00551343091779,0.0,4,1
DischargeBias+QP,0,349,105.26315789473685,100.0,44.38261418797363,0.0,4,1
DischargeBias+QP,0,350,105.26315789473685,100.0,45.78536379594391,0.0,4,1
DischargeBias+QP,0,351,105.26315789473685,100.0,54.54285782474826,0.0,4,1
DischargeBias+QP,0,352,105.26315789473685,100.0,53.95244545721709,0.0,4,1
DischargeBias+QP,0,353,105.26315789473685,100.0,53.68185175907492,0.0,4,1
DischargeBias+QP,0,354,105.26315789473685,100.0,55.14093113551802,0.0,4,1
DischargeBias+QP,0,355,105.26315789473685,100.0,54.35030654320691,0.0,4,1
DischargeBias+QP,0,356,105.26315789473685,100.0,46.07172180758063,0.0,4,1
DischargeBias+QP,0,357,105.26315789473685,100.0,43.716696841270604,0.0,4,1
DischargeBias+QP,0,358,105.26315789473685,100.0,53.42715830796089,0.0,4,1
DischargeBias+QP,0,359,105.26315789473685,100.0,56.480926215682054,0.0,4,1
DischargeBias+QP,0,360,105.26315789473685,100.0,57.37617557241467,0.0,4,1
DischargeBias+QP,0,361,105.26315789473685,100.0,56.07715277838844,0.0,4,1
DischargeBias+QP,0,362,105.26315789473685,100.0,59.25830514809711,0.0,4,1
DischargeBias+QP,0,363,105.26315789473685,100.0,50.42276383589009,0.0,4,1
DischargeBias+QP,0,364,105.26315789473685,100.0,46.05017013083287,0.0,4,1
