controller,episodes,steps,scenario_days,trained_seeds,peak_in_last_hour_count,peak_in_last_hour_fraction,near_peak_in_last_hour_fraction,ramp_violation_steps,ramp_violation_fraction,ramp_violation_threshold_kw,ramp_material_violation_steps,ramp_material_violation_fraction,ramp_material_violation_threshold_kw,ramp_mean_kw,ramp_max_kw,ramp_excess_mean_kw_per_step,peak_collapsed_box_count,peak_collapsed_box_fraction,all_steps_collapsed_box_fraction,peak_narrowed_box_count,peak_narrowed_box_fraction,all_steps_narrowed_box_fraction,peak_forced_full_charge_box_count,peak_forced_full_charge_box_fraction,all_steps_forced_full_charge_box_fraction,peak_executed_full_charge_count,peak_executed_full_charge_fraction,all_steps_executed_full_charge_fraction,peak_terminal_envelope_narrows_physical_box_count,peak_terminal_envelope_narrows_physical_box_fraction,all_steps_terminal_envelope_narrows_physical_box_fraction,import_exceedance_steps,import_excess_total_kwh,import_excess_kwh_per_day,export_exceedance_steps,export_excess_total_kwh,export_excess_kwh_per_day,soc_lower_step_end_fraction,soc_lower_step_end_equivalent_hours_per_day,soc_lower_whole_interval_hours_per_day,soc_upper_step_end_fraction,soc_upper_step_end_equivalent_hours_per_day,soc_upper_whole_interval_hours_per_day
MPC-H24+QP,65,6240,65,0,2,0.03076923076923077,0.03076923076923077,48,0.007692307692307693,1e-09,12,0.0019230769230769232,1e-05,17.847444115794733,95.72202609870833,0.05112546535163309,4,0.06153846153846154,0.019230769230769232,65,1.0,1.0,0,0.0,0.00016025641025641026,0,0.0,0.006570512820512821,2,0.03076923076923077,0.026442307692307692,1,2.7546171504219052,0.04237872539110624,256,3279.6449982392614,50.45607689598864,0.08605769230769231,2.0653846153846156,1.7615384615384615,0.15352564102564104,3.6846153846153844,3.3192307692307694
MPC-H24-FRR+QP,65,6240,65,0,3,0.046153846153846156,0.046153846153846156,131,0.020993589743589742,1e-09,128,0.020512820512820513,1e-05,19.162898730346395,186.88135346609914,0.6910005088712452,2,0.03076923076923077,0.013461538461538462,65,1.0,1.0,2,0.03076923076923077,0.0019230769230769232,6,0.09230769230769231,0.01810897435897436,3,0.046153846153846156,0.03125,0,0.0,0.0,270,3357.7610770622387,51.65786272403444,0.09326923076923077,2.2384615384615385,1.9846153846153847,0.16939102564102565,4.065384615384615,3.6846153846153844
NetLoadRule+QP,65,6240,65,0,25,0.38461538461538464,0.38461538461538464,143,0.022916666666666665,1e-09,143,0.022916666666666665,1e-05,21.975539988916164,154.50474602375772,0.7488153695616265,25,0.38461538461538464,0.023397435897435898,65,1.0,1.0,25,0.38461538461538464,0.019070512820512822,25,0.38461538461538464,0.028205128205128206,25,0.38461538461538464,0.03926282051282051,0,0.0,0.0,295,4216.552803853621,64.87004313620956,0.18958333333333333,4.55,3.9076923076923076,0.12227564102564102,2.9346153846153844,2.5153846153846153
PPO-QP,325,31200,65,5,320,0.9846153846153847,0.9846153846153847,783,0.025096153846153844,1e-09,781,0.02503205128205128,1e-05,6.97821190103472,99.70863981965422,0.6327877355168361,320,0.9846153846153847,0.041826923076923074,325,1.0,1.0,320,0.9846153846153847,0.041666666666666664,320,0.9846153846153847,0.041666666666666664,320,0.9846153846153847,0.052083333333333336,0,0.0,0.0,1034,13729.601675973958,42.244928233766025,0.5584935897435898,13.403846153846153,12.822307692307692,0.011666666666666667,0.28,0.22538461538461538
PPO-QP-no-penalty,325,31200,65,5,320,0.9846153846153847,0.9846153846153847,831,0.026634615384615385,1e-09,829,0.026570512820512822,1e-05,7.070433914096281,98.9542167976954,0.6460983936720045,320,0.9846153846153847,0.04185897435897436,325,1.0,1.0,320,0.9846153846153847,0.041666666666666664,320,0.9846153846153847,0.041666666666666664,320,0.9846153846153847,0.052083333333333336,0,0.0,0.0,1020,13465.399014436207,41.43199696749602,0.5864102564102565,14.073846153846153,13.49,0.009615384615384616,0.23076923076923078,0.18615384615384614
Rule+QP,65,6240,65,0,0,0.0,0.0,93,0.014903846153846155,1e-09,93,0.014903846153846155,1e-05,8.364279050574087,95.20052583731436,0.4372751713445988,0,0.0,0.03125,65,1.0,1.0,0,0.0,0.0,0,0.0,0.0003205128205128205,0,0.0,0.041666666666666664,0,0.0,0.0,526,6709.017404712711,103.21565238019555,0.0,0.0,0.0,0.39887820512820515,9.573076923076924,9.088461538461539
