controller,seed,day,peak_kw,peak_step,peak_time_hours,first_maximum_in_last_hour,near_maximum_in_last_hour,near_maximum_steps,p,soc,soc_before_kwh,power_lower_kw,power_upper_kw,battery_box_width_kw,collapsed_box,narrowed_box,forced_full_charge_box,executed_full_charge,terminal_envelope_narrows_physical_box
MPC-H24+QP,0,300,190.16048535742928,27,6.75,0,0,1,-46.62049859034814,36.457236840559005,25.38486842535132,-46.62049862495232,1.4625000163350208,48.08299864128734,False,True,False,False,False
MPC-H24+QP,0,301,187.74757424507277,75,18.75,0,0,1,4.3274512998487115e-09,224.99999996425376,224.99999996539256,-1.4571553133703817e-07,44.999999995205016,45.00000014092055,False,True,False,False,False
MPC-H24+QP,0,302,236.6325661596425,72,18.0,0,0,1,1.1286372232791017e-07,224.9999999670198,224.9999999967208,-1.3807326276468016e-08,45.00000000000004,45.000000013807366,False,True,False,False,False
MPC-H24+QP,0,303,231.0925194343328,73,18.25,0,0,1,1.3764272973540963e-14,224.99999996425376,224.99999996425376,-1.505104831410695e-07,45.00000012337461,45.00000027388509,False,True,False,False,False
MPC-H24+QP,0,304,238.74402364934528,60,15.0,0,0,1,-54.99999999193138,158.64731307704298,145.5848130789593,-100.0,-53.48067885678145,46.51932114321855,False,True,False,False,False
MPC-H24+QP,0,305,219.99999983691464,73,18.25,0,0,1,5.1918020218573995e-08,224.99999996775557,224.99999998141817,-7.823928172001615e-08,45.00000005814987,45.000000136389154,False,True,False,False,False
MPC-H24+QP,0,306,230.14438733654035,75,18.75,0,0,1,5.8635867671138274e-08,224.99999996425376,224.99999997968425,-8.554001109778734e-08,44.99999993542398,45.00000002096399,False,True,False,False,False
MPC-H24+QP,0,307,182.69799018283243,73,18.25,0,0,1,1.3764272973540963e-14,224.99999996425376,224.99999996425376,-1.505104831410695e-07,45.00000012337461,45.00000027388509,False,True,False,False,False
MPC-H24+QP,0,308,175.96734092131788,73,18.25,0,0,1,1.3764272973540963e-14,224.99999996425376,224.99999996425376,-1.505104831410695e-07,45.00000012337461,45.00000027388509,False,True,False,False,False
MPC-H24+QP,0,309,232.23712172341945,72,18.0,0,0,1,1.2337321456934046e-07,224.99999996425376,224.9999999967204,-1.3808881991089472e-08,44.99999999998117,45.00000001379005,False,True,False,False,False
MPC-H24+QP,0,310,231.4632579938165,72,18.0,0,0,1,1.2929231653295006e-08,224.9999999808088,224.9999999842112,-6.64791562150257e-08,2.1182891885018762e-08,8.766204810004446e-08,True,True,False,False,False
MPC-H24+QP,0,311,238.0944820907186,75,18.75,0,0,1,1.1306517300524565e-08,224.99999996482256,224.999999967798,-1.3558747014030814e-07,44.99999999579138,45.00000013137885,False,True,False,False,False
MPC-H24+QP,0,312,229.99999982540515,72,18.0,0,0,1,1.181829609333737e-07,224.99999996554527,224.99999999664604,-1.412193964106815e-08,44.999999996057625,45.00000001017956,False,True,False,False,False
MPC-H24+QP,0,313,234.98024670525515,73,18.25,0,0,1,1.3764272973540963e-14,224.99999996425376,224.99999996425376,-1.505104831410695e-07,45.00000012337461,45.00000027388509,False,True,False,False,False
MPC-H24+QP,0,314,200.25088581736247,54,13.5,0,0,1,-89.99999999100037,136.19351654048748,114.81851654262488,-100.0,-44.99999996509683,55.00000003490317,False,True,False,False,False
MPC-H24+QP,0,315,171.10879620686626,27,6.75,0,0,1,-44.999999993919786,37.99671053979476,27.30921054123881,-45.00000001145843,8.775000056707473,53.77500006816591,False,True,False,False,False
MPC-H24+QP,0,316,228.262085319239,73,18.25,0,0,1,6.442578331738927e-08,224.99999996425376,224.9999999812079,-7.912460300997882e-08,45.000000058931306,45.00000013805591,False,True,False,False,False
MPC-H24+QP,0,317,221.97496138476316,75,18.75,0,0,1,-3.3866973590867605e-09,224.9999999650581,224.99999996425376,-1.505104831410695e-07,45.00000007154953,45.00000022206001,False,True,False,False,False
MPC-H24+QP,0,318,229.9999999954894,72,18.0,0,0,1,1.4346194674923e-08,224.9999999871152,224.99999999089053,-3.8355665310518816e-08,2.1182891885018762e-08,5.953855719553758e-08,True,True,False,False,False
MPC-H24+QP,0,319,226.71128289196133,72,18.0,0,0,1,1.2337460981803881e-07,224.99999996425376,224.9999999967208,-1.3807326276468016e-08,45.000000000000014,45.00000001380734,False,True,False,False,False
MPC-H24+QP,0,320,225.74148939662552,74,18.5,0,0,1,8.283693076701591e-15,224.99999996425376,224.99999996425376,-1.505104831410695e-07,45.00000008372127,45.00000023423175,False,True,False,False,False
MPC-H24+QP,0,321,181.05190067313168,75,18.75,0,0,1,1.1409857200933298e-08,224.99999996425376,224.99999996725637,-1.3786802810500376e-07,45.00000005285691,45.00000019072494,False,True,False,False,False
MPC-H24+QP,0,322,196.1274591467725,14,3.5,0,0,1,-80.00000001157737,95.57236852540623,76.5723685226566,-80.00000002493536,9.999999975064648,90.00000000000001,False,True,False,False,False
MPC-H24+QP,0,323,260.0000001019625,75,18.75,0,0,1,-44.9926472089797,224.99825369376623,214.31249998163355,-44.99999993775359,45.00000006224641,90.0,False,True,False,False,False
MPC-H24+QP,0,324,224.59946910550127,74,18.5,0,0,1,1.1560492559901287e-07,224.99999996425376,224.9999999946761,-2.241641165088176e-08,44.99999996919344,44.99999999160985,False,True,False,False,False
MPC-H24+QP,0,325,230.50169186667216,75,18.75,0,0,1,1.0632024705292485e-07,224.99999996481884,224.99999999279785,-3.032482709386386e-08,44.99999988984728,44.99999992017211,False,True,False,False,False
MPC-H24+QP,0,326,239.99999989699504,73,18.25,0,0,1,-40.52729009657096,224.9999999813615,215.3747685834259,-40.52729017504888,41.37197001050664,81.89926018555552,False,True,False,False,False
MPC-H24+QP,0,327,230.0520149011113,73,18.25,0,0,1,1.3764272937351811e-14,224.99999996425376,224.99999996425376,-1.505104831410695e-07,45.000000123374505,45.000000273884986,False,True,False,False,False
MPC-H24+QP,0,328,187.15131174480007,72,18.0,0,0,1,1.2337460981803934e-07,224.99999996425376,224.9999999967208,-1.3807326276468016e-08,45.00000000000004,45.000000013807366,False,True,False,False,False
MPC-H24+QP,0,329,229.9999999274472,74,18.5,0,0,2,-63.354888803141485,215.01013442692317,199.96334833617703,-81.8747631687643,8.125236831235696,90.0,False,True,False,False,False
MPC-H24+QP,0,330,260.00000015332284,75,18.75,0,0,1,-44.99264717116833,214.15012958223403,203.4643758790816,-89.323687990977,0.6763120090229933,90.0,False,True,False,False,False
MPC-H24+QP,0,331,231.539248752124,75,18.75,0,0,1,5.959934177777807e-08,224.99999996425376,224.9999999799378,-8.447243185640364e-08,44.99999993765055,45.00000002212298,False,True,False,False,False
MPC-H24+QP,0,332,228.60167277854003,74,18.5,0,0,1,1.2453523574371708e-07,223.84539464762705,223.84539468039944,-4.861496082528687,45.0000000799109,49.861496162439586,False,True,False,False,False
MPC-H24+QP,0,333,251.60751126946832,61,15.25,0,0,1,-54.9999999917403,133.77601543003522,120.71351543199688,-100.0,-19.96308746632542,80.03691253367458,False,True,False,False,False
MPC-H24+QP,0,334,249.99999993468631,75,18.75,0,0,1,-44.9999999512217,224.0239486964284,213.33644870801325,-49.10968965047053,-3.7337021621672193,45.37598748830331,False,True,False,False,False
MPC-H24+QP,0,335,216.93660274313623,4,1.0,0,0,1,-88.02631582591268,214.78124999580493,193.87499998715063,-100.0,-10.000000008540958,89.99999999145905,False,True,False,False,False
MPC-H24+QP,0,336,198.51700118185505,1,0.25,0,0,1,-89.99999997004346,157.06249998881498,135.68749999592967,-89.99999998286171,1.7138283681106262e-08,90.0,False,True,False,False,False
MPC-H24+QP,0,337,259.9999998017508,75,18.75,0,0,1,-32.92943041098636,215.75840277773867,207.9376630551294,-64.0757489148653,25.924251085134703,90.0,False,True,False,False,False
MPC-H24+QP,0,338,239.99999999172897,71,17.75,0,0,4,-60.27896123072819,219.65758495948307,205.34133166718516,-82.77334034869419,-7.683958907674132,75.08938144102007,False,True,False,False,False
MPC-H24+QP,0,339,247.6154257473295,74,18.5,0,0,1,-15.570278237547305,218.0104410696974,214.3124999882799,-45.00000004934775,-14.286273831262136,30.71372621808561,False,True,False,False,False
MPC-H24+QP,0,340,259.99999999157814,70,17.5,0,0,5,-92.18956321651504,155.40405043549015,133.50902917156785,-100.0,-33.008975678820434,66.99102432117957,False,True,False,False,False
MPC-H24+QP,0,341,244.78261300887812,73,18.25,0,0,1,-24.17384847140392,203.9039166574285,198.16262764547008,-53.10351821264442,36.89648178735558,90.0,False,True,False,False,False
MPC-H24+QP,0,342,226.10621137220303,72,18.0,0,0,1,-44.999999853785056,224.9999999613377,214.3124999960637,-45.00000001657387,22.338477556681227,67.33847757325509,False,True,False,False,False
MPC-H24+QP,0,343,219.9999997873694,72,18.0,0,0,1,-57.67560209783697,182.4978846996348,168.79992920139853,-57.67560225591114,32.32439774408886,90.0,False,True,False,False,False
MPC-H24+QP,0,344,271.0284686016876,95,23.75,1,1,1,-75.08918617517595,125.0,107.16631828339573,-75.08918617517595,-75.08918617517595,0.0,True,True,False,False,True
MPC-H24+QP,0,345,239.9999999076774,72,18.0,0,0,1,-44.99999992900809,35.68749998313942,25.0,-45.0,0.0,45.0,False,True,False,False,False
MPC-H24+QP,0,346,239.9999999060944,75,18.75,0,0,1,-44.999999940408,55.16101001153187,44.47351002568497,-45.00000001211399,44.99999998788601,90.0,False,True,False,False,False
MPC-H24+QP,0,347,234.89137537646317,95,23.75,1,1,1,-67.03124036391262,125.0,109.08008041357076,-67.03124036391262,-67.03124036391262,0.0,True,True,False,False,True
MPC-H24+QP,0,348,239.9999998976743,75,18.75,0,0,1,-44.999999933611946,50.522766605860646,39.83526662162781,-45.00000001163148,44.99999998836852,90.0,False,True,False,False,False
MPC-H24+QP,0,349,216.80401886987448,75,18.75,0,0,1,-44.999999866028624,57.062499846456014,46.37499987827422,-89.99999978502561,2.1497438495998722e-07,90.0,False,True,False,False,False
MPC-H24+QP,0,350,229.99999977997544,74,18.5,0,0,1,-95.15205643780152,73.83237813814377,51.23376473416591,-95.1520566009732,-5.152056600973204,90.0,False,True,False,False,False
MPC-H24+QP,0,351,250.0000000054305,73,18.25,0,0,1,-67.15727595012756,51.6373530228301,35.6874999846748,-89.99999993547283,6.452716405647152e-08,90.0,False,True,False,False,False
MPC-H24+QP,0,352,249.9999999048044,72,18.0,0,0,1,-44.999999926792086,35.68749998261312,25.0,-45.0,0.0,45.0,False,True,False,False,False
MPC-H24+QP,0,353,249.99999989815836,72,18.0,0,0,1,-44.99999991416578,44.92189371982502,34.23439374021065,-44.99999999185859,35.09069621280047,80.09069620465905,False,True,False,False,False
MPC-H24+QP,0,354,240.00000001364543,75,18.75,0,0,3,-75.12886705007215,85.39710363681513,67.553997712423,-100.0,-31.30614234064717,68.69385765935283,False,True,False,False,False
MPC-H24+QP,0,355,230.0000000054066,75,18.75,0,0,4,-70.31169957038679,84.18749551911117,67.4884668711443,-100.0,-23.898807919021635,76.10119208097836,False,True,False,False,False
MPC-H24+QP,0,356,229.9999997826763,73,18.25,0,0,1,-89.99999963776595,90.46903507241076,69.09403515844133,-89.99999979916848,2.008315220791701e-07,90.0,False,True,False,False,False
