controller,seed,episode,episode_seed,training_day,ending_update,ending_transition,service_failure,steps,cost,carbon,task_score,terminal_soc_kwh,terminal_soc_error_kwh,terminal_target_conflict_steps,terminal_roundoff_repair_steps,terminal_ramp_relaxation_steps,soc_violation_rate,soc_violation_steps,ev_completion,final_ev_remaining,lighting_energy_kwh,grid_excess_energy_kwh
PPO-QP-no-penalty,20260809,0,20260909,203,1,96,0,96,139.99373207128932,244.3990657709094,1141.0592145584953,125.0,0.0,0.0,0,1,0.0,0.0,1.0,5.551115123125783e-17,472.5,686.0340181804722
PPO-QP-no-penalty,20260809,1,20261904,38,1,192,0,96,184.6012874236317,241.21545447655143,461.02499974909927,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.6653345369377348e-16,472.5,7.625280956766151
PPO-QP-no-penalty,20260809,2,20262000,42,1,288,0,96,125.09332787582397,167.76402462310594,338.60714135946347,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.7755575615628914e-16,472.5,23.10298178235062
PPO-QP-no-penalty,20260809,3,20262096,93,1,384,0,96,186.0227114486293,168.59321918630684,322.5558903451241,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.6653345369377348e-16,472.5,0.0
PPO-QP-no-penalty,20260809,4,20262192,174,1,480,0,96,178.46459879997622,254.40621422114273,573.5895537694454,125.0,0.0,0.0,0,1,0.0,0.0,1.0,3.3306690738754696e-16,472.5,96.82263348921994
PPO-QP-no-penalty,20260809,5,20262288,201,2,576,0,96,195.34641261346732,329.56354868355027,723.5418491803972,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.6653345369377348e-16,472.5,109.69294467669683
PPO-QP-no-penalty,20260809,6,20261972,11,2,672,0,96,283.46033819481437,276.00474134746696,526.2977739185851,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP-no-penalty,20260809,7,20262068,137,2,768,0,96,166.66810354180083,272.47911906675245,660.1416719672981,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,152.04178992830404
PPO-QP-no-penalty,20260809,8,20262164,105,2,864,0,96,142.96817117195644,154.09410831800975,639.3933415957381,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,346.78672261477925
PPO-QP-no-penalty,20260809,9,20262260,43,2,960,0,96,270.348407833113,358.7845559687932,696.8804900760123,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,22.393860730225192
PPO-QP-no-penalty,20260809,10,20262356,31,3,1056,0,96,195.01171545128162,269.3953768800557,551.5158584547997,125.0,0.0,0.0,0,1,0.0,0.0,1.0,5.551115123125783e-17,472.5,46.035512687836224
PPO-QP-no-penalty,20260809,11,20262040,28,3,1152,0,96,134.64955923779377,204.198721424176,818.4554542239573,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,436.50636797401444
PPO-QP-no-penalty,20260809,12,20262136,216,3,1248,0,96,161.08072771724926,275.4443746462919,738.4331917068592,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,225.3661047267072
PPO-QP-no-penalty,20260809,13,20262232,210,3,1344,0,96,149.93022287364101,238.05245218565912,873.9866939469248,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.6653345369377348e-16,472.5,429.29708330781386
PPO-QP-no-penalty,20260809,14,20262328,96,3,1440,0,96,169.16167039046792,160.0395704140973,451.85306842712504,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,145.9089552732259
PPO-QP-no-penalty,20260809,15,20262424,121,3,1536,0,96,162.5431067767394,286.0194949874566,774.7479562600059,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,242.71816403954307
