controller,seed,day,step,p,soc,grid_import,grid_export,grid_violation,qp_execution_path,endpoint_minimum_violation_kw,endpoint_infeasible,feasible_state_violation,extra_excess_energy_kwh_step,power_lower_kw,power_upper_kw,ev_lower_fraction,ev_upper_fraction,base_load_minus_pv_kw,lighting_kw,soc_kwh,target_kwh,remaining_steps,physical_lower_kw,physical_upper_kw,terminal_lower_kw,terminal_upper_kw,terminal_physical_gap_kw,tolerance_kw,terminal_roundoff_repair,terminal_ramp_relaxation,terminal_ramp_gap_kw,terminal_target_conflict_step,mpc_status,mpc_fallback,runtime_ms
PPO-QP,20260809,300,0,45.0,113.15789473684211,142.70998765145737,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,45.0,0.0,1.0,97.70998765905667,30.0,125.0,125.0,96,-100.0,100.0,-421.0526315789474,380.0,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,149.4280000042636
PPO-QP,20260809,300,1,86.06570632859255,90.50902465037038,104.69099633544575,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,0.0,90.0,0.0,1.0,100.75670270104425,30.0,113.15789473684211,125.0,95,-100.0,100.0,-470.9141274238227,335.0,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.086600004986394
PPO-QP,20260809,300,2,83.41599334215488,68.55744745506647,57.747848373749264,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,41.065706328592555,100.0,0.0,0.33006256074513374,91.36008812038865,30.0,90.50902465037038,125.0,94,-100.0,100.0,-566.277790945809,248.93429367140743,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.538199994887691
PPO-QP,20260809,300,3,83.90253554285901,46.47783283852462,43.85323571381441,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,38.41599334215488,100.0,0.0,8.198756044445569e-10,97.75577123237075,30.0,68.55744745506647,125.0,93,-100.0,100.0,-658.7054843997201,165.51830032925255,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.901800002087839
PPO-QP,20260809,300,4,80.14739507349928,25.386413082340596,48.06090117545172,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,38.90253554285901,81.61576478639356,0.0,4.1483099548026793e-10,98.20829624415647,30.0,46.47783283852462,125.0,92,-100.0,81.61576478639356,-751.6722827851595,81.61576478639356,-181.61576478639356,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.4164000060409307
PPO-QP,20260809,300,5,1.4683697128942639,25.0,127.79854952804672,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-100.0,1.4683697128942639,0.0,3.349220271490575e-10,99.2669192220634,30.0,25.386413082340596,125.0,91,-100.0,1.4683697128942639,-840.4782607059344,1.4683697128942639,-101.46836971289426,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.269600001454819
PPO-QP,20260809,300,6,0.0,25.0,126.09232311558395,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-43.531630287105735,0.0,0.0,2.0295480111324573e-11,96.09232311558395,30.0,25.0,125.0,90,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.814100003684871
PPO-QP,20260809,300,7,0.0,25.0,125.31130595538238,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,2.0295480111324573e-11,95.31130595538151,30.0,25.0,125.0,89,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.843999998527579
PPO-QP,20260809,300,8,0.0,25.0,117.4326848651265,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,2.0281102723155677e-11,87.4326848651259,30.0,25.0,125.0,88,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.5767000004416332
PPO-QP,20260809,300,9,0.0,25.0,122.03176280243441,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,2.027105520478282e-11,92.03176280243441,30.0,25.0,125.0,87,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.8917999952682294
PPO-QP,20260809,300,10,0.0,25.0,121.22757467870277,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,2.027105520478282e-11,91.22757467870277,30.0,25.0,125.0,86,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.077199998893775
PPO-QP,20260809,300,11,0.0,25.0,122.70537354762041,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,2.027105520478282e-11,92.70537354762041,30.0,25.0,125.0,85,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.6867000013007782
PPO-QP,20260809,300,12,0.0,25.0,123.79411588242556,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,2.027105520478282e-11,93.79411588242556,30.0,25.0,125.0,84,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.7091999980038963
PPO-QP,20260809,300,13,0.0,25.0,121.16523190751492,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,2.027105520478282e-11,91.16523190751492,30.0,25.0,125.0,83,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.9481999988784082
PPO-QP,20260809,300,14,0.0,25.0,129.85065826224672,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,2.027105520478282e-11,99.85065826224623,30.0,25.0,125.0,82,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.3409999994328246
PPO-QP,20260809,300,15,0.0,25.0,124.32687675870197,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,2.0262506487493206e-11,94.32687675870197,30.0,25.0,125.0,81,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.3307000010390766
PPO-QP,20260809,300,16,0.0,25.0,146.36111337866862,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,2.0262506487493206e-11,116.36111337866402,30.0,25.0,125.0,80,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.0427999988896772
PPO-QP,20260809,300,17,0.0,25.0,145.7356876623519,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,2.0185734565340376e-11,115.7356876623445,30.0,25.0,125.0,79,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.4285000035888515
PPO-QP,20260809,300,18,0.0,25.0,157.65655028953546,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,2.006227776500206e-11,127.65655028953545,30.0,25.0,125.0,78,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.8670999997993931
PPO-QP,20260809,300,19,0.0,25.0,145.83456303332972,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,2.006227776500206e-11,115.83456303332922,30.0,25.0,125.0,77,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.5921999986167066
PPO-QP,20260809,300,20,0.0,25.0,175.8361443009888,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,2.005389558116614e-11,145.8361443009888,30.0,25.0,125.0,76,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.8966999996337108
PPO-QP,20260809,300,21,0.0,25.0,169.80536372401053,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,2.005389558116614e-11,139.80536372401053,30.0,25.0,125.0,75,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.130500004568603
PPO-QP,20260809,300,22,0.0,25.0,170.35854544874567,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,2.005389558116614e-11,140.35854544874567,30.0,25.0,125.0,74,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.8632999965338968
PPO-QP,20260809,300,23,0.0,25.0,167.54203170205608,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,2.005389558116614e-11,137.54203170205608,30.0,25.0,125.0,73,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.7502999980933964
PPO-QP,20260809,300,24,0.0,25.0,153.92157743918517,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,2.005389558116614e-11,123.92157743917902,30.0,25.0,125.0,72,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.836400006141048
PPO-QP,20260809,300,25,0.0,25.0,149.45820639836492,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,1.9951366484842006e-11,119.45820639836492,30.0,25.0,125.0,71,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.8218999975943007
PPO-QP,20260809,300,26,0.0,25.0,151.87407070247346,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,1.9951366484842006e-11,121.87407070247346,30.0,25.0,125.0,70,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.8598000024212524
PPO-QP,20260809,300,27,0.0,25.0,143.53998676708113,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,1.9951366484842006e-11,113.53998676708113,30.0,25.0,125.0,69,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.8677999978535809
PPO-QP,20260809,300,28,0.0,25.0,44.278294483433456,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,0.0,36.778294483433456,7.5,25.0,125.0,68,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.063699997961521
PPO-QP,20260809,300,29,-6.679213792430176,26.586313275702167,47.10516154154307,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,0.0,32.92594774911289,7.5,25.0,125.0,67,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.8827999956556596
