controller,seed,cost,carbon,task_score,peak,grid_excess_energy_kwh,grid_violation_step_rate,grid_max_exceedance_kw,soc_violation_rate,terminal_soc_error_kwh,ev_completion,lighting_energy_kwh,mean_action_correction,bess_throughput_kwh,ramp_slack_kw_mean,max_ramp_kw,endpoint_infeasible_steps,feasible_state_violation_steps,extra_excess_energy_kwh,hard_qp_solution,phase2_solution,phase1_fallback,heuristic_fallback,mpc_fallbacks,mpc_time_limit_incumbents,runtime_mean_ms,runtime_p95_ms,export_excess_energy_kwh,import_excess_energy_kwh,terminal_target_conflict_rate,soc_violation_steps,grid_violation_steps,steps,record_type,scenario_days
MPC-H24+QP,0,196.10358805557038,278.4498269961992,572.2287949027515,230.7988537151614,50.49845562137974,0.041185897435897414,30.725703181207447,0.0,0.0,1.0,472.5,0.0075971379647585754,542.4869869680604,0.05112546535163306,49.889408446731466,3.953846153846154,0.0,0.38077247685096033,92.04615384615384,3.953846153846154,0.0,0.0,0.2,0.07692307692307693,39.520635641002414,150.1755819227233,50.45607689598864,0.04237872539110624,0.0,0.0,3.953846153846154,96.0,deterministic_baseline_computed_once,65
MPC-H24-FRR+QP,0,196.74843714661054,279.34702188918124,575.1535741411076,234.95844669505382,51.657862724034445,0.04326923076923075,31.799257778310285,0.0,0.0,1.0,472.5,0.007801400401099177,579.4414486057376,0.6910005088712452,88.55650463187467,4.153846153846154,0.0,0.36538958817036377,91.84615384615384,4.153846153846154,0.0,0.0,0.0,0.0,22.734459246809514,62.98162384574915,51.657862724034445,0.0,0.0,0.0,4.153846153846154,96.0,deterministic_baseline_computed_once,65
NetLoadRule+QP,0,194.1179188207565,281.6385664091424,592.2954029784748,230.35434640115128,64.87004313620956,0.04727564102564101,34.25669640164907,0.0,0.0,1.0,472.5,4.499616220955323e-06,668.5490604443789,0.7488153695616265,96.7860539576411,4.538461538461538,0.0,1.8386145168409923e-07,91.46153846153847,4.538461538461538,0.0,0.0,0.0,0.0,2.5538075160010263,3.9762288461553488,64.87004313620956,0.0,0.0,0.0,4.538461538461538,96.0,deterministic_baseline_computed_once,65
PPO-QP,20260805,200.70269273095641,293.9596193526103,590.5505068377929,229.2162713745805,40.760913540541644,0.033653846153846124,25.80521625134533,0.0,0.0,1.0,472.5,2.204145309504349,370.4598140074032,0.7084181118973639,80.88900685447133,3.230769230769231,0.0,0.8077306510903489,92.76923076923077,3.230769230769231,0.0,0.0,0.0,0.0,2.470529887919745,3.638048846215287,40.760913540541644,0.0,0.0,0.0,3.230769230769231,96.0,trained_policy_seed,65
PPO-QP,20260806,199.50201998035055,294.20930904601204,596.4153706490723,229.21627137457878,46.12363293215001,0.03541666666666665,27.076330490506823,0.0,0.0,1.0,472.5,2.141259894654599,485.6079913482168,0.5264216416415956,79.27787973720226,3.4,0.0,0.6479009207073261,92.6,3.4,0.0,0.0,0.0,0.0,2.4738531410723508,3.826919999790754,46.12363293215001,0.0,0.0,0.0,3.4,96.0,trained_policy_seed,65
PPO-QP,20260807,200.367582850579,293.4204001344738,589.1727027547024,229.2162713745803,40.32359173933674,0.032211538461538444,24.29599092948323,0.0,0.0,1.0,472.5,2.302357854085432,412.87534653923495,0.5375774008592151,79.47403404527698,3.0923076923076924,0.0,0.446005241716526,92.9076923076923,3.0923076923076924,0.0,0.0,0.0,0.0,2.449743766013713,3.612528461515187,40.32359173933674,0.0,0.0,0.0,3.0923076923076924,96.0,trained_policy_seed,65
PPO-QP,20260808,199.76219023747797,293.856040323146,592.5667331306778,229.21627137433902,42.94833003026267,0.032532051282051264,25.450185566915373,0.0,0.0,1.0,472.5,1.2091945067990602,443.32801770662815,0.8204871686519621,83.16399475179263,3.123076923076923,0.0,0.5741826380100847,92.87692307692308,3.123076923076923,0.0,0.0,0.0,0.0,2.4545464422807037,3.67942346095403,42.94833003026267,0.0,0.0,0.0,3.123076923076923,96.0,trained_policy_seed,65
PPO-QP,20260809,197.75588107701216,289.8990449164777,583.4261434314583,229.21627137457742,41.068172926539084,0.031891025641025625,23.15339639923825,0.0,0.0,1.0,472.5,1.5825431902725353,484.7619632267275,0.5710343545340436,79.50834665733684,3.0615384615384613,0.0,0.21800481941075875,92.93846153846154,3.0615384615384613,0.0,0.0,0.0,0.0,2.4569563621368546,3.6926676919952466,41.06817292653908,0.0,0.0,0.0,3.0615384615384613,96.0,trained_policy_seed,65
PPO-QP-no-penalty,20260805,200.8974929442264,294.1827021692965,591.0187455657887,229.21627137458012,40.808343884955505,0.033974358974358944,25.92454656499675,0.0,0.0,1.0,472.5,2.274926465509659,370.31267548718654,0.7024802326368732,80.07098797550994,3.2615384615384615,0.0,0.8154153090078564,92.73846153846154,3.2615384615384615,0.0,0.0,0.0,0.0,2.3369522275037853,3.4484746152324637,40.808343884955505,0.0,0.0,0.0,3.2615384615384615,96.0,trained_policy_seed,65
PPO-QP-no-penalty,20260806,199.48873843886707,293.7538969606481,592.351079595689,229.21627137457972,42.932097168579105,0.03237179487179486,25.253894107980262,0.0,0.0,1.0,472.5,2.2643073486815077,451.18305707384786,0.4760251862706215,79.28026200674707,3.1076923076923078,0.0,0.6600518341551639,92.8923076923077,3.1076923076923078,0.0,0.0,0.0,0.0,2.333047067255533,3.5237003843996297,42.932097168579105,0.0,0.0,0.0,3.1076923076923078,96.0,trained_policy_seed,65
