seed,controller,update,transitions,mean_training_reward,terminal_roundoff_repair,terminal_ramp_relaxation,terminal_target_conflict_step,cumulative_completed_episodes,cumulative_service_failure_episodes,partial_episode_steps,partial_episode_soc_kwh,partial_episode_ev_remaining_kwh,partial_episode_terminal_conflict_steps,partial_episode_roundoff_repair_steps
20260808,PPO-QP,1,512,-8.623557380285645,0,6,0,5,0,32,225.0,2.793045794646787e-10,0.0,0
20260808,PPO-QP,2,1024,-6.680475928064261,0,6,0,10,0,64,187.20004512148344,2.8195934476116236e-10,0.0,0
20260808,PPO-QP,3,1536,-6.579926063112342,0,5,0,16,0,0,125.0,36.43636706083862,0.0,0
20260808,PPO-QP,4,2048,-8.418755060753861,0,6,0,21,0,32,225.0,2.812818866715361e-10,0.0,0
20260808,PPO-QP,5,2560,-8.084870957000081,0,6,0,26,0,64,25.0,2.9169344717416834e-10,0.0,0
20260808,PPO-QP,6,3072,-7.305828375125947,1,6,0,32,0,0,125.0,50.5660678218938,0.0,0
20260808,PPO-QP,7,3584,-6.283146903011733,0,4,0,37,0,32,225.0,2.80073020331173e-10,0.0,0
20260808,PPO-QP,8,4096,-7.202222481221717,0,4,0,42,0,64,222.9273251591436,2.8105756610941057e-10,0.0,0
20260808,PPO-QP,9,4608,-6.941653931508263,0,5,0,48,0,0,125.0,32.84318643265382,0.0,0
20260808,PPO-QP,10,5120,-9.479226863893146,0,4,0,53,0,32,225.0,2.7679003533620516e-10,0.0,0
20260808,PPO-QP,11,5632,-9.703619980229035,0,4,0,58,0,64,224.9999999993574,2.8048635636324093e-10,0.0,0
20260808,PPO-QP,12,6144,-8.485299899693796,0,7,0,64,0,0,125.0,40.29863515619486,0.0,0
20260808,PPO-QP,13,6656,-8.148660301539707,0,5,0,69,0,32,221.27966231785211,2.8245655814274073e-10,0.0,0
20260808,PPO-QP,14,7168,-7.338604050732695,0,5,0,74,0,64,224.7185190304515,2.817756028505869e-10,0.0,0
20260808,PPO-QP,15,7680,-7.324053983365314,0,6,0,80,0,0,125.0,48.51664771212798,0.0,0
20260808,PPO-QP,16,8192,-7.0663657939200055,0,5,0,85,0,32,221.9924470137157,2.942360799451649e-10,0.0,0
20260808,PPO-QP,17,8704,-5.91100705668503,0,5,0,90,0,64,162.84815607611762,2.9167163129173446e-10,0.0,0
20260808,PPO-QP,18,9216,-7.598329871133599,0,6,0,96,0,0,125.0,32.4628723277102,0.0,0
20260808,PPO-QP,19,9728,-7.064965223421617,0,5,0,101,0,32,196.92121335837214,2.784059649485471e-10,0.0,0
20260808,PPO-QP,20,10240,-7.6490593474293975,0,5,0,106,0,64,30.538199287706597,2.833888124165185e-10,0.0,0
