controller,seed,episode,episode_seed,training_day,ending_update,ending_transition,service_failure,steps,cost,carbon,task_score,terminal_soc_kwh,terminal_soc_error_kwh,terminal_target_conflict_steps,terminal_roundoff_repair_steps,terminal_ramp_relaxation_steps,soc_violation_rate,soc_violation_steps,ev_completion,final_ev_remaining,lighting_energy_kwh,grid_excess_energy_kwh
PPO-QP-no-penalty,20260807,0,20260907,211,1,96,0,96,280.30162690901926,407.24222120824834,761.5904485745564,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP-no-penalty,20260807,1,20261902,209,1,192,0,96,170.14256898533583,271.32852804841923,563.4108618218982,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.7755575615628914e-16,472.5,56.95103362294624
PPO-QP-no-penalty,20260807,2,20261998,201,1,288,0,96,191.35180425385275,318.2856024564247,593.6551781855476,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.7906153167043946
PPO-QP-no-penalty,20260807,3,20262094,73,1,384,0,96,168.4706093116071,208.12465395115123,464.0840662663837,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,71.69155254739913
PPO-QP-no-penalty,20260807,4,20262190,229,1,480,0,96,219.6439473977201,339.26421144548345,633.1068612369334,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP-no-penalty,20260807,5,20262286,134,2,576,0,96,182.83195093508135,289.3991433144329,549.9736846141909,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,9.776349846304072
PPO-QP-no-penalty,20260807,6,20261970,36,2,672,0,96,251.55320965202395,331.5774911970494,622.3999511534363,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP-no-penalty,20260807,7,20262066,58,2,768,0,96,197.5052811151414,247.94491841101083,469.951713452156,125.0,0.0,0.0,0,1,0.0,0.0,1.0,5.551115123125783e-17,472.5,3.0706009857844747
PPO-QP-no-penalty,20260807,8,20262162,148,2,864,0,96,157.2189908573787,204.0333744632282,401.2094906878688,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,17.26288546353606
PPO-QP-no-penalty,20260807,9,20262258,3,2,960,0,96,197.16808772157458,293.0921052725169,547.7682785396279,125.0,0.0,0.0,0,1,0.0,0.0,1.0,3.885780586188048e-16,472.5,0.0
PPO-QP-no-penalty,20260807,10,20262354,211,3,1056,0,96,280.38005974081705,407.53386826407,762.1398651691504,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP-no-penalty,20260807,11,20262038,12,3,1152,0,96,228.87997318572417,275.5981692795538,522.235580334497,125.0,0.0,0.0,0,1,0.0,0.0,1.0,3.885780586188048e-16,472.5,2.73917560845388
PPO-QP-no-penalty,20260807,12,20262134,101,3,1248,0,96,166.1387537418706,162.93651058842596,318.0409507842499,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,7.198346242766872
