controller,seed,episode,episode_seed,training_day,ending_update,ending_transition,service_failure,steps,cost,carbon,task_score,terminal_soc_kwh,terminal_soc_error_kwh,terminal_target_conflict_steps,terminal_roundoff_repair_steps,terminal_ramp_relaxation_steps,soc_violation_rate,soc_violation_steps,ev_completion,final_ev_remaining,lighting_energy_kwh,grid_excess_energy_kwh
PPO-QP,20260808,0,20260908,235,1,96,0,96,221.87524545624515,407.5941974679231,794.0219770619318,125.0,0.0,0.0,0,1,0.0,0.0,1.0,3.3306690738754696e-16,472.5,37.415970123054656
PPO-QP,20260808,1,20261903,180,1,192,0,96,222.69164725691923,305.6888457248825,576.5342951305773,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,3.3656637269659178
PPO-QP,20260808,2,20261999,73,1,288,0,96,180.14640573801702,213.68340137755575,685.1317103606605,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,281.8630535148408
PPO-QP,20260808,3,20262095,119,1,384,0,96,131.21326510490388,207.74487582936214,1284.2202669570704,125.0,0.0,0.0,0,1,0.0,0.0,1.0,3.885780586188048e-16,472.5,896.7203659067443
PPO-QP,20260808,4,20262191,130,1,480,0,96,182.87724136597924,309.9105204628195,831.2215613281993,125.0,0.0,0.0,0,2,0.0,0.0,1.0,0.0,472.5,254.21739709203695
PPO-QP,20260808,5,20262287,103,2,576,0,96,178.94465504800343,173.38884232130383,634.1152775018898,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,303.577628670119
PPO-QP,20260808,6,20261971,190,2,672,0,96,190.58982944095806,272.02191956068253,619.6459274855233,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,110.15590112015964
PPO-QP,20260808,7,20262067,107,2,768,0,96,185.2638410935774,185.4163348994426,468.16172467070606,125.0,0.0,0.0,0,1,0.0,0.0,1.0,3.3306690738754696e-16,472.5,115.29248292711225
PPO-QP,20260808,8,20262163,76,2,864,0,96,156.47217681555887,184.22755107228846,926.87643746941,125.0,0.0,0.0,0,2,0.0,0.0,1.0,0.0,472.5,579.1717296228517
PPO-QP,20260808,9,20262259,8,2,960,0,96,208.8793173211345,291.53746801645565,614.7159895967818,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,68.34244704036686
PPO-QP,20260808,10,20262355,92,3,1056,0,96,275.6290939061499,218.65461643872496,422.1352243363846,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260808,11,20262039,27,3,1152,0,96,155.1266512403103,234.37366662973892,829.5344127125089,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,391.52555288571006
PPO-QP,20260808,12,20262135,93,3,1248,0,96,185.18678637682342,163.86158247361448,314.26464937670664,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.6653345369377348e-16,472.5,0.0
PPO-QP,20260808,13,20262231,185,3,1344,0,96,201.80189888367792,289.6592737422311,553.2986606402866,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,10.959162126404632
PPO-QP,20260808,14,20262327,181,3,1440,0,96,161.7249410063,242.6529437720859,778.9604441536694,125.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,472.5,325.356485088106
PPO-QP,20260808,15,20262423,218,3,1536,0,96,202.73672658139154,340.6707644619284,714.8338835978117,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,80.60780562787038
PPO-QP,20260808,16,20262519,237,4,1632,0,96,180.95103274157435,365.9654245059149,1125.6691415282314,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.220446049250313e-16,472.5,448.2981888283338
PPO-QP,20260808,17,20262203,213,4,1728,0,96,270.8457364940965,433.8568902404698,921.1823482921315,125.0,0.0,0.0,0,1,0.0,0.0,1.0,5.551115123125783e-17,472.5,108.35767690045805
PPO-QP,20260808,18,20262299,164,4,1824,0,96,278.6213370214719,339.0738095554414,911.1194939870654,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.1102230246251565e-16,472.5,259.5313490573081
PPO-QP,20260808,19,20262395,38,4,1920,0,96,189.2493568101887,245.7369032909055,551.328148159929,125.0,0.0,0.0,0,2,0.0,0.0,1.0,1.1102230246251565e-16,472.5,89.22637263003809
PPO-QP,20260808,20,20262491,106,4,2016,0,96,242.31944186248666,230.9457580035029,440.72574905942565,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260808,21,20262587,229,5,2112,0,96,221.333147075877,339.57937333751505,636.971837805494,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.220446049250313e-16,472.5,2.879438487172512
PPO-QP,20260808,22,20262271,34,5,2208,0,96,159.32981547440033,213.9184446415008,811.6237441440213,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,410.1295565844611
PPO-QP,20260808,23,20262367,33,5,2304,0,96,193.21557196457516,249.88918481336302,673.6522874662843,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,203.9554483774969
PPO-QP,20260808,24,20262463,123,5,2400,0,96,184.52281064209333,299.40641349371555,845.0061183710095,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.7755575615628914e-16,472.5,287.03399664953855
PPO-QP,20260808,25,20262559,116,5,2496,0,96,174.86897063297258,248.65716445137554,706.7051711574945,125.0,0.0,0.0,0,2,0.0,0.0,1.0,0.0,472.5,240.98261677879313
PPO-QP,20260808,26,20262655,143,6,2592,0,96,367.43071870998864,462.2330431648339,1026.1809217254092,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.1102230246251565e-16,472.5,145.26520272962242
PPO-QP,20260808,27,20262339,109,6,2688,0,96,179.59260720146452,178.37854166690644,618.897507569361,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,279.3582269871403
PPO-QP,20260808,28,20262435,227,6,2784,0,96,272.56149921809987,424.60171637281996,804.0249732482307,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,10.610503837553791
PPO-QP,20260808,29,20262531,150,6,2880,0,96,196.11456321172585,223.2953106342612,660.6962525186204,125.0,0.0,0.0,1,1,0.0,0.0,1.0,3.3306690738754696e-16,472.5,238.57949926526715
PPO-QP,20260808,30,20262627,191,6,2976,0,96,198.2780704641828,292.1884910241333,731.9177954512234,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,185.55934590527997
PPO-QP,20260808,31,20262723,60,6,3072,0,96,260.15792943597546,305.0273165700057,576.1166036370031,125.0,0.0,0.0,0,1,0.0,0.0,1.0,3.3306690738754696e-16,472.5,0.0
PPO-QP,20260808,32,20262819,4,7,3168,0,96,213.53650986236877,322.417604651099,674.9468881359935,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,72.33439083330497
PPO-QP,20260808,33,20262503,157,7,3264,0,96,211.04181112214258,266.3144680390871,558.2008865697702,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,56.87375624700069
PPO-QP,20260808,34,20262599,93,7,3360,0,96,185.25339522194955,172.53712526944395,330.2547313981055,125.0,0.0,0.0,0,1,0.0,0.0,1.0,5.551115123125783e-17,472.5,0.0
PPO-QP,20260808,35,20262695,184,7,3456,0,96,226.54265069584113,319.13662265296233,602.2629618665662,125.0,0.0,0.0,0,1,0.0,0.0,1.0,3.3306690738754696e-16,472.5,4.098711349664805
PPO-QP,20260808,36,20262791,137,7,3552,0,96,172.31564218236673,270.1570076199073,718.1364450662434,125.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,472.5,214.17843492602944
PPO-QP,20260808,37,20262887,186,8,3648,0,96,196.07645443493527,278.25998276034693,544.3684644956658,125.0,0.0,0.0,0,1,0.0,0.0,1.0,3.885780586188048e-16,472.5,23.259482072610133
PPO-QP,20260808,38,20262571,98,8,3744,0,96,146.85027512040264,138.42600262222348,995.656349815966,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.220446049250313e-16,472.5,731.2096865758028
PPO-QP,20260808,39,20262667,50,8,3840,0,96,210.24905190926387,268.6201175020128,505.33494695440413,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260808,40,20262763,115,8,3936,0,96,177.3737790721564,233.870242661067,614.1246860828127,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,174.6665718629297
PPO-QP,20260808,41,20262859,83,8,4032,0,96,203.3739088762451,216.2288171921486,410.350319393426,125.0,0.0,0.0,0,0,0.0,0.0,1.0,3.885780586188048e-16,472.5,0.0
PPO-QP,20260808,42,20262955,237,9,4128,0,96,180.4970199213664,362.2995592401242,1118.874011214703,125.0,0.0,0.0,0,2,0.0,0.0,1.0,0.0,472.5,448.0735408178583
PPO-QP,20260808,43,20262639,86,9,4224,0,96,178.7529719367037,181.50282583591851,504.9181966820348,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,159.75915656526973
PPO-QP,20260808,44,20262735,45,9,4320,0,96,280.721531736591,368.1604937372143,692.0050894677184,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.6653345369377348e-16,472.5,0.0
PPO-QP,20260808,45,20262831,74,9,4416,0,96,178.9635003893708,214.56114673302915,710.8738960572613,125.0,0.0,0.0,0,0,0.0,0.0,1.0,2.220446049250313e-16,472.5,305.99530500784647
PPO-QP,20260808,46,20262927,1,9,4512,0,96,206.2525782226708,284.5959251828682,589.2843434963377,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,55.57960589079544
PPO-QP,20260808,47,20263023,204,9,4608,0,96,239.93184416243818,376.36153183364996,749.9039499483488,125.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,472.5,46.67594364581023
PPO-QP,20260808,48,20263119,175,10,4704,0,96,155.19510236663746,225.9473748244663,1035.4753297235193,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.7755575615628914e-16,472.5,612.5699089934054
PPO-QP,20260808,49,20262803,119,10,4800,0,96,131.67787737553454,216.85516683089202,1291.4950829284023,125.0,0.0,0.0,0,1,0.0,0.0,1.0,5.551115123125783e-17,472.5,887.2619420076787
PPO-QP,20260808,50,20262899,38,10,4896,0,96,188.60767447366155,246.40516186789395,513.5720019570791,125.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,472.5,49.95244464181592
PPO-QP,20260808,51,20262995,217,10,4992,0,96,153.73501111250874,254.99057953474514,1135.371746728831,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,660.2644361706956
PPO-QP,20260808,52,20263091,62,10,5088,0,96,170.38485794656728,236.26063023274622,600.013531069061,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,157.0193768089747
