controller,seed,episode,episode_seed,training_day,ending_update,ending_transition,service_failure,steps,cost,carbon,task_score,terminal_soc_kwh,terminal_soc_error_kwh,terminal_target_conflict_steps,terminal_roundoff_repair_steps,terminal_ramp_relaxation_steps,soc_violation_rate,soc_violation_steps,ev_completion,final_ev_remaining,lighting_energy_kwh,grid_excess_energy_kwh
PPO-QP,20260805,0,20260905,47,1,96,0,96,186.08388005689687,250.64786586103045,470.54957259809925,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.1102230246251565e-16,472.5,0.0
PPO-QP,20260805,1,20261900,135,1,192,0,96,206.14417612575502,314.14419142435895,601.1421393660928,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,14.1918743572372
PPO-QP,20260805,2,20261996,184,1,288,0,96,224.85089865528798,313.5198395540959,587.2205373866627,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260805,3,20262092,47,1,384,0,96,186.0181994172569,250.71058563307315,470.65590006947906,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260805,4,20262188,1,1,480,0,96,203.57749226316474,281.80217280752515,528.1212157446203,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260805,5,20262284,180,2,576,0,96,221.4760386759442,302.1348061915208,566.3946220254678,125.0,0.0,0.0,0,1,0.0,0.0,1.0,3.3306690738754696e-16,472.5,0.0
PPO-QP,20260805,6,20261968,158,2,672,0,96,192.41770437658437,245.760244825118,477.30566339242444,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.6653345369377348e-16,472.5,15.033297088415706
PPO-QP,20260805,7,20262064,59,2,768,0,96,274.6200873486385,322.0804275924204,607.5082547801599,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260805,8,20262160,40,2,864,0,96,188.024667404178,251.77161135221294,472.91765528093697,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260805,9,20262256,61,2,960,0,96,200.47130858839026,250.67185237673934,471.92185042849394,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260805,10,20262352,156,3,1056,0,96,197.14999079644235,245.07072464638765,464.01017071651097,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,2.333530909399669
PPO-QP,20260805,11,20262036,25,3,1152,0,96,282.4971450755849,414.4074487799454,774.6001468884474,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260805,12,20262132,14,3,1248,0,96,126.53868816679008,168.61241616074773,492.31024451374293,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,175.24407885414195
PPO-QP,20260805,13,20262228,18,3,1344,0,96,292.8373596754922,395.8067909781614,742.1211343021662,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260805,14,20262324,221,3,1440,0,96,343.93917166316334,346.64315815268617,658.8225610718744,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260805,15,20262420,51,3,1536,0,96,190.4043525391369,243.00043355073043,457.0990493220957,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260805,16,20262516,49,4,1632,0,96,132.70000616661585,179.10296562584261,380.2427150292444,125.0,0.0,0.0,0,1,0.0,0.0,1.0,3.3306690738754696e-16,472.5,43.694350394487834
PPO-QP,20260805,17,20262200,207,4,1728,0,96,227.11781565058055,352.4811531872131,657.6214039773629,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260805,18,20262296,163,4,1824,0,96,229.13162954600722,281.7623878644631,630.0087764101996,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,93.03396887726737
PPO-QP,20260805,19,20262392,158,4,1920,0,96,192.59645121605553,245.99065550954143,477.7462410247381,125.0,0.0,0.0,0,1,0.0,0.0,1.0,3.3306690738754696e-16,472.5,15.033297082408989
PPO-QP,20260805,20,20262488,48,4,2016,0,96,145.77811884746433,205.16067631951313,653.3242222663819,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,268.5548950773291
PPO-QP,20260805,21,20262584,77,5,2112,0,96,114.44622720189811,143.91024202867493,961.1187543162088,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.6653345369377348e-16,472.5,689.7331461069462
PPO-QP,20260805,22,20262268,133,5,2208,0,96,125.98499991491846,212.29462835620168,924.6368401862968,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.1102230246251565e-16,472.5,528.973517603378
PPO-QP,20260805,23,20262364,148,5,2304,0,96,158.52021520852614,204.23469322895735,401.6634839744439,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,17.262884924890145
