metric,unit,mean_difference,median_difference,minimum_seed_difference,maximum_seed_difference,negative_seed_count,positive_seed_count
cost,benchmark cost score/day,-0.16664723427048783,-0.18293170580079732,-0.39376679750628796,0.013281541483451065,4,1
carbon,benchmark carbon score/day,-0.20770504260899542,-0.16094399138125937,-1.1399717734382193,0.45541208536394606,3,2
task_score,benchmark task score/day,0.44546667523911765,-0.4156627589418349,-1.7788941168018937,4.064291053383272,3,2
peak,kW,3.6607161746360365e-12,3.979039320256561e-13,-8.810729923425242e-13,1.84456894203322e-11,0,0
grid_excess_energy_kwh,kWh/day,0.8129312662700059,0.25286006730172517,-0.10093288833923708,3.191535763570897,2,3
import_excess_energy_kwh,kWh/day,0.0,0.0,0.0,0.0,0,0
export_excess_energy_kwh,kWh/day,0.8129312662700073,0.25286006730171806,-0.10093288833923708,3.191535763570897,2,3
mean_action_correction,dimensionless action norm,-0.047786749011111594,-0.07078115600531021,-0.12304745402690909,0.05620815107054411,3,2
ramp_slack_kw_mean,kW (per-step mean),-0.01331065815516832,-0.02265233574971859,-0.073145599023969,0.050396455370974036,3,2
