state_id,day,step,controller,policy_seed,selected_budget,repetition,elapsed_ms,mpc_status,mpc_fallback,qp_execution_path,executed_battery_power_kw,soc_after_kwh,grid_violation_kw
1,240,24,PPO-QP-no-penalty,20260805,90,2,1.3853,-1,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,PPO-QP-no-penalty,20260805,90,3,1.4111,-1,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,PPO-QP-no-penalty,20260805,90,4,1.3604,-1,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,PPO-QP-no-penalty,20260805,90,5,1.387,-1,0,hard_qp_solution,45.00000000870354,163.0328946416521,0.0
1,240,24,Rule+QP,0,0,1,1.4522,-1,0,hard_qp_solution,8.703540294401073e-09,174.87499990481,0.0
1,240,24,Rule+QP,0,0,2,1.4995,-1,0,hard_qp_solution,8.703540294401073e-09,174.87499990481,0.0
1,240,24,Rule+QP,0,0,3,1.4829,-1,0,hard_qp_solution,8.703540294401073e-09,174.87499990481,0.0
1,240,24,Rule+QP,0,0,4,1.4636,-1,0,hard_qp_solution,8.703540294401073e-09,174.87499990481,0.0
1,240,24,Rule+QP,0,0,5,1.45,-1,0,hard_qp_solution,8.703540294401073e-09,174.87499990481,0.0
2,240,48,NetLoadRule+QP,0,0,1,1.341,-1,0,hard_qp_solution,-56.50372190875552,220.24022364218564,0.0
2,240,48,NetLoadRule+QP,0,0,2,1.3688,-1,0,hard_qp_solution,-56.50372190875552,220.24022364218564,0.0
2,240,48,NetLoadRule+QP,0,0,3,1.3333,-1,0,hard_qp_solution,-56.50372190875552,220.24022364218564,0.0
2,240,48,NetLoadRule+QP,0,0,4,1.319,-1,0,hard_qp_solution,-56.50372190875552,220.24022364218564,0.0
2,240,48,NetLoadRule+QP,0,0,5,1.316,-1,0,hard_qp_solution,-56.50372190875552,220.24022364218564,0.0
2,240,48,MPC-H24-FRR+QP,0,0,1,31.2608,0,0,hard_qp_solution,-16.503721913270322,210.7402236432579,0.0
2,240,48,MPC-H24-FRR+QP,0,0,2,31.7297,0,0,hard_qp_solution,-16.503721913270322,210.7402236432579,0.0
2,240,48,MPC-H24-FRR+QP,0,0,3,32.2314,0,0,hard_qp_solution,-16.503721913270322,210.7402236432579,0.0
2,240,48,MPC-H24-FRR+QP,0,0,4,31.9487,0,0,hard_qp_solution,-16.503721913270322,210.7402236432579,0.0
2,240,48,MPC-H24-FRR+QP,0,0,5,31.661,0,0,hard_qp_solution,-16.503721913270322,210.7402236432579,0.0
2,240,48,PPO-QP,20260805,90,1,1.5601,-1,0,hard_qp_solution,-16.5037219524283,210.74022365255794,0.0
2,240,48,PPO-QP,20260805,90,2,1.4916,-1,0,hard_qp_solution,-16.5037219524283,210.74022365255794,0.0
2,240,48,PPO-QP,20260805,90,3,1.4363,-1,0,hard_qp_solution,-16.5037219524283,210.74022365255794,0.0
2,240,48,PPO-QP,20260805,90,4,1.4583,-1,0,hard_qp_solution,-16.5037219524283,210.74022365255794,0.0
2,240,48,PPO-QP,20260805,90,5,1.4067,-1,0,hard_qp_solution,-16.5037219524283,210.74022365255794,0.0
2,240,48,PPO-QP-no-penalty,20260805,90,1,1.4131,-1,0,hard_qp_solution,-16.503721935885448,210.740223648629,0.0
2,240,48,PPO-QP-no-penalty,20260805,90,2,1.363,-1,0,hard_qp_solution,-16.503721935885448,210.740223648629,0.0
2,240,48,PPO-QP-no-penalty,20260805,90,3,1.5117,-1,0,hard_qp_solution,-16.503721935885448,210.740223648629,0.0
2,240,48,PPO-QP-no-penalty,20260805,90,4,1.391,-1,0,hard_qp_solution,-16.503721935885448,210.740223648629,0.0
2,240,48,PPO-QP-no-penalty,20260805,90,5,1.3724,-1,0,hard_qp_solution,-16.503721935885448,210.740223648629,0.0
2,240,48,Rule+QP,0,0,1,1.4203,-1,0,hard_qp_solution,-44.00372190884715,217.2714736422074,0.0
2,240,48,Rule+QP,0,0,2,1.4062,-1,0,hard_qp_solution,-44.00372190884715,217.2714736422074,0.0
2,240,48,Rule+QP,0,0,3,1.4041,-1,0,hard_qp_solution,-44.00372190884715,217.2714736422074,0.0
2,240,48,Rule+QP,0,0,4,1.4225,-1,0,hard_qp_solution,-44.00372190884715,217.2714736422074,0.0
2,240,48,Rule+QP,0,0,5,1.4251,-1,0,hard_qp_solution,-44.00372190884715,217.2714736422074,0.0
2,240,48,MPC-H24+QP,0,0,1,55.1679,0,0,hard_qp_solution,-16.503721913251013,210.74022364325333,0.0
2,240,48,MPC-H24+QP,0,0,2,52.7127,0,0,hard_qp_solution,-16.503721913251013,210.74022364325333,0.0
2,240,48,MPC-H24+QP,0,0,3,55.3824,0,0,hard_qp_solution,-16.503721913251013,210.74022364325333,0.0
2,240,48,MPC-H24+QP,0,0,4,54.2793,0,0,hard_qp_solution,-16.503721913251013,210.74022364325333,0.0
2,240,48,MPC-H24+QP,0,0,5,53.8959,0,0,hard_qp_solution,-16.503721913251013,210.74022364325333,0.0
3,240,72,MPC-H24-FRR+QP,0,0,1,8.8098,0,0,hard_qp_solution,-6.339669131871779e-09,224.99999998907944,0.0
3,240,72,MPC-H24-FRR+QP,0,0,2,8.7467,0,0,hard_qp_solution,-6.339669131871779e-09,224.99999998907944,0.0
3,240,72,MPC-H24-FRR+QP,0,0,3,8.6346,0,0,hard_qp_solution,-6.339669131871779e-09,224.99999998907944,0.0
3,240,72,MPC-H24-FRR+QP,0,0,4,8.6803,0,0,hard_qp_solution,-6.339669131871779e-09,224.99999998907944,0.0
3,240,72,MPC-H24-FRR+QP,0,0,5,8.6051,0,0,hard_qp_solution,-6.339669131871779e-09,224.99999998907944,0.0
3,240,72,PPO-QP,20260805,90,1,1.4437,-1,0,hard_qp_solution,45.00000001179805,213.15789472131112,0.0
3,240,72,PPO-QP,20260805,90,2,1.4154,-1,0,hard_qp_solution,45.00000001179805,213.15789472131112,0.0
3,240,72,PPO-QP,20260805,90,3,1.5428,-1,0,hard_qp_solution,45.00000001179805,213.15789472131112,0.0
