seed,controller,update,transitions,mean_training_reward,terminal_roundoff_repair,terminal_ramp_relaxation,terminal_target_conflict_step,cumulative_completed_episodes,cumulative_service_failure_episodes,partial_episode_steps,partial_episode_soc_kwh,partial_episode_ev_remaining_kwh,partial_episode_terminal_conflict_steps,partial_episode_roundoff_repair_steps
20260806,PPO-QP,52,26624,-5.973375364399129,0,6,0,277,0,32,31.241724282171276,3.0374391890575225e-10,0.0,0
20260806,PPO-QP,53,27136,-6.3372755360406146,0,5,0,282,0,64,29.788930219812386,2.989927194718689e-10,0.0,0
20260806,PPO-QP,54,27648,-6.628146662077649,1,6,0,288,0,0,125.0,36.664965786213905,0.0,0
20260806,PPO-QP,55,28160,-7.441543247321928,0,6,0,293,0,32,51.00566952907688,2.991495384740972e-10,0.0,0
20260806,PPO-QP,56,28672,-6.637918374355941,1,7,0,298,0,64,225.0,2.9792368572145733e-10,0.0,0
20260806,PPO-QP,57,29184,-6.718650361261237,0,6,0,304,0,0,125.0,31.971078845161525,0.0,0
20260806,PPO-QP,58,29696,-7.687156697571914,0,5,0,309,0,32,28.931464831567794,2.997517789538051e-10,0.0,0
20260806,PPO-QP,59,30208,-7.022825090942317,0,4,0,314,0,64,189.7264543518059,2.9971203296952353e-10,0.0,0
20260806,PPO-QP,60,30720,-6.8933650806746085,0,5,0,320,0,0,125.0,48.5105960962138,0.0,0
20260806,PPO-QP,61,31232,-5.331105706908218,0,5,0,325,0,32,37.45627494103092,2.986688119044345e-10,0.0,0
20260806,PPO-QP,62,31744,-5.847171629819783,0,7,0,330,0,64,215.22429148891285,3.003791659850208e-10,0.0,0
20260806,PPO-QP,63,32256,-6.152990195346504,0,7,0,336,0,0,125.0,38.08367823924536,0.0,0
20260806,PPO-QP,64,32768,-6.075887590877637,0,5,0,341,0,32,58.279618249272545,2.9799390732776487e-10,0.0,0
20260806,PPO-QP,65,33280,-6.027261140915016,0,6,0,346,0,64,208.1150384014137,2.9895214082031885e-10,0.0,0
20260806,PPO-QP,66,33792,-6.556832819490103,0,4,0,352,0,0,125.0,48.52557660487217,0.0,0
20260806,PPO-QP,67,34304,-6.257100746266625,0,5,0,357,0,32,43.88214634582566,2.994334780126451e-10,0.0,0
20260806,PPO-QP,68,34816,-6.013348580788808,0,4,0,362,0,64,198.14061502113012,0.0,0.0,0
20260806,PPO-QP,69,35328,-6.4743070363775574,0,8,0,368,0,0,125.0,34.20280088298937,0.0,0
20260806,PPO-QP,70,35840,-5.994163518977986,0,5,0,373,0,32,33.862604924975734,2.991160097387535e-10,0.0,0
20260806,PPO-QP,71,36352,-6.326232905349126,0,5,0,378,0,64,217.8041328117952,2.9999358552856847e-10,0.0,0
20260806,PPO-QP,72,36864,-6.689228319513682,0,7,0,384,0,0,125.0,42.3630186994328,0.0,0
20260806,PPO-QP,73,37376,-6.42498445175902,0,5,0,389,0,32,25.0,3.0100139047917196e-10,0.0,0
20260806,PPO-QP,74,37888,-6.262375665048145,0,5,0,394,0,64,185.15251358708895,2.9982077931478557e-10,0.0,0
20260806,PPO-QP,75,38400,-8.289764639476498,0,6,0,400,0,0,125.0,42.862838863585395,0.0,0
20260806,PPO-QP,76,38912,-6.482132683397511,0,6,0,405,0,32,25.0,3.021693451010776e-10,0.0,0
20260806,PPO-QP,77,39424,-5.767397242724082,0,5,0,410,0,64,29.204418899959506,2.9919566824077037e-10,0.0,0
20260806,PPO-QP,78,39936,-6.430364264741545,0,6,0,416,0,0,125.0,38.9250102025501,0.0,0
20260806,PPO-QP,79,40448,-7.22852478446786,0,6,0,421,0,32,25.0,3.004409498963412e-10,0.0,0
20260806,PPO-QP,80,40960,-6.798142984838831,0,5,0,426,0,64,211.96400327825063,3.014052896155306e-10,0.0,0
20260806,PPO-QP,81,41472,-6.340273240890703,0,7,0,432,0,0,125.0,30.86922744999608,0.0,0
20260806,PPO-QP,82,41984,-6.3531873125922065,0,5,0,437,0,32,42.8625066310018,2.96819901990375e-10,0.0,0
20260806,PPO-QP,83,42496,-6.3870272658660365,0,5,0,442,0,64,25.0,3.002056381262719e-10,0.0,0
20260806,PPO-QP,84,43008,-6.552385228020624,0,5,0,448,0,0,125.0,41.918484584138305,0.0,0
20260806,PPO-QP,85,43520,-5.6097577777155525,0,6,0,453,0,32,40.02335649681904,2.996135561872393e-10,0.0,0
20260806,PPO-QP,86,44032,-7.722394080106827,0,5,0,458,0,64,25.0,2.982649682792271e-10,0.0,0
20260806,PPO-QP,87,44544,-7.161890614427573,0,6,0,464,0,0,125.0,40.03459991791887,0.0,0
20260806,PPO-QP,88,45056,-6.05403083540161,0,5,0,469,0,32,25.0,2.9751878738437654e-10,0.0,0
20260806,PPO-QP,89,45568,-7.015867614208618,0,5,0,474,0,64,223.85946253600957,3.005324322735703e-10,0.0,0
20260806,PPO-QP,90,46080,-5.86094211915037,0,7,0,480,0,0,125.0,43.43268192032412,0.0,0
