controller,seed,episode,update,transition,endpoint_minimum_violation_kw,endpoint_infeasible,feasible_state_violation,extra_excess_energy_kwh_step,power_lower_kw,power_upper_kw,ev_lower_fraction,ev_upper_fraction,base_load_minus_pv_kw,lighting_kw,day,step,soc_kwh,target_kwh,remaining_steps,physical_lower_kw,physical_upper_kw,terminal_lower_kw,terminal_upper_kw,terminal_physical_gap_kw,tolerance_kw,terminal_roundoff_repair,terminal_ramp_relaxation,terminal_ramp_gap_kw,terminal_target_conflict_step
PPO-QP,20260808,0,1,95,0,0,0,0.0,99.99999997736562,100.0,0.0,1.850727349150816e-11,95.2244213127332,30.0,235,94,177.63157894141202,125.0,2,-100.0,100.0,99.99999997736562,290.24999997736563,-2.2634381480202137e-08,3.7999999999999996e-08,0,1,33.1623766819079,0
PPO-QP,20260808,1,1,192,0,0,0,0.0,51.71230072289653,51.71230072289653,1.8475265761708214e-11,1.8475265761708214e-11,104.42004022142679,30.0,180,95,138.60850019023593,125.0,1,-100.0,100.0,51.71230072289653,51.71230072289653,0.0,3.7999999999999996e-08,0,1,23.311439184945463,0
PPO-QP,20260808,2,1,287,0,0,0,0.0,99.99999995252278,100.0,0.0,0.0,85.97040524429327,30.0,73,94,177.63157893487443,125.0,2,-100.0,100.0,99.99999995252278,290.2499999525228,-4.7477215048274957e-08,3.7999999999999996e-08,0,1,50.66790872735397,0
PPO-QP,20260808,3,1,383,0,0,0,0.0,99.99999997493902,100.0,0.0,1.8621130563426884e-11,89.53178445106025,30.0,119,94,177.63157894077344,125.0,2,-100.0,100.0,99.99999997493902,290.24999997493904,-2.5060984398805886e-08,3.7999999999999996e-08,0,1,13.34639687140455,0
PPO-QP,20260808,4,1,479,0,0,0,0.0,52.84847826302919,100.0,0.0,2.960594732333751e-17,104.66466785533129,30.0,130,94,165.22328375342875,125.0,2,-100.0,100.0,52.84847826302919,243.09847826302922,-47.15152173697081,3.7999999999999996e-08,0,1,29.401991491330524,0
PPO-QP,20260808,4,1,480,0,0,0,0.0,99.83697937989558,99.83697937989558,2.960594732333751e-17,2.960594732333751e-17,100.77730152946528,30.0,130,95,151.27288931049884,125.0,1,-100.0,100.0,99.83697937989558,99.83697937989558,0.0,3.7999999999999996e-08,0,1,1.8254804967619975,0
PPO-QP,20260808,5,2,573,0,0,0,0.0,79.99999995526386,100.0,0.0,1.8620305297645244e-11,94.11350934331959,30.0,103,92,224.99999998822733,125.0,4,-4.956913663160154e-08,100.0,79.99999995526386,650.7499999552638,-20.00000004473614,3.7999999999999996e-08,0,1,34.99999992929842,0
PPO-QP,20260808,6,2,669,0,0,0,0.0,57.381003747564804,100.0,0.0,1.8756326121878905e-11,99.83051753648506,30.0,190,92,219.04763256514863,125.0,4,-25.06259972568997,100.0,57.381003747564804,628.1310037475648,-42.618996252435196,3.7999999999999996e-08,0,1,20.895191333685382,0
PPO-QP,20260808,7,2,768,0,0,0,0.0,89.83067170599679,89.83067170599679,1.9859303090896675e-11,1.9859303090896675e-11,99.08171662552877,30.0,107,95,148.63965044894653,125.0,1,-100.0,100.0,89.83067170599679,89.83067170599679,0.0,3.7999999999999996e-08,0,1,45.722471953881545,0
PPO-QP,20260808,8,2,861,0,0,0,0.0,36.209673065331664,100.0,0.0,1.8598940905908042e-11,93.58051686509125,30.0,76,92,213.47622975403465,125.0,4,-48.52113787774885,100.0,36.209673065331664,606.9596730653317,-63.790326934668336,3.7999999999999996e-08,0,1,3.9218068977500593,0
