controller,step,time_hours,samples,soc_q25_kwh,soc_median_kwh,soc_q75_kwh,power_q25_kw,power_median_kw,power_q75_kw,forced_full_charge_fraction
Rule+QP,80,20.25,65,224.99999995852065,224.99999997937363,224.99999998992,-2.5536433108008152e-14,3.931903861591402e-08,4.0061174550128086e-08,0.0
Rule+QP,81,20.5,65,224.99999995852335,224.9999999689255,224.9999999793776,1.0106067292995206e-08,3.95233430630582e-08,3.972903191059536e-08,0.0
Rule+QP,82,20.75,65,224.9999999481803,224.99999996892157,224.9999999793776,8.703540310657973e-09,3.9319041799001215e-08,3.972895498022488e-08,0.0
Rule+QP,83,21.0,65,224.9999999481764,224.99999996891867,224.9999999793776,3.8622826399703226e-08,3.9512508000128186e-08,3.9728954890361816e-08,0.0
Rule+QP,84,21.25,65,224.99999993789243,224.9999999585245,224.9999999793776,3.8593972936329264e-08,3.930805549184648e-08,3.971805508686764e-08,0.0
Rule+QP,85,21.5,65,224.9999999378772,224.99999995852352,224.99999997937363,3.8578805462541536e-08,3.910463821953744e-08,3.9512634950928666e-08,0.0
Rule+QP,86,21.75,65,224.99999992764836,224.99999995852352,224.99999997937363,1.1003924084273848e-08,3.891316360921588e-08,3.951253097978949e-08,0.0
Rule+QP,87,22.0,65,224.99999992764543,224.99999995852735,224.9999999793776,1.1003924083057172e-08,3.891300683048136e-08,3.971802767444926e-08,0.0
Rule+QP,88,22.25,65,224.99999991746105,224.99999995852065,224.9999999793776,3.852113653205407e-08,3.890228109777303e-08,3.971803359879503e-08,0.0
Rule+QP,89,22.5,65,224.99999991746208,224.99999995852457,224.9999999793776,1.1003924080623797e-08,3.870099465242358e-08,3.9718026630857666e-08,0.0
Rule+QP,90,22.75,65,224.99999991746105,224.9999999585245,224.9999999793776,3.8405983902200095e-08,3.890221108888474e-08,3.952347414019922e-08,0.0
Rule+QP,91,23.0,65,224.99999991745253,224.99999996891867,224.9999999793776,1.1003924078190416e-08,3.871161317631392e-08,3.971813550037223e-08,0.0
Rule+QP,92,23.25,65,203.94736841598527,203.94736841730457,203.9473684173092,79.99999970054456,79.99999989614443,79.99999996520147,0.0
Rule+QP,93,23.5,65,177.6315789423011,177.63157894362035,177.631578943625,100.0,100.0,100.0,0.0
Rule+QP,94,23.75,65,151.31578946861688,151.3157894699361,151.31578946994077,100.0,100.0,100.0,0.0
Rule+QP,95,24.0,65,125.0,125.0,125.0,99.99999998074416,99.99999998575731,99.9999999857749,0.0
NetLoadRule+QP,80,20.25,65,80.84539467182023,172.91447353789675,214.43723585620387,-4.861495862041823,15.000000082163298,45.00000001588162,0.0
NetLoadRule+QP,81,20.5,65,77.05668645544031,157.89473675398756,213.157894659072,0.0,15.000000060234497,60.00000001497951,0.0
NetLoadRule+QP,82,20.75,65,66.39058090660961,149.99999990216915,205.02907683231396,0.0,15.000000081824542,60.00000001499026,0.0
NetLoadRule+QP,83,21.0,65,58.31578937268894,134.2105262139439,189.28626223687104,1.4680477249222229e-08,15.000000082156289,60.00000001501024,0.0
NetLoadRule+QP,84,21.25,65,56.30927187396573,131.40259300909722,188.13157872450287,1.8237487865580728e-08,15.000000060969748,60.00000001435636,0.0
NetLoadRule+QP,85,21.5,65,59.21052620309917,122.36842093099136,176.47697349688548,1.3444924787544293e-08,17.81540848547222,60.00000001502424,0.0
NetLoadRule+QP,86,21.75,65,56.87499981634063,118.42105257435448,169.73684208962513,1.487204749733756e-08,15.00000008243364,60.0000000149031,0.0
NetLoadRule+QP,87,22.0,65,52.92763137932679,106.57894739884831,165.78947365260282,0.0,15.000000060684767,60.00000001497269,0.0
NetLoadRule+QP,88,22.25,65,52.92763137518634,102.6315789089028,157.89473680748532,0.0,15.000000060120634,60.000000014586654,0.0
NetLoadRule+QP,89,22.5,65,38.703947241871774,89.634868264411,149.38942241343062,0.0,15.000000060619842,60.00000001488426,0.0
NetLoadRule+QP,90,22.75,65,35.687499979023464,85.56249995976304,134.21052626311658,0.0,5.996616390380193e-08,60.00000001431071,0.0
NetLoadRule+QP,91,23.0,65,35.687499974599056,85.27631560705075,129.20723661537173,-21.05263157894737,1.9504911164168372e-08,15.000000105919725,0.0
NetLoadRule+QP,92,23.25,65,53.75,71.05263139435809,118.42105252875064,-76.05263168589872,1.5453475051007757e-08,50.7499997631258,0.2153846153846154
NetLoadRule+QP,93,23.5,65,77.5,77.5,114.47368409216938,-100.0,-44.999999939515774,45.00000001597322,0.4153846153846154
NetLoadRule+QP,94,23.75,65,101.25,101.25,122.3684209570024,-100.0,-100.0,6.048422562798805e-08,0.5076923076923077
NetLoadRule+QP,95,24.0,65,125.0,125.0,125.0,-100.0,-100.0,-11.080332812621476,0.6923076923076923
MPC-H24+QP,80,20.25,65,115.46710520411192,224.99999998621396,224.99999998833343,-1.2529914875508791e-10,-1.1639161055240865e-11,1.6388669443329943e-08,0.0
MPC-H24+QP,81,20.5,65,115.46710520704724,213.1578947251854,224.999999988318,-6.884697218726548e-11,-2.5224604456624334e-13,6.203944399857226e-08,0.0
MPC-H24+QP,82,20.75,65,115.46710526062245,213.1578947091111,224.9999999881464,-1.213901445677792e-10,3.03668898948474e-14,10.000000018886508,0.0
MPC-H24+QP,83,21.0,65,115.46710526355776,202.47039469355988,218.4210526140626,-8.913221143498121e-12,1.5178287964781728e-08,36.666666670835205,0.0
MPC-H24+QP,84,21.25,65,121.37692959304422,187.49999997956317,213.15789472499745,-4.3124307366042117e-10,1.6904243105253116e-08,45.000000015153006,0.0
MPC-H24+QP,85,21.5,65,114.31249999557237,172.36842102262557,207.89473682061103,-3.5297304448245726e-09,6.598611112885906,45.00000006594308,0.0
MPC-H24+QP,86,21.75,65,114.3124999909572,160.52631578088054,201.31578941017327,-3.719570923624086e-09,6.247536282212188e-08,45.0000000163276,0.0
MPC-H24+QP,87,22.0,65,112.2639455920209,149.99999991823807,189.47368415495072,-1.2359271279285704e-08,6.487300210384119e-08,45.00000001507365,0.0
MPC-H24+QP,88,22.25,65,114.77486699544131,142.1052630662871,189.47368412817303,-1.2359271279285704e-08,4.6347696363626984e-08,17.499999888051324,0.0
MPC-H24+QP,89,22.5,65,115.4671052811697,136.84210524079575,177.61814690722588,-1.2359271279285704e-08,1.5169837788409103e-08,29.999999964751368,0.0
MPC-H24+QP,90,22.75,65,116.60644955404877,136.37550448274882,172.36842102938672,-1.2359271279285704e-08,1.7841570386534827e-08,32.700139425229345,0.0
MPC-H24+QP,91,23.0,65,114.31250000747356,125.00000006554812,164.0350876426748,1.4675639244853102e-08,3.81637967481392e-08,40.612499998932336,0.0
MPC-H24+QP,92,23.25,65,117.63565889273043,124.99999999035262,154.9707601781649,1.4638944738199796e-08,1.633987238612989e-08,10.00000010893629,0.0
MPC-H24+QP,93,23.5,65,124.99999990391926,124.99999999177513,148.68421049887118,1.4485261660565014e-08,1.5904079106770515e-08,29.99999990370617,0.0
MPC-H24+QP,94,23.75,65,124.999999947769,124.99999998255215,138.68421048892398,1.4485261660565014e-08,2.0041432294900376e-08,44.9999998776616,0.0
MPC-H24+QP,95,24.0,65,125.0,125.0,125.0,-2.199200073511364e-07,-7.346461404124152e-08,51.99999985791112,0.015384615384615385
MPC-H24-FRR+QP,80,20.25,65,131.9865556771937,224.9999999881261,224.9999999891308,-1.0623252259413119e-10,3.61023570650826e-15,1.847205414624404e-08,0.0
MPC-H24-FRR+QP,81,20.5,65,122.13817609119144,216.5625531474628,224.9999999891597,-3.666045389047518e-09,-7.187364846450839e-15,1.6100595057702885e-08,0.0
MPC-H24-FRR+QP,82,20.75,65,111.65740727441823,213.15789471208035,224.99999998918705,-1.345752396455687e-09,2.8769187555316035e-14,1.6650758920300924e-08,0.0
MPC-H24-FRR+QP,83,21.0,65,111.65740727735356,213.15789470656105,224.99999998913077,-4.5802691437379656e-14,3.330770008990648e-09,4.5465262182796355e-08,0.0
MPC-H24-FRR+QP,84,21.25,65,104.37541619992128,201.31578944101943,224.9999999890205,-7.600689004342167e-14,1.47162203198404e-08,45.00000000000016,0.0
MPC-H24-FRR+QP,85,21.5,65,101.24999999519144,189.47368419971755,213.157894726083,-8.458246033571016e-14,1.5982041126624312e-08,45.00000001562955,0.0
MPC-H24-FRR+QP,86,21.75,65,94.48764356476768,173.596896164481,213.1578947141797,-2.3992827429684905e-14,6.195445877334715e-08,45.00000006052009,0.0
MPC-H24-FRR+QP,87,22.0,65,92.24902942784196,156.57894736984255,203.947368416337,1.4416336794828437e-08,4.5458922018580043e-08,45.000000061391376,0.0
MPC-H24-FRR+QP,88,22.25,65,88.43766448940124,148.68421050337577,203.94736841140812,1.3749240601202984e-08,1.6100595057702882e-08,34.999999938629664,0.0
MPC-H24-FRR+QP,89,22.5,65,92.2490294337126,136.84210521636032,192.1052631437615,1.4344167495506288e-08,1.536902290459142e-08,44.9999999476852,0.0
MPC-H24-FRR+QP,90,22.75,65,94.48764357650896,127.63157891232478,177.6315788850442,-2.25992354312104e-14,1.7953962298653098e-08,34.99999998427768,0.0
MPC-H24-FRR+QP,91,23.0,65,88.8478534019644,124.999999995599,173.68421054440924,-2.8939983723175863e-14,1.5386893061141137e-08,34.99999992165196,0.0
MPC-H24-FRR+QP,92,23.25,65,101.24999999524871,124.99999999146584,165.7894736051049,1.4306122043596481e-08,1.8713419563334255e-08,45.00000001518453,0.0
MPC-H24-FRR+QP,93,23.5,65,102.82287325641524,124.9999999904129,151.3157894690673,-8.128637435861506,1.6140818845747608e-08,45.00000001508865,0.0
MPC-H24-FRR+QP,94,23.75,65,115.79860276667829,124.99999999462884,146.05263152338316,-44.99999989383658,1.5937639461628927e-08,50.00000002525463,0.046153846153846156
MPC-H24-FRR+QP,95,24.0,65,125.0,125.0,125.0,-38.742725192933534,-2.2615363616894593e-08,79.99999978885599,0.13846153846153847
MPC-H24-XP+QP,80,20.25,65,115.46710520411196,224.99999998621396,224.99999998833343,-1.2075857156998642e-10,-1.1634644537813068e-11,4.823405269055418e-08,0.0
MPC-H24-XP+QP,81,20.5,65,115.46710520704728,213.1578947251854,224.99999998831805,-6.887107601076265e-11,-2.3026053366208045e-13,6.203944399857226e-08,0.0
MPC-H24-XP+QP,82,20.75,65,115.46710526062245,213.1578947091111,224.9999999881424,-1.213901445677792e-10,2.4073150985605945e-14,10.000000018886508,0.0
MPC-H24-XP+QP,83,21.0,65,115.46710526355776,202.47039469355988,218.42105261406255,-2.502608139114986e-13,1.5178287964781728e-08,36.666666670835205,0.0
MPC-H24-XP+QP,84,21.25,65,121.37692959304422,187.49999997956317,213.15789472499745,-7.053260499852667e-13,1.6904243105253116e-08,45.00000001515293,0.0
MPC-H24-XP+QP,85,21.5,65,114.31249999557237,172.36842102262557,207.89473682061112,-3.5297304448245726e-09,6.5986111128859175,45.00000006594308,0.0
MPC-H24-XP+QP,86,21.75,65,114.3124999909572,160.52631578088054,201.31578941017327,-3.719564455039439e-09,6.068735012507031e-08,45.00000001632761,0.0
MPC-H24-XP+QP,87,22.0,65,112.2639455920209,149.99999991823807,189.47368415495072,-1.2359271279285704e-08,6.487300210384119e-08,45.000000015073965,0.0
MPC-H24-XP+QP,88,22.25,65,114.77486699544131,142.10526306628734,189.47368412817303,-1.2359271279285704e-08,4.634767721404036e-08,17.499999888051324,0.0
MPC-H24-XP+QP,89,22.5,65,115.4671052811697,136.84210524079575,177.61814690722585,-1.2359271279285704e-08,1.5169837788409103e-08,29.99999996475135,0.0
MPC-H24-XP+QP,90,22.75,65,116.60644955404877,136.37550448274882,172.36842102938675,-1.2359271279285704e-08,1.7841570386534827e-08,32.700139425229345,0.0
MPC-H24-XP+QP,91,23.0,65,114.31250000512344,125.00000006554812,164.03508764267417,1.4677487840998562e-08,3.81637967481392e-08,40.612499998932336,0.0
MPC-H24-XP+QP,92,23.25,65,117.63565889273043,124.99999999035262,154.97076017816445,1.4675639245011716e-08,1.633987238612989e-08,10.00000010893629,0.0
MPC-H24-XP+QP,93,23.5,65,124.9999999021951,124.99999999177513,148.68421049887118,1.4638944738199796e-08,1.5904079106770515e-08,29.99999990370622,0.0
MPC-H24-XP+QP,94,23.75,65,124.99999994600846,124.99999998255215,138.68421048892398,1.4638944738199796e-08,2.0041432294900376e-08,44.9999998776616,0.0
MPC-H24-XP+QP,95,24.0,65,125.0,125.0,125.0,-2.2733280801683005e-07,-7.346461404124152e-08,51.99999985791112,0.015384615384615385
PPO-QP,80,20.25,325,25.0,25.0,25.0,0.0,0.0,0.0,0.0
PPO-QP,81,20.5,325,25.0,25.0,25.0,0.0,0.0,0.0,0.0
PPO-QP,82,20.75,325,25.0,25.0,25.0,0.0,0.0,0.0,0.0
PPO-QP,83,21.0,325,25.0,25.0,25.0,0.0,0.0,0.0,0.0
PPO-QP,84,21.25,325,25.0,25.0,25.0,0.0,0.0,0.0,0.0
PPO-QP,85,21.5,325,25.0,25.0,25.0,0.0,0.0,0.0,0.0
PPO-QP,86,21.75,325,25.0,25.0,25.0,0.0,0.0,0.0,0.0
PPO-QP,87,22.0,325,25.0,25.0,25.0,0.0,0.0,0.0,0.0
PPO-QP,88,22.25,325,25.0,25.0,25.0,0.0,0.0,0.0,0.0
PPO-QP,89,22.5,325,25.0,25.0,25.0,0.0,0.0,0.0,0.0
PPO-QP,90,22.75,325,25.0,25.0,25.0,0.0,0.0,0.0,0.0
PPO-QP,91,23.0,325,30.0,30.0,30.0,-21.05263157894737,-21.05263157894737,-21.05263157894737,0.0
PPO-QP,92,23.25,325,53.75,53.75,53.75,-100.0,-100.0,-100.0,1.0
PPO-QP,93,23.5,325,77.5,77.5,77.5,-100.0,-100.0,-100.0,1.0
PPO-QP,94,23.75,325,101.25,101.25,101.25,-100.0,-100.0,-100.0,1.0
PPO-QP,95,24.0,325,125.0,125.0,125.0,-100.0,-100.0,-100.0,1.0
PPO-QP-no-penalty,80,20.25,325,25.0,25.0,25.0,0.0,0.0,0.0,0.0
PPO-QP-no-penalty,81,20.5,325,25.0,25.0,25.0,0.0,0.0,0.0,0.0
PPO-QP-no-penalty,82,20.75,325,25.0,25.0,25.0,0.0,0.0,0.0,0.0
PPO-QP-no-penalty,83,21.0,325,25.0,25.0,25.0,0.0,0.0,0.0,0.0
PPO-QP-no-penalty,84,21.25,325,25.0,25.0,25.0,0.0,0.0,0.0,0.0
PPO-QP-no-penalty,85,21.5,325,25.0,25.0,25.0,0.0,0.0,0.0,0.0
PPO-QP-no-penalty,86,21.75,325,25.0,25.0,25.0,0.0,0.0,0.0,0.0
PPO-QP-no-penalty,87,22.0,325,25.0,25.0,25.0,0.0,0.0,0.0,0.0
PPO-QP-no-penalty,88,22.25,325,25.0,25.0,25.0,0.0,0.0,0.0,0.0
PPO-QP-no-penalty,89,22.5,325,25.0,25.0,25.0,0.0,0.0,0.0,0.0
PPO-QP-no-penalty,90,22.75,325,25.0,25.0,25.0,0.0,0.0,0.0,0.0
PPO-QP-no-penalty,91,23.0,325,30.0,30.0,30.0,-21.05263157894737,-21.05263157894737,-21.05263157894737,0.0
PPO-QP-no-penalty,92,23.25,325,53.75,53.75,53.75,-100.0,-100.0,-100.0,1.0
PPO-QP-no-penalty,93,23.5,325,77.5,77.5,77.5,-100.0,-100.0,-100.0,1.0
PPO-QP-no-penalty,94,23.75,325,101.25,101.25,101.25,-100.0,-100.0,-100.0,1.0
PPO-QP-no-penalty,95,24.0,325,125.0,125.0,125.0,-100.0,-100.0,-100.0,1.0
