controller,seed,episode,episode_seed,training_day,ending_update,ending_transition,service_failure,steps,cost,carbon,task_score,terminal_soc_kwh,terminal_soc_error_kwh,terminal_target_conflict_steps,terminal_roundoff_repair_steps,terminal_ramp_relaxation_steps,soc_violation_rate,soc_violation_steps,ev_completion,final_ev_remaining,lighting_energy_kwh,grid_excess_energy_kwh
PPO-QP,20260809,0,20260909,203,1,96,0,96,139.99373207128932,244.3990657709094,1141.0592145584956,125.0,0.0,0.0,0,1,0.0,0.0,1.0,5.551115123125783e-17,472.5,686.0340181804722
PPO-QP,20260809,1,20261904,38,1,192,0,96,184.6012874236317,241.21545447655143,461.02499974909915,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.6653345369377348e-16,472.5,7.625280956766151
PPO-QP,20260809,2,20262000,42,1,288,0,96,125.09332787582397,167.76402462310594,338.60714135946324,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.7755575615628914e-16,472.5,23.10298178235062
PPO-QP,20260809,3,20262096,93,1,384,0,96,186.0227114486293,168.59321918630684,322.5558903451241,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.6653345369377348e-16,472.5,0.0
PPO-QP,20260809,4,20262192,174,1,480,0,96,178.46459879997622,254.40621422114273,573.5895537694454,125.0,0.0,0.0,0,1,0.0,0.0,1.0,3.3306690738754696e-16,472.5,96.82263348921994
PPO-QP,20260809,5,20262288,201,2,576,0,96,195.32937566181553,329.5755504554711,723.5519082265274,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.6653345369377348e-16,472.5,109.68303882689072
PPO-QP,20260809,6,20261972,11,2,672,0,96,283.4704987363622,276.0399003317247,526.3598758245051,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.7755575615628914e-16,472.5,0.0
PPO-QP,20260809,7,20262068,137,2,768,0,96,166.6830614869871,272.5175249638512,660.4033136139035,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.1102230246251565e-16,472.5,152.2330852022704
PPO-QP,20260809,8,20262164,105,2,864,0,96,142.96891711414332,154.11118368907464,639.4239844396568,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,346.7867218377895
PPO-QP,20260809,9,20262260,43,2,960,0,96,270.35501425998706,358.7904756469744,696.8927015585195,125.0,0.0,0.0,0,1,0.0,0.0,1.0,3.885780586188048e-16,472.5,22.393859414086222
PPO-QP,20260809,10,20262356,31,3,1056,0,96,195.00870997495113,269.39481516291045,551.3183706510122,125.0,0.0,0.0,0,1,0.0,0.0,1.0,5.551115123125783e-17,472.5,45.83923613143828
PPO-QP,20260809,11,20262040,28,3,1152,0,96,135.2262338838766,205.0948894915038,827.73508366893,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,444.1201726055412
PPO-QP,20260809,12,20262136,216,3,1248,0,96,161.15136193354337,275.5413800475507,739.4122510144028,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,226.154796133491
PPO-QP,20260809,13,20262232,210,3,1344,0,96,150.14626210253394,238.33259316152294,877.13562658651,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,431.91612104422256
PPO-QP,20260809,14,20262328,96,3,1440,0,96,169.39312922599555,160.23094126638102,455.35834075342837,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,149.0461842896151
PPO-QP,20260809,15,20262424,121,3,1536,0,96,162.68679838325596,286.2442608511538,777.2616626242745,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.1102230246251565e-16,472.5,244.80665674792158
PPO-QP,20260809,16,20262520,16,4,1632,0,96,228.80697911617398,307.3442889732421,613.8895797228217,125.0,0.0,0.0,0,1,0.0,0.0,1.0,3.885780586188048e-16,472.5,36.63874440526645
PPO-QP,20260809,17,20262204,148,4,1728,0,96,163.37482441662215,212.3499885022895,579.416143400966,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,179.8921098039851
PPO-QP,20260809,18,20262300,149,4,1824,0,96,181.34377753461953,223.8488907472938,646.6068200436625,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.220446049250313e-16,472.5,224.5280240262063
PPO-QP,20260809,19,20262396,126,4,1920,0,96,132.86830697402598,239.06113863378965,995.9684202197808,125.0,0.0,0.0,0,1,0.0,0.0,1.0,3.885780586188048e-16,472.5,551.3935341057467
PPO-QP,20260809,20,20262492,10,4,2016,0,96,206.37799048708203,277.71864350814815,521.3435464009748,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.6653345369377348e-16,472.5,0.0
PPO-QP,20260809,21,20262588,30,5,2112,0,96,244.02244825809595,349.43206034704207,657.2622794795026,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.1102230246251565e-16,472.5,2.701765203155316
PPO-QP,20260809,22,20262272,125,5,2208,0,96,152.09356383766254,267.7956163710755,702.8683920874715,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.7755575615628914e-16,472.5,204.58697029456337
PPO-QP,20260809,23,20262368,157,5,2304,0,96,208.16245473357765,267.21287709805466,558.830532246304,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,55.51877061415479
