controller,seed,episode,update,transition,endpoint_minimum_violation_kw,endpoint_infeasible,feasible_state_violation,extra_excess_energy_kwh_step,power_lower_kw,power_upper_kw,ev_lower_fraction,ev_upper_fraction,base_load_minus_pv_kw,lighting_kw,day,step,soc_kwh,target_kwh,remaining_steps,physical_lower_kw,physical_upper_kw,terminal_lower_kw,terminal_upper_kw,terminal_physical_gap_kw,tolerance_kw,terminal_roundoff_repair,terminal_ramp_relaxation,terminal_ramp_gap_kw,terminal_target_conflict_step
PPO-QP,20260807,19,4,1917,0,0,0,0.0,-100.0,-100.0,0.0,1.9932333561456517e-11,105.46834623074572,30.0,204,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,20,4,2013,0,0,0,0.0,-100.0,-100.0,0.0,1.9936515401515937e-11,110.48753847270052,30.0,160,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,21,5,2109,0,0,0,0.0,-100.0,-100.0,0.0,1.985932159461375e-11,100.48692081466652,30.0,32,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,22,5,2205,0,0,0,0.0,-100.0,-100.0,0.0,1.9995542258991843e-11,84.73391284961718,30.0,63,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,23,5,2301,0,0,0,0.0,-100.0,-100.0,0.0,1.995324646249704e-11,110.00887532212714,30.0,215,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,24,5,2397,0,0,0,0.0,-100.0,-100.0,0.0,1.9582121109825343e-11,109.9284297131466,30.0,221,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,25,5,2493,0,0,0,0.0,-100.0,-100.0,0.0,1.947860391500929e-11,96.25561346436216,30.0,8,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,26,6,2589,0,0,0,0.0,-100.0,-100.0,0.0,1.9801578895102996e-11,110.10922097309025,30.0,167,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,27,6,2685,0,0,0,0.0,-100.0,-100.0,0.0,1.9876430131423226e-11,109.00381953646375,30.0,159,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,28,6,2781,0,0,0,0.0,-100.0,-100.0,0.0,1.9968245575559726e-11,114.98663326839446,30.0,182,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,29,6,2877,0,0,0,0.0,-100.0,-100.0,0.0,2.00091424910435e-11,97.11329274490448,30.0,224,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,30,6,2973,0,0,0,0.0,-100.0,-100.0,0.0,1.993043878082782e-11,100.89617127432541,30.0,141,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,31,6,3069,0,0,0,0.0,-100.0,-100.0,0.0,0.0,80.32125119024646,30.0,20,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,32,7,3165,0,0,0,0.0,-100.0,-100.0,0.0,2.0005797018995965e-11,102.02181808763575,30.0,44,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,33,7,3261,0,0,0,0.0,-100.0,-100.0,0.0,0.0,109.81392204466715,30.0,163,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,34,7,3357,0,0,0,0.0,-100.0,-100.0,0.0,2.0024400656145265e-11,106.13850935359314,30.0,234,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
