seed,controller,update,transitions,mean_training_reward,terminal_roundoff_repair,terminal_ramp_relaxation,terminal_target_conflict_step,cumulative_completed_episodes,cumulative_service_failure_episodes,partial_episode_steps,partial_episode_soc_kwh,partial_episode_ev_remaining_kwh,partial_episode_terminal_conflict_steps,partial_episode_roundoff_repair_steps
20260806,PPO-QP-no-penalty,1,512,-6.12929996891195,0,5,0,5,0,32,52.81185610750896,3.051165986533988e-10,0.0,0
20260806,PPO-QP-no-penalty,2,1024,-7.726524340206785,0,3,0,10,0,64,216.27722651844732,2.953868816213401e-10,0.0,0
20260806,PPO-QP-no-penalty,3,1536,-5.660652553958862,0,7,0,16,0,0,125.0,36.664965786213905,0.0,0
20260806,PPO-QP-no-penalty,4,2048,-5.873339235679071,0,5,0,21,0,32,47.04782215796859,3.0425750807694385e-10,0.0,0
20260806,PPO-QP-no-penalty,5,2560,-6.2553239427868075,0,5,0,26,0,64,224.7625001043526,3.0061458877739256e-10,0.0,0
20260806,PPO-QP-no-penalty,6,3072,-6.241261508255095,2,6,0,32,0,0,125.0,46.68808172680302,0.0,0
20260806,PPO-QP-no-penalty,7,3584,-6.2497851377637685,0,5,0,37,0,32,32.54550605317256,2.9849428484496343e-10,0.0,0
20260806,PPO-QP-no-penalty,8,4096,-6.846334896560585,0,7,0,42,0,64,195.93574210417165,2.9978419746612417e-10,0.0,0
20260806,PPO-QP-no-penalty,9,4608,-5.4272806788980255,0,8,0,48,0,0,125.0,33.580995968791754,0.0,0
20260806,PPO-QP-no-penalty,10,5120,-5.945419605575037,0,6,0,53,0,32,48.982840400238445,2.9910651733189297e-10,0.0,0
20260806,PPO-QP-no-penalty,11,5632,-6.354474893991048,0,5,0,58,0,64,25.0,3.010784954682322e-10,0.0,0
20260806,PPO-QP-no-penalty,12,6144,-6.835992898947089,1,5,0,64,0,0,125.0,40.28788268904559,0.0,0
20260806,PPO-QP-no-penalty,13,6656,-6.002394204550462,1,6,0,69,0,32,30.49023877434724,3.004320681121442e-10,0.0,0
20260806,PPO-QP-no-penalty,14,7168,-7.463652263504166,0,4,0,74,0,64,224.76248022936065,2.9872532225638793e-10,0.0,0
