controller,cost,carbon,task_score,peak,grid_excess_energy_kwh,grid_violation_step_rate,grid_max_exceedance_kw,soc_violation_rate,terminal_soc_error_kwh,ev_completion,lighting_energy_kwh,mean_action_correction,bess_throughput_kwh,ramp_slack_kw_mean,max_ramp_kw,endpoint_infeasible_steps,feasible_state_violation_steps,extra_excess_energy_kwh,hard_qp_solution,phase2_solution,phase1_fallback,heuristic_fallback,mpc_fallbacks,mpc_time_limit_incumbents,runtime_mean_ms,runtime_p95_ms
Rule+QP,201.47841578689986,294.3152875352092,653.5011792273253,205.3688016718127,103.21565238019555,0.08429487179487176,49.363828905066406,0.0,0.0,1.0,472.5,1.1821612989369745,245.52083689779187,0.43727517134459887,80.19778986645768,8.092307692307692,0.0,1.1650932606872726e-05,87.9076923076923,8.092307692307692,0.0,0.0,0.0,0.0,3.285344967980563,5.851465384610212
MPC-H24+QP,196.1035880555704,278.4498269961992,572.2287949027515,230.79885371516144,50.49845562137974,0.041185897435897414,30.72570318120745,0.0,0.0,1.0,472.5,0.0075971379647585754,542.4869869680604,0.05112546535163306,49.889408446731466,3.953846153846154,0.0,0.38077247685096033,92.04615384615384,3.953846153846154,0.0,0.0,0.2,0.07692307692307693,39.52063564100242,150.1755819227233
NetLoadRule+QP,194.1179188207565,281.6385664091424,592.295402978475,230.35434640115125,64.87004313620956,0.04727564102564101,34.25669640164907,0.0,0.0,1.0,472.5,4.499616220955323e-06,668.5490604443789,0.7488153695616264,96.78605395764109,4.538461538461538,0.0,1.8386145168409923e-07,91.46153846153847,4.538461538461538,0.0,0.0,0.0,0.0,2.5538075160010267,3.9762288461553488
MPC-H24-FRR+QP,196.74843714661054,279.34702188918124,575.1535741411078,234.95844669505382,51.657862724034445,0.04326923076923075,31.799257778310285,0.0,0.0,1.0,472.5,0.007801400401099177,579.4414486057375,0.6910005088712451,88.55650463187467,4.153846153846154,0.0,0.36538958817036377,91.84615384615384,4.153846153846154,0.0,0.0,0.0,0.0,22.734459246809518,62.98162384574915
