controller,seed,day,step,p,soc,grid_import,grid_export,grid_violation,qp_execution_path,endpoint_minimum_violation_kw,endpoint_infeasible,feasible_state_violation,extra_excess_energy_kwh_step,power_lower_kw,power_upper_kw,ev_lower_fraction,ev_upper_fraction,base_load_minus_pv_kw,lighting_kw,soc_kwh,target_kwh,remaining_steps,physical_lower_kw,physical_upper_kw,terminal_lower_kw,terminal_upper_kw,terminal_physical_gap_kw,tolerance_kw,terminal_roundoff_repair,terminal_ramp_relaxation,terminal_ramp_gap_kw,terminal_target_conflict_step,mpc_status,mpc_fallback,runtime_ms
PPO-QP,20260808,300,0,45.0,113.15789473684211,111.16097921670075,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,45.0,0.0,1.0,97.70998765905667,30.0,125.0,125.0,96,-100.0,100.0,-421.0526315789474,380.0,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,147.00129999982892
PPO-QP,20260808,300,1,72.03732074655848,94.20070506669514,84.7359944676477,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,0.0,90.0,0.0,1.0,100.75670270104425,30.0,113.15789473684211,125.0,95,-100.0,100.0,-470.9141274238227,335.0,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.195900000515394
PPO-QP,20260808,300,2,91.61997274905497,70.09018592220698,51.11144204556746,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,27.03732074655848,100.0,0.0,1.0,91.36008812038865,30.0,94.20070506669514,125.0,94,-100.0,100.0,-550.7338734033889,262.9626792534415,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.1808999954373576
PPO-QP,20260808,300,3,99.99999992616765,43.77439646795234,47.7952033031284,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,46.619972749054966,100.0,0.0,1.0,97.75577123237075,30.0,70.09018592220698,125.0,93,-100.0,100.0,-652.2518487486022,171.34270650438654,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.873399996838998
PPO-QP,20260808,300,4,71.3427065782189,25.0,76.10849245299411,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,54.999999926167646,71.3427065782189,0.0,0.7320898476356278,98.20829624415647,30.0,43.77439646795234,125.0,92,-100.0,71.3427065782189,-763.0551727665165,71.3427065782189,-171.3427065782189,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.3325000001932494
PPO-QP,20260808,300,5,0.0,25.0,153.70415864362934,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-100.0,0.0,0.0,0.4113748011846854,99.2669192220634,30.0,25.0,125.0,91,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.7364999948767945
PPO-QP,20260808,300,6,-1.7001727095779793e-06,25.00000040379102,126.33757346527184,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,0.0040874774919197185,96.09232311558395,30.0,25.0,125.0,90,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.046699999482371
PPO-QP,20260808,300,7,1.534405876668643e-06,25.0,125.31130442097563,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.00000170017271,1.534405876668643e-06,0.0,0.0,95.31130595538151,30.0,25.00000040379102,125.0,89,-100.0,1.534405876668643e-06,-842.105261457722,1.534405876668643e-06,-100.00000153440588,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.7942999984370545
PPO-QP,20260808,300,8,0.0,25.0,117.4326848651259,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-44.999998465594125,0.0,0.0,0.0,87.4326848651259,30.0,25.0,125.0,88,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.9801000016741455
PPO-QP,20260808,300,9,0.0,25.0,122.03176280243441,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,0.0,92.03176280243441,30.0,25.0,125.0,87,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.1634000004269183
