controller,episodes,any_forced_full_charge_fraction,ramp_slack_kw_p95,ramp_slack_kw_max,ramp_material_event_count,charge_energy_final4_kwh_mean,charge_energy_final4_kwh_q25,charge_energy_final4_kwh_median,charge_energy_final4_kwh_q75,soc_change_final4_kwh_mean,soc_change_final4_kwh_q25,soc_change_final4_kwh_median,soc_change_final4_kwh_q75,gross_import_cost_final4_mean,gross_import_cost_final4_q25,gross_import_cost_final4_median,gross_import_cost_final4_q75,export_excess_final4_kwh_mean,export_excess_final4_kwh_q25,export_excess_final4_kwh_median,export_excess_final4_kwh_q75,forced_full_charge_steps_final4_mean,forced_full_charge_steps_final4_q25,forced_full_charge_steps_final4_median,forced_full_charge_steps_final4_q75
Rule+QP,65,0.0,0.0,50.20052583731436,93,0.23824297263964578,3.330018093509795e-08,7.718999283600622e-08,9.870243626512473e-08,-99.53698065390276,-99.99999998992001,-99.9999999793776,-99.99999995852735,36.91142459092384,31.14739494814067,38.530960435214354,39.430168653119445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NetLoadRule+QP,65,0.6923076923076923,0.0,109.50474602375772,143,74.38063659119416,41.71011383605534,77.56232696958013,105.26315789473685,-27.192324065958946,-88.15789468047572,-51.8618419864857,32.31250006105482,42.64832636705406,37.0422539208201,41.313687437854625,48.287741435216205,0.0,0.0,0.0,0.0,1.8307692307692307,0.0,2.0,3.0
MPC-H24+QP,65,0.015384615384615385,0.0,50.72202609870833,12,13.150679164393765,4.08324621165032e-09,5.865238780740898e-08,22.50000001855563,-60.24247846414036,-99.99999998832519,-99.99999998815639,-3.0167792611705124,40.467697580005265,36.91187167584085,39.21416429495899,40.588585512178994,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.0,0.0
MPC-H24-FRR+QP,65,0.13846153846153847,0.0,141.88135346609914,128,25.224559960454844,9.230964740468867e-10,12.465373984459188,50.00000000414411,-57.32514423382497,-99.99999998917721,-99.99999998902277,-13.104102134182426,40.3936005113257,35.317941676572886,39.0920067735255,40.37050884258104,0.0,0.0,0.0,0.0,0.18461538461538463,0.0,0.0,0.0
MPC-H24-XP+QP,65,0.015384615384615385,0.0,50.722026098708355,14,13.47813494983662,4.08324621165032e-09,5.865238780740898e-08,22.50000001856462,-59.92051266379547,-99.99999998832519,-99.9999999881544,-3.0167792611705124,40.49512870289258,36.91187167584085,39.21416429495899,40.588585512178994,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,0.0,0.0
PPO-QP,325,1.0,0.0,54.70863981965422,781,105.26410380973194,105.26315789473685,105.26315789473685,105.26315789473685,99.03102572312174,100.0,100.0,100.0,52.692482182252526,47.327278862050555,54.31248613866218,55.240452583697255,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0
PPO-QP-no-penalty,325,1.0,0.0,53.954216797695395,829,105.26315789473686,105.26315789473685,105.26315789473685,105.26315789473685,100.0,100.0,100.0,100.0,52.76678377005048,47.32727886205049,54.35030654317733,55.24045258369736,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0
