controller,seed,episode,update,transition,endpoint_minimum_violation_kw,endpoint_infeasible,feasible_state_violation,extra_excess_energy_kwh_step,power_lower_kw,power_upper_kw,ev_lower_fraction,ev_upper_fraction,base_load_minus_pv_kw,lighting_kw,day,step,soc_kwh,target_kwh,remaining_steps,physical_lower_kw,physical_upper_kw,terminal_lower_kw,terminal_upper_kw,terminal_physical_gap_kw,tolerance_kw,terminal_roundoff_repair,terminal_ramp_relaxation,terminal_ramp_gap_kw,terminal_target_conflict_step
PPO-QP-no-penalty,20260805,18,4,1821,0,0,0,0.0,-100.0,-100.0,0.0,3.7007434154171884e-18,109.81392204466715,30.0,163,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,19,4,1917,0,0,0,0.0,-100.0,-100.0,0.0,1.9851624048309682e-11,109.25196286046445,30.0,158,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,20,4,2013,0,0,0,0.0,-100.0,-100.0,0.0,2.0052729846990283e-11,88.20043028629402,30.0,48,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,21,5,2109,0,0,0,0.0,-100.0,-100.0,0.0,2.0007558572861703e-11,83.30546343049515,30.0,77,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,22,5,2205,0,0,0,0.0,-100.0,-100.0,0.0,1.9917142009736228e-11,95.87781493241873,30.0,133,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,23,5,2301,0,0,0,0.0,-100.0,-100.0,0.0,2.009598413602968e-11,95.08737753583918,30.0,148,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,24,5,2397,0,0,0,0.0,-100.0,-100.0,0.0,1.983376426058688e-11,90.64375549933027,30.0,80,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,25,5,2493,0,0,0,0.0,-100.0,-100.0,0.0,1.9843071630276654e-11,93.83291616695745,30.0,124,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,26,6,2589,0,0,0,0.0,-100.0,-100.0,0.0,1.9992866621502496e-11,110.48753847270052,30.0,160,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,27,6,2685,0,0,0,0.0,-100.0,-100.0,0.0,1.9992085764641844e-11,98.60021436873261,30.0,138,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,28,6,2781,0,0,0,0.0,-100.0,-100.0,0.0,0.0,101.49658100152236,30.0,177,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,29,6,2877,0,0,0,0.0,-100.0,-100.0,0.0,7.401486830834377e-18,109.81392204466715,30.0,163,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,30,6,2973,0,0,0,0.0,-100.0,-100.0,0.0,2.007040829828573e-11,112.54618120928845,30.0,212,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,31,6,3069,0,0,0,0.0,-100.0,-100.0,0.0,0.0,94.0077774045799,30.0,78,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,32,7,3165,0,0,0,0.0,-100.0,-100.0,0.0,2.0139915661114098e-11,95.87781493241873,30.0,133,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,33,7,3261,0,0,0,0.0,-100.0,-100.0,0.0,1.9800986776156528e-11,109.9284297131466,30.0,221,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,57.266645413073874,0
PPO-QP-no-penalty,20260805,34,7,3357,0,0,0,0.0,-100.0,-100.0,0.0,1.9934875972182908e-11,109.9284297131466,30.0,221,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,35,7,3453,0,0,0,0.0,-100.0,-100.0,0.0,2.0082269180932144e-11,102.75890329454388,30.0,187,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,36,7,3549,0,0,0,0.0,-100.0,-100.0,0.0,1.9994346918868664e-11,103.76593309393455,30.0,130,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,37,8,3645,0,0,0,0.0,-100.0,-100.0,0.0,1.9980805898711652e-11,94.11350934331959,30.0,103,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,38,8,3741,0,0,0,0.0,-100.0,-100.0,0.0,1.994239218205962e-11,100.43147422329041,30.0,118,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,39,8,3837,0,0,0,0.0,-100.0,-100.0,0.0,1.9949397689345007e-11,99.17660338336258,30.0,113,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,40,8,3933,0,0,0,0.0,-100.0,-100.0,0.0,0.0,106.52560817321435,30.0,227,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,41,8,4029,0,0,0,0.0,-100.0,-100.0,0.0,1.9778341927197593e-11,104.06273500373985,30.0,192,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,42,9,4125,0,0,0,0.0,-100.0,-100.0,0.0,2.0072280874453932e-11,114.98663326839446,30.0,182,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,43,9,4221,0,0,0,0.0,-100.0,-100.0,0.0,1.9901728413411018e-11,114.05868659417193,30.0,202,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,44,9,4317,0,0,0,0.0,-100.0,-100.0,0.0,2.018230027545087e-11,109.25196286046445,30.0,158,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,45,9,4413,0,0,0,0.0,-100.0,-100.0,0.0,1.9864832001559307e-11,104.874570453267,30.0,238,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,46,9,4509,0,0,0,0.0,-100.0,-100.0,0.0,2.0005982056166734e-11,95.77455035660361,30.0,116,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,47,9,4605,0,0,0,0.0,-100.0,-100.0,0.0,2.0193417308670784e-11,100.88219124321412,30.0,145,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,48,10,4701,0,0,0,0.0,-100.0,-100.0,0.0,2.0122055873391294e-11,111.07898321111968,30.0,203,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,49,10,4797,0,0,0,0.0,-100.0,-100.0,0.0,1.9944527511010317e-11,104.42171889899856,30.0,154,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,50,10,4893,0,0,0,0.0,-100.0,-100.0,0.0,2.0031820646693178e-11,101.21404399016883,30.0,40,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,51,10,4989,0,0,0,0.0,-100.0,-100.0,0.0,2.015138056421506e-11,112.82024492984584,30.0,205,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,52,10,5085,0,0,0,0.0,-100.0,-100.0,0.0,2.0149452476895628e-11,111.81848596317624,30.0,207,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,53,11,5181,0,0,0,0.0,-100.0,-100.0,0.0,2.0026032683991465e-11,99.02691431499208,30.0,144,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,54,11,5277,0,0,0,0.0,-100.0,-100.0,0.0,2.009957755788605e-11,101.7500204535244,30.0,123,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,55,11,5373,0,0,0,0.0,-100.0,-100.0,0.0,2.0077302783268654e-11,108.22393721596258,30.0,209,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,56,11,5469,0,0,0,0.0,-100.0,-100.0,0.0,2.026520803018646e-11,100.24751861636082,30.0,107,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,57,11,5565,0,0,0,0.0,-100.0,-100.0,0.0,1.9997681288685954e-11,101.10748378887497,30.0,110,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,58,12,5661,0,0,0,0.0,-100.0,-100.0,0.0,2.0079441812962764e-11,100.83889927295647,30.0,31,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,59,12,5757,0,0,0,0.0,-100.0,-100.0,0.0,1.992555750026289e-11,101.10748378887497,30.0,110,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,60,12,5853,0,0,0,0.0,-100.0,-100.0,0.0,1.9907657004362515e-11,97.84049651637996,30.0,114,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,61,12,5949,0,0,0,0.0,-100.0,-100.0,0.0,0.0,93.11517390836408,30.0,96,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,62,12,6045,0,0,0,0.0,-100.0,-100.0,0.0,2.0303921507055142e-11,105.46954824232857,30.0,143,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,63,12,6141,0,0,0,0.0,-100.0,-100.0,0.0,1.998481380383055e-11,92.05160546747763,30.0,120,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,64,13,6237,0,0,0,0.0,-100.0,-100.0,0.0,2.0019808033566732e-11,100.12765026961917,30.0,111,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,65,13,6333,0,0,0,0.0,-100.0,-100.0,0.0,2.0012465758630545e-11,102.34785609960065,30.0,23,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,66,13,6429,0,0,0,0.0,-100.0,-100.0,0.0,0.0,87.01349732194478,30.0,60,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,67,13,6525,0,0,0,0.0,-100.0,-100.0,0.0,1.9930301853321454e-11,105.45166917558011,30.0,213,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,68,13,6621,0,0,0,0.0,-100.0,-100.0,0.0,2.0031076797266677e-11,99.83051753648506,30.0,190,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,69,14,6717,0,0,0,0.0,-100.0,-100.0,0.0,1.984217975111354e-11,101.7500204535244,30.0,123,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,70,14,6813,0,0,0,0.0,-100.0,-100.0,0.0,1.9961702661201267e-11,98.04912306783665,30.0,136,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,71,14,6909,0,0,0,0.0,-100.0,-100.0,0.0,1.9921305346078572e-11,104.874570453267,30.0,238,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,72,14,7005,0,0,0,0.0,-100.0,-100.0,0.0,2.0062855080974865e-11,87.66406128442175,30.0,34,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,73,14,7101,0,0,0,0.0,-100.0,-100.0,0.0,2.0032594102067e-11,103.35487004591415,30.0,223,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP-no-penalty,20260805,74,15,7197,0,0,0,0.0,-100.0,-100.0,0.0,2.0070400896798902e-11,112.16735870136588,30.0,181,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
