controller,seed,transitions,episodes,partial_episode_steps,service_failure_episodes,roundoff_repair_steps,terminal_ramp_relaxation_steps,terminal_target_conflict_steps,terminal_error_abs_max_kwh,elapsed_seconds
PPO-QP,20260805,46080,480,0,0,0,482,0,0.0,136.6662376000022
PPO-QP,20260806,46080,480,0,0,24,498,0,0.0,138.37680859999818
PPO-QP,20260807,46080,480,0,0,0,473,0,0.0,136.99117309999565
PPO-QP,20260808,46080,480,0,0,6,464,0,0.0,141.781003899996
PPO-QP,20260809,46080,480,0,0,0,480,0,0.0,139.42085199999565
PPO-QP-no-penalty,20260805,46080,480,0,0,0,483,0,0.0,111.43079809999472
PPO-QP-no-penalty,20260806,46080,480,0,0,37,502,0,0.0,112.58468379999977
PPO-QP-no-penalty,20260807,46080,480,0,0,0,474,0,0.0,112.04551839999476
PPO-QP-no-penalty,20260808,46080,480,0,0,1,485,0,0.0,115.99906990000454
PPO-QP-no-penalty,20260809,46080,480,0,0,0,480,0,0.0,113.88577369999985
