seed,controller,update,transitions,mean_training_reward,terminal_roundoff_repair,terminal_ramp_relaxation,terminal_target_conflict_step,cumulative_completed_episodes,cumulative_service_failure_episodes,partial_episode_steps,partial_episode_soc_kwh,partial_episode_ev_remaining_kwh,partial_episode_terminal_conflict_steps,partial_episode_roundoff_repair_steps
20260808,PPO-QP-no-penalty,1,512,-8.514503122026298,0,6,0,5,0,32,225.0,2.793045794646787e-10,0.0,0
20260808,PPO-QP-no-penalty,2,1024,-6.579440276775841,0,6,0,10,0,64,187.87455739838046,2.8202751245487434e-10,0.0,0
20260808,PPO-QP-no-penalty,3,1536,-6.482585741238573,0,7,0,16,0,0,125.0,36.43636706083862,0.0,0
20260808,PPO-QP-no-penalty,4,2048,-8.307007183480179,0,5,0,21,0,32,225.0,2.8146601716017017e-10,0.0,0
20260808,PPO-QP-no-penalty,5,2560,-7.993897806734312,0,6,0,26,0,64,25.0,3.0630370462247924e-10,0.0,0
20260808,PPO-QP-no-penalty,6,3072,-7.212634919504564,1,5,0,32,0,0,125.0,50.5660678218938,0.0,0
20260808,PPO-QP-no-penalty,7,3584,-6.198271058293643,0,5,0,37,0,32,225.0,2.8478164271206197e-10,0.0,0
20260808,PPO-QP-no-penalty,8,4096,-7.114803875866219,0,5,0,42,0,64,222.68861112873975,2.8128677165284444e-10,0.0,0
20260808,PPO-QP-no-penalty,9,4608,-6.834083429017605,0,6,0,48,0,0,125.0,32.84318643265382,0.0,0
20260808,PPO-QP-no-penalty,10,5120,-9.351230103564637,0,7,0,53,0,32,225.0,2.783495656188961e-10,0.0,0
20260808,PPO-QP-no-penalty,11,5632,-9.63441535090259,0,5,0,58,0,64,224.99999999634753,2.808676069498972e-10,0.0,0
20260808,PPO-QP-no-penalty,12,6144,-8.406408910195594,0,6,0,64,0,0,125.0,40.29863515619486,0.0,0
20260808,PPO-QP-no-penalty,13,6656,-8.060150618986928,0,5,0,69,0,32,219.68473849255486,2.834297241349759e-10,0.0,0
20260808,PPO-QP-no-penalty,14,7168,-7.271920284856744,0,5,0,74,0,64,224.7185190258905,2.8145974440008104e-10,0.0,0
