controller,seed,day,step,p,soc,grid_import,grid_export,grid_violation,qp_execution_path,endpoint_minimum_violation_kw,endpoint_infeasible,feasible_state_violation,extra_excess_energy_kwh_step,power_lower_kw,power_upper_kw,ev_lower_fraction,ev_upper_fraction,base_load_minus_pv_kw,lighting_kw,soc_kwh,target_kwh,remaining_steps,physical_lower_kw,physical_upper_kw,terminal_lower_kw,terminal_upper_kw,terminal_physical_gap_kw,tolerance_kw,terminal_roundoff_repair,terminal_ramp_relaxation,terminal_ramp_gap_kw,terminal_target_conflict_step,mpc_status,mpc_fallback,runtime_ms,raw_battery_kw,raw_ev_fraction,executed_ev_fraction,action_correction
NetLoadRule+QP,0,300,0,3.553031930976332e-08,124.99999999064991,166.70998761086986,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,45.0,0.0,1.0,97.70998765905667,30.0,125.0,125.0,96,-100.0,100.0,-421.0526315789474,380.0,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.157499999157153,0.0,0.65,0.6499999997890588,5.515661585214825e-10
NetLoadRule+QP,0,300,1,45.00000003553032,113.15789471814193,124.75670267125315,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-44.99999996446968,45.00000003553032,0.0,1.0,100.75670270104425,30.0,124.99999999064991,125.0,95,-100.0,100.0,-421.0526316183162,379.9999999644696,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.9768999991356395,45.00000003553032,0.65,0.6500000000956537,1.9130741435446907e-10
NetLoadRule+QP,0,300,2,60.0000000207697,97.36842102846569,100.36008809219038,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,3.5530320019461215e-08,90.00000003553032,0.0,1.0,91.36008812038865,30.0,113.15789471814193,125.0,94,-100.0,100.0,-470.9141275025603,334.9999999289393,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.9079999983659945,60.0,0.65,0.6499999998761906,3.231920618886279e-10
NetLoadRule+QP,0,300,3,60.00000004269602,81.57894733301937,90.55952477126931,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,15.000000020769697,100.0,0.0,0.3800625602408096,97.75577123237075,30.0,97.36842102846569,125.0,93,-100.0,100.0,-537.3961219854076,274.9999999081696,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.523300005123019,60.0,0.3800625602408096,0.3800625596932431,1.1754196289203794e-09
NetLoadRule+QP,0,300,4,60.000000017555664,65.78947364418893,68.20829623898666,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,15.000000042696023,100.0,0.0,5.475664958491203e-10,98.20829624415647,30.0,81.57894733301937,125.0,92,-100.0,100.0,-603.8781164925501,214.9999998654736,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.4102999959723093,60.0,5.475664921483769e-10,2.0643087239591296e-10,7.044957006646605e-10
NetLoadRule+QP,0,300,5,60.000000017012425,49.99999995550145,69.26691920505097,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,15.000000017555664,100.0,0.0,3.411356234532074e-10,99.2669192220634,30.0,65.78947364418893,125.0,91,-100.0,100.0,-670.3601109718361,154.99999984791793,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.3469000007025898,60.0,3.41135619752464e-10,0.0,7.031616485707608e-10
NetLoadRule+QP,0,300,6,15.00000006318892,46.05263151782015,111.09232306617261,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,15.000000017012425,94.99999983090551,0.0,3.411356234532074e-10,96.09232311558395,30.0,49.99999995550145,125.0,90,-100.0,94.99999983090551,-736.8421054505203,94.99999983090551,-194.9999998309055,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.641899998707231,15.000000017012423,3.41135619752464e-10,2.2962626244904527e-10,5.128003753722081e-10
NetLoadRule+QP,0,300,7,60.00000003697553,30.263157823879226,65.31130591850419,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-29.99999993681108,60.00000006318892,0.0,1.1150936100416212e-10,95.31130595538151,30.0,46.05263151782015,125.0,89,-100.0,79.99999976771657,-753.4626041354942,79.99999976771657,-179.9999997677166,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.7738999997382052,60.0,1.1150935730341871e-10,1.6368018052048683e-12,4.301243115501383e-10
NetLoadRule+QP,0,300,8,19.999999730741056,25.0,97.43268513775547,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,15.000000036975528,19.999999730741056,0.0,1.0987255919895726e-10,87.4326848651259,30.0,30.263157823879226,125.0,88,-100.0,19.999999730741056,-819.944598636298,19.999999730741056,-119.99999973074105,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.5543000010657124,19.999999730741056,1.0987255549821384e-10,5.6177007490276765e-11,1.0739109601587415e-10
NetLoadRule+QP,0,300,9,0.0,25.0,122.03176280277292,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-25.000000269258944,0.0,0.0,5.369555170868049e-11,92.03176280243441,30.0,25.0,125.0,87,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.9966000001877546,0.0,5.369554800793708e-11,5.641764833086427e-12,9.61075663497013e-11
