controller,cost,carbon,task_score,peak,grid_excess_energy_kwh,grid_violation_step_rate,grid_max_exceedance_kw,soc_violation_rate,terminal_soc_error_kwh,ev_completion,lighting_energy_kwh,mean_action_correction,bess_throughput_kwh,ramp_slack_kw_mean,max_ramp_kw,endpoint_infeasible_steps,feasible_state_violation_steps,extra_excess_energy_kwh,hard_qp_solution,phase2_solution,phase1_fallback,heuristic_fallback,mpc_fallbacks,mpc_time_limit_incumbents,runtime_mean_ms,runtime_p95_ms,export_excess_energy_kwh,import_excess_energy_kwh,terminal_target_conflict_rate,soc_violation_steps,grid_violation_steps,steps,evaluation_rows,unique_scenario_days,trained_seed_count,runtime_pooled_p95_ms,hard_qp_solution_total,phase2_solution_total,phase1_fallback_total,heuristic_fallback_total,grid_violation_steps_total,endpoint_infeasible_steps_total,feasible_state_violation_steps_total,mpc_fallbacks_total,mpc_time_limit_incumbents_total
Rule+QP,201.47841578689986,294.3152875352092,653.5011792273253,205.3688016718127,103.21565238019555,0.08429487179487177,49.363828905066406,0.0,0.0,1.0,472.5,1.1821612989369747,245.52083689779184,0.43727517134459887,80.19778986645768,8.092307692307692,0.0,1.1650932606872726e-05,87.9076923076923,8.092307692307692,0.0,0.0,0.0,0.0,3.2853449679805635,5.851465384610212,103.21565238019555,0.0,0.0,0.0,8.092307692307692,96.0,65,65,0,7.380489995557575,5714.0,526.0,0.0,0.0,526.0,526.0,0.0,0,0
NetLoadRule+QP,194.1179188207565,281.6385664091424,592.2954029784748,230.35434640115128,64.87004313620956,0.04727564102564101,34.25669640164907,0.0,0.0,1.0,472.5,4.499616220955323e-06,668.5490604443789,0.7488153695616265,96.7860539576411,4.538461538461538,0.0,1.8386145168409923e-07,91.46153846153847,4.538461538461538,0.0,0.0,0.0,0.0,2.5538075160010263,3.9762288461553488,64.87004313620956,0.0,0.0,0.0,4.538461538461538,96.0,65,65,0,3.4580199982883624,5945.0,295.0,0.0,0.0,295.0,295.0,0.0,0,0
MPC-H24+QP,196.10358805557038,278.4498269961992,572.2287949027515,230.7988537151614,50.49845562137974,0.041185897435897414,30.725703181207447,0.0,0.0,1.0,472.5,0.0075971379647585754,542.4869869680604,0.05112546535163306,49.889408446731466,3.953846153846154,0.0,0.38077247685096033,92.04615384615384,3.953846153846154,0.0,0.0,0.2,0.07692307692307693,39.520635641002414,150.1755819227233,50.45607689598864,0.04237872539110624,0.0,0.0,3.953846153846154,96.0,65,65,0,54.812824997495234,5983.0,257.0,0.0,0.0,257.0,257.0,0.0,13,5
MPC-H24-FRR+QP,196.74843714661054,279.34702188918124,575.1535741411076,234.95844669505382,51.657862724034445,0.04326923076923075,31.799257778310285,0.0,0.0,1.0,472.5,0.007801400401099177,579.4414486057376,0.6910005088712452,88.55650463187467,4.153846153846154,0.0,0.36538958817036377,91.84615384615384,4.153846153846154,0.0,0.0,0.0,0.0,22.734459246809514,62.98162384574915,51.657862724034445,0.0,0.0,0.0,4.153846153846154,96.0,65,65,0,35.29602499947941,5970.0,270.0,0.0,0.0,270.0,270.0,0.0,0,0
PPO-QP,199.6180733752752,293.06888275454395,590.4262913607407,229.2162713745312,42.24492823376603,0.03314102564102562,25.156223927497802,0.0,0.0,1.0,472.5,1.8879001510631952,439.4066265656421,0.6327877355168361,80.462652409216,3.1815384615384614,0.0,0.5387648541870089,92.81846153846153,3.1815384615384614,0.0,0.0,0.0,0.0,2.4611259198846733,3.689917692094101,42.24492823376603,0.0,0.0,0.0,3.1815384615384614,96.0,325,65,5,3.2553299985011104,30166.0,1034.0,0.0,0.0,1034.0,1034.0,0.0,0,0
PPO-QP-no-penalty,199.7847206095457,293.27658779715296,589.9808246855016,229.2162713745276,41.43199696749602,0.03269230769230767,24.76353585330244,0.0,0.0,1.0,472.5,1.9356869000743067,424.1007454417698,0.6460983936720044,80.37961420139054,3.1384615384615384,0.0,0.5607244037257042,92.86153846153846,3.1384615384615384,0.0,0.0,0.0,0.0,2.333613647401646,3.489589307573624,41.43199696749602,0.0,0.0,0.0,3.1384615384615384,96.0,325,65,5,3.094225001041195,30180.0,1020.0,0.0,0.0,1020.0,1020.0,0.0,0,0
