controller,seed,episode,episode_seed,training_day,ending_update,ending_transition,service_failure,steps,cost,carbon,task_score,terminal_soc_kwh,terminal_soc_error_kwh,terminal_target_conflict_steps,terminal_roundoff_repair_steps,terminal_ramp_relaxation_steps,soc_violation_rate,soc_violation_steps,ev_completion,final_ev_remaining,lighting_energy_kwh,grid_excess_energy_kwh
PPO-QP,20260806,0,20260906,207,1,96,0,96,228.6561075454585,356.84591750384624,666.1060762791636,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260806,1,20261901,9,1,192,0,96,246.13670622054636,335.66818456826087,629.9354202630532,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.220446049250313e-16,472.5,0.0
PPO-QP,20260806,2,20261997,4,1,288,0,96,204.68352329755047,311.36941233201685,581.837839920189,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260806,3,20262093,42,1,384,0,96,125.52062356073714,164.7768953623552,369.4539820939701,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.6653345369377348e-16,472.5,59.335682675987634
PPO-QP,20260806,4,20262189,125,1,480,0,96,150.26865175907125,252.06792794029056,664.552875645235,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.220446049250313e-16,472.5,194.89603925765007
PPO-QP,20260806,5,20262285,58,2,576,0,96,196.57780575516034,246.36456572932366,467.2656901199782,125.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,472.5,3.070600987171195
PPO-QP,20260806,6,20261969,14,2,672,0,96,128.37587592663164,171.7422375560304,577.2890272056201,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.7755575615628914e-16,472.5,254.4573567635711
PPO-QP,20260806,7,20262065,112,2,768,0,96,120.05266026035666,121.58019292556483,981.2913688853616,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,749.5781400856941
PPO-QP,20260806,8,20262161,224,2,864,0,96,136.51165749780887,238.30501379664122,840.4998923582939,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.220446049250313e-16,472.5,396.90946288177486
PPO-QP,20260806,9,20262257,231,2,960,0,96,134.89777529689718,226.94851887077715,880.0245843206244,125.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,472.5,457.1831036508057
PPO-QP,20260806,10,20262353,89,3,1056,0,96,164.12393980763008,166.33717421349868,560.1478878729874,125.0,0.0,0.0,0,2,0.0,0.0,1.0,1.1102230246251565e-16,472.5,243.38384036806337
PPO-QP,20260806,11,20262037,41,3,1152,0,96,201.44910800574073,265.02169982531285,497.8612182700391,125.0,0.0,0.0,0,1,0.0,0.0,1.0,5.551115123125783e-17,472.5,0.0
PPO-QP,20260806,12,20262133,232,3,1248,0,96,259.2933827354756,429.88215580857246,800.4344226709317,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260806,13,20262229,191,3,1344,0,96,186.53400833971205,279.0079170681978,552.8506341594833,125.0,0.0,0.0,0,2,0.0,0.0,1.0,1.1102230246251565e-16,472.5,30.861632523805767
PPO-QP,20260806,14,20262325,169,3,1440,0,96,172.75683290413284,240.0378801738334,455.4520460524656,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,5.064675721748727
PPO-QP,20260806,15,20262421,71,3,1536,0,96,166.58496032154747,216.41713425545552,461.64900416280017,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,54.50159841231278
PPO-QP,20260806,16,20262517,229,4,1632,0,96,218.652756003828,339.03374972618576,632.9921026399116,125.0,0.0,0.0,0,1,0.0,0.0,1.0,5.551115123125783e-17,472.5,0.0
PPO-QP,20260806,17,20262201,198,4,1728,0,96,189.28397158245463,312.253788202535,583.3570632007221,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,1.3724736552936867
PPO-QP,20260806,18,20262297,185,4,1824,0,96,198.97773613450642,284.3760613105811,532.6163358572812,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.6653345369377348e-16,472.5,0.0
PPO-QP,20260806,19,20262393,212,4,1920,0,96,208.22433006670016,348.7727706906784,649.4761385952195,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260806,20,20262489,96,4,2016,0,96,165.62677754772923,153.17257987644123,377.787519195717,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,84.59758223619502
PPO-QP,20260806,21,20262585,157,5,2112,0,96,206.65390758435936,264.82517025162855,498.69170057276074,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.31526211521344066
PPO-QP,20260806,22,20262269,232,5,2208,0,96,258.7775497957453,430.3035529567975,801.5099926233199,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.7755575615628914e-16,472.5,0.2761971132648155
PPO-QP,20260806,23,20262365,233,5,2304,0,96,209.22748995496042,372.6764249642982,704.1778784050694,125.0,0.0,0.0,0,1,0.0,0.0,1.0,3.885780586188048e-16,472.5,11.375839599764832
PPO-QP,20260806,24,20262461,177,5,2400,0,96,166.157860357994,242.43948528411423,454.01468660491673,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260806,25,20262557,94,5,2496,0,96,203.98073277561525,196.02387837677077,374.1529941557111,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.1102230246251565e-16,472.5,0.0
PPO-QP,20260806,26,20262653,224,6,2592,0,96,136.88914805665095,238.39063820510736,815.4427556046822,125.0,0.0,0.0,1,1,0.0,0.0,1.0,2.220446049250313e-16,472.5,371.7735718514051
PPO-QP,20260806,27,20262337,72,6,2688,0,96,166.28626227316187,209.34818554739735,588.5463368728648,125.0,0.0,0.0,1,2,0.0,0.0,1.0,3.3306690738754696e-16,472.5,194.1942189968557
PPO-QP,20260806,28,20262433,89,6,2784,0,96,164.56934955397347,170.26405055954945,573.1181556441101,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.220446049250313e-16,472.5,249.4025554843077
PPO-QP,20260806,29,20262529,219,6,2880,0,96,204.11374409992902,345.9753377777644,644.1302264588268,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260806,30,20262625,63,6,2976,0,96,123.3256652118833,164.89431179408336,735.1110024906753,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,425.17692114907055
PPO-QP,20260806,31,20262721,100,6,3072,0,96,158.58529439782262,150.05762898718808,421.7476542853903,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,134.9624968897554
PPO-QP,20260806,32,20262817,195,7,3168,0,96,159.61809160419998,251.70164955278352,779.3466377858708,125.0,0.0,0.0,1,1,0.0,0.0,1.0,2.220446049250313e-16,472.5,309.5515079603764
PPO-QP,20260806,33,20262501,220,7,3264,0,96,312.1110140838759,348.6573227864364,659.5097459233918,125.0,0.0,0.0,0,1,0.0,0.0,1.0,5.551115123125783e-17,472.5,0.0
PPO-QP,20260806,34,20262597,141,7,3360,0,96,181.11078101950088,294.79806720550124,556.4201800870093,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,7.059767620446536
PPO-QP,20260806,35,20262693,26,7,3456,0,96,191.033993751775,277.17305086757483,523.8334307522852,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.1102230246251565e-16,472.5,4.779140093679403
PPO-QP,20260806,36,20262789,156,7,3552,0,96,193.67216486764192,244.13817921483172,461.1076640578182,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,1.2597597273302443
PPO-QP,20260806,37,20262885,58,8,3648,0,96,196.47005870137406,247.1719794863821,468.544002201321,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,3.0706010604022267
PPO-QP,20260806,38,20262569,194,8,3744,0,96,335.22101727992646,436.00423166002673,819.9928956971241,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260806,39,20262665,84,8,3840,0,96,148.90234383246772,153.46610845760142,459.0463421090172,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.7755575615628914e-16,472.5,166.86610362532954
PPO-QP,20260806,40,20262761,189,8,3936,0,96,135.24255362858838,193.01999376827996,790.8165588230355,125.0,0.0,0.0,0,2,0.0,0.0,1.0,0.0,472.5,428.98753191410555
PPO-QP,20260806,41,20262857,124,8,4032,0,96,273.915966337253,408.78774645089794,763.7794872350208,125.0,0.0,0.0,0,1,0.0,0.0,1.0,3.3306690738754696e-16,472.5,0.0
PPO-QP,20260806,42,20262953,75,9,4128,0,96,165.94375367047766,193.613249656654,572.2133280005055,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,206.26418128401218
PPO-QP,20260806,43,20262637,207,9,4224,0,96,226.99679130011697,353.38557711028585,659.7944141868539,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260806,44,20262733,44,9,4320,0,96,191.49540281364003,267.78626155469675,506.3008747454932,125.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,472.5,4.158928950066982
PPO-QP,20260806,45,20262829,4,9,4416,0,96,207.68864218073298,314.3531593429399,588.566586411875,125.0,0.0,0.0,0,1,0.0,0.0,1.0,2.220446049250313e-16,472.5,1.006742695801504
PPO-QP,20260806,46,20262925,49,9,4512,0,96,127.20654335888318,171.13428630582644,367.94293971981733,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,46.20194652816731
PPO-QP,20260806,47,20263021,62,9,4608,0,96,161.24718873065865,218.8238244327007,464.695491956527,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,53.79925512267513
PPO-QP,20260806,48,20263117,199,10,4704,0,96,194.1236539195652,315.48316390516385,588.3232563939598,125.0,0.0,0.0,0,1,0.0,0.0,1.0,0.0,472.5,0.0
PPO-QP,20260806,49,20262801,155,10,4800,0,96,188.6705364966099,226.94573271880498,433.00385485343634,125.0,0.0,0.0,0,1,0.0,0.0,1.0,1.1102230246251565e-16,472.5,4.621956730242224
