metric,original_mean,export_priority_mean,mean_difference_export_priority_minus_original,day_cluster_ci_lower,day_cluster_ci_upper
cost,196.1035880555704,195.95589817010404,-0.14768988546635914,-0.23776372658687217,-0.06769072214726599
carbon,278.4498269961992,278.3198376451968,-0.12998935100236245,-0.21829017563791714,-0.0497318097673671
task_score,572.2287949027515,572.3356275073814,0.10683260462987111,-0.6513580846913521,0.9697117361763397
peak,230.79885371516144,230.88117270517378,0.08231899001238634,-0.0701225133135744,0.31707948338989594
grid_excess_energy_kwh,50.49845562137974,50.85484815241005,0.35639253103030094,-0.3596856347613066,1.1754992406295888
grid_export_violation_kwh,50.45607689598864,50.81246942701894,0.35639253103030094,-0.3831932075520209,1.1641289131825867
ramp_slack_kw_mean,0.05112546535163306,0.04930361835548864,-0.0018218469961444191,-0.012278226655973494,0.006812684352510562
max_ramp_kw,49.889408446731466,49.66230760946735,-0.22710083726412236,-1.3353202082817663,0.6540176965326997
