run,episodes,cost_mean,carbon_mean,task_score_mean,peak_mean_kw,export_excess_mean_kwh_day,import_excess_mean_kwh_day,ramp_slack_mean_kw,mean_daily_maximum_ramp_kw,phase1_failures,phase2_fallback_to_phase1,final_time_limit_accepted_calls,elapsed_seconds
initial_frozen_run,65,195.95589817010404,278.3198376451968,572.4758838667678,230.88117270517378,50.953043324842156,0.04237872539110623,0.05339636078973577,50.10741434505454,14,3,5,436.3182846999989
stage_logging_rerun,65,195.95589817010404,278.3198376451968,572.3356275073814,230.88117270517378,50.81246942701894,0.04237872539110623,0.04930361835548864,49.66230760946735,15,15,27,514.7017522999959
