seed,controller,update,transitions,mean_training_reward,terminal_roundoff_repair,terminal_ramp_relaxation,terminal_target_conflict_step,cumulative_completed_episodes,cumulative_service_failure_episodes,partial_episode_steps,partial_episode_soc_kwh,partial_episode_ev_remaining_kwh,partial_episode_terminal_conflict_steps,partial_episode_roundoff_repair_steps
20260805,PPO-QP,1,512,-5.896808222844772,0,5,0,5,0,32,25.0,2.9827923464509354e-10,0.0,0
20260805,PPO-QP,2,1024,-5.294559098982006,0,5,0,10,0,64,49.54834682707825,2.977382229651937e-10,0.0,0
20260805,PPO-QP,3,1536,-6.780773232724835,0,6,0,16,0,0,125.0,51.30169850340147,0.0,0
20260805,PPO-QP,4,2048,-5.969008108159628,0,5,0,21,0,32,25.0,3.0045566035141746e-10,0.0,0
20260805,PPO-QP,5,2560,-7.879160927683183,0,5,0,26,0,64,222.52830888592308,3.0117064397927606e-10,0.0,0
20260805,PPO-QP,6,3072,-5.779557768129607,0,6,0,32,0,0,125.0,30.270710011850202,0.0,0
20260805,PPO-QP,7,3584,-7.144167746441356,0,5,0,37,0,32,25.0,2.98691016364927e-10,0.0,0
20260805,PPO-QP,8,4096,-6.187649044176652,0,5,0,42,0,64,224.6614246559559,3.001273674030358e-10,0.0,0
20260805,PPO-QP,9,4608,-6.948959612898978,0,6,0,48,0,0,125.0,40.69895092069404,0.0,0
20260805,PPO-QP,10,5120,-7.538533238523148,0,5,0,53,0,32,25.0,3.0389873950653623e-10,0.0,0
20260805,PPO-QP,11,5632,-5.36690897434959,0,5,0,58,0,64,81.42870993079262,2.9943608703675295e-10,0.0,0
20260805,PPO-QP,12,6144,-6.333123553533836,0,6,0,64,0,0,125.0,38.95350828449604,0.0,0
20260805,PPO-QP,13,6656,-7.460454071876621,0,5,0,69,0,32,25.0,3.0008834306372023e-10,0.0,0
20260805,PPO-QP,14,7168,-7.235287815257564,0,5,0,74,0,64,203.0358257210517,2.992674996704636e-10,0.0,0
20260805,PPO-QP,15,7680,-6.412600218806096,0,6,0,80,0,0,125.0,41.13578143472929,0.0,0
20260805,PPO-QP,16,8192,-7.0333514565300455,0,5,0,85,0,32,25.0,2.9995306238816966e-10,0.0,0
20260805,PPO-QP,17,8704,-6.868393939570717,0,5,0,90,0,64,127.52017757257883,2.9901925380215744e-10,0.0,0
20260805,PPO-QP,18,9216,-5.4606387073340175,0,6,0,96,0,0,125.0,35.362379351741154,0.0,0
20260805,PPO-QP,19,9728,-5.470161593355207,0,5,0,101,0,32,25.0,2.9885699470710847e-10,0.0,0
20260805,PPO-QP,20,10240,-6.772823826012846,0,5,0,106,0,64,166.91118385403965,3.0070246292979164e-10,0.0,0
20260805,PPO-QP,21,10752,-6.988365227142849,0,6,0,112,0,0,125.0,35.9593671564514,0.0,0
20260805,PPO-QP,22,11264,-5.798915465900473,0,5,0,117,0,32,25.0,2.9924568378802974e-10,0.0,0
20260805,PPO-QP,23,11776,-6.5215291162693285,0,5,0,122,0,64,25.0,2.9882374352752095e-10,0.0,0
20260805,PPO-QP,24,12288,-6.806849895316316,0,6,0,128,0,0,125.0,51.53836550220845,0.0,0
20260805,PPO-QP,25,12800,-5.592031179516674,0,5,0,133,0,32,25.0,3.0064706280086284e-10,0.0,0
20260805,PPO-QP,26,13312,-6.793811478718929,0,5,0,138,0,64,25.0,2.9444968685510275e-10,0.0,0
20260805,PPO-QP,27,13824,-5.88100090126323,0,6,0,144,0,0,125.0,50.934778532908474,0.0,0
20260805,PPO-QP,28,14336,-6.098432978513607,0,5,0,149,0,32,25.0,3.019521299663097e-10,0.0,0
20260805,PPO-QP,29,14848,-6.7132560183492895,0,5,0,154,0,64,33.71195000073071,3.003303161719373e-10,0.0,0
20260805,PPO-QP,30,15360,-7.329404769684139,0,6,0,160,0,0,125.0,34.20280088298937,0.0,0
20260805,PPO-QP,31,15872,-6.363102359554767,0,5,0,165,0,32,25.0,2.99461067054807e-10,0.0,0
20260805,PPO-QP,32,16384,-6.6741114834338315,0,5,0,170,0,64,25.0,3.0064639666704807e-10,0.0,0
20260805,PPO-QP,33,16896,-5.770247280120684,0,6,0,176,0,0,125.0,36.664965786213905,0.0,0
20260805,PPO-QP,34,17408,-5.5992068422683685,0,5,0,181,0,32,25.0,3.010144355997113e-10,0.0,0
20260805,PPO-QP,35,17920,-5.960713247715204,0,5,0,186,0,64,101.29391149477901,3.009412719023885e-10,0.0,0
20260805,PPO-QP,36,18432,-6.4104529035527476,0,6,0,192,0,0,125.0,42.43528303603547,0.0,0
