controller,seed,day,step,p,soc,grid_import,grid_export,grid_violation,qp_execution_path,endpoint_minimum_violation_kw,endpoint_infeasible,feasible_state_violation,extra_excess_energy_kwh_step,power_lower_kw,power_upper_kw,ev_lower_fraction,ev_upper_fraction,base_load_minus_pv_kw,lighting_kw,soc_kwh,target_kwh,remaining_steps,physical_lower_kw,physical_upper_kw,terminal_lower_kw,terminal_upper_kw,terminal_physical_gap_kw,tolerance_kw,terminal_roundoff_repair,terminal_ramp_relaxation,terminal_ramp_gap_kw,terminal_target_conflict_step,mpc_status,mpc_fallback,runtime_ms
PPO-QP,20260807,300,0,-12.776158954066986,128.0343377515909,177.0076693727081,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,45.0,0.0,1.0,97.70998765905667,30.0,125.0,125.0,96,-100.0,100.0,-421.0526315789474,380.0,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,145.27059999818448
PPO-QP,20260807,300,1,-11.326263576795064,130.72432535107973,176.90231122327435,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-57.776158954066986,32.223841045933014,0.0,1.0,100.75670270104425,30.0,128.0343377515909,125.0,95,-100.0,100.0,-408.27647262488045,391.5304834560454,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.307199996721465
PPO-QP,20260807,300,2,-6.279864532430792,132.21579317753205,162.5049881139158,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-56.326263576795064,33.673736423204936,0.0,1.0,91.36008812038865,30.0,130.72432535107973,125.0,94,-100.0,100.0,-396.95020904808536,401.7524363341029,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.473599997756537
PPO-QP,20260807,300,3,2.9449931426727387,131.44079498209186,158.4086284775976,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-51.27986453243079,38.72013546756921,0.0,0.5599641738997821,97.75577123237075,30.0,132.21579317753205,125.0,93,-100.0,100.0,-390.67034451565456,407.42001407462175,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.0708000010927208
PPO-QP,20260807,300,4,8.57628331413287,129.18387832047796,119.63201295101229,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-42.055006857327264,47.944993142672736,0.0,7.681222768951557e-10,98.20829624415647,30.0,131.44079498209186,125.0,92,-100.0,100.0,-393.9334948122448,404.475020931949,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.5605000046198256
PPO-QP,20260807,300,5,10.461538807013994,126.43084179231639,118.8053804150494,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-36.423716685867134,53.576283314132866,0.0,4.183110413613633e-10,99.2669192220634,30.0,129.18387832047796,125.0,91,-100.0,100.0,-403.43630180851386,395.8987376178162,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.6654000030248426
PPO-QP,20260807,300,6,18.937531353094066,121.44728090992321,107.15479176248988,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-34.538461192986006,55.461538807013994,0.0,4.183110413613633e-10,96.09232311558395,30.0,126.43084179231639,125.0,90,-100.0,100.0,-415.02803455866785,385.4371988108023,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.9990000000689179
PPO-QP,20260807,300,7,34.40653245964877,112.39293026264721,90.90477349604132,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-26.062468646905934,63.937531353094066,0.0,4.183110413613633e-10,95.31130595538151,30.0,121.44728090992321,125.0,89,-100.0,100.0,-436.01144880032336,366.4996674577082,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.0447999995667487
PPO-QP,20260807,300,8,22.225812832778903,106.54403214875802,95.20687203280502,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-10.593467540351227,79.40653245964877,0.0,4.131681552443922e-10,87.4326848651259,30.0,112.39293026264721,125.0,88,-100.0,100.0,-474.1350304730644,332.0931349980594,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.6713999977800995
PPO-QP,20260807,300,9,19.431633457058897,101.43044439690041,102.60012934537552,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-22.774187167221097,67.2258128327789,0.0,4.055345392828258e-10,92.03176280243441,30.0,106.54403214875802,125.0,87,-100.0,100.0,-498.76196989996623,309.8673221652805,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.9482999996398576
PPO-QP,20260807,300,10,20.90802330836987,95.92833299996097,100.3195513703329,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-25.568366542941103,64.4316334570589,0.0,4.055345392828258e-10,91.22757467870277,30.0,101.43044439690041,125.0,86,-100.0,100.0,-520.2928656972614,290.43568870822156,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.3402000006171875
PPO-QP,20260807,300,11,38.60444441976452,85.7692686789703,84.10092912785589,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-24.09197669163013,65.90802330836988,0.0,4.055345392828258e-10,92.70537354762041,30.0,95.92833299996097,125.0,85,-100.0,100.0,-543.4596505264802,269.5276653998517,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.9000999964191578
PPO-QP,20260807,300,12,37.82538903849615,75.81521893199763,85.9687268439294,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-6.395555580235481,83.60444441976452,0.0,4.055345392828258e-10,93.79411588242556,30.0,85.7692686789703,125.0,84,-100.0,100.0,-586.2346581938092,230.92322098008717,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.111699999659322
PPO-QP,20260807,300,13,45.52458967858208,63.8350637534234,75.64064222893285,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-7.174610961503852,82.82538903849616,0.0,4.055345392828258e-10,91.16523190751492,30.0,75.81521893199763,125.0,83,-100.0,100.0,-628.1464466021152,193.097831941591,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.3240000009536743
PPO-QP,20260807,300,14,60.42772563892657,47.93303069054799,69.42293262331964,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,0.5245896785820818,90.52458967858209,0.0,4.055345392828258e-10,99.85065826224623,30.0,63.8350637534234,125.0,82,-100.0,100.0,-678.5892052487436,147.5732422630089,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.2764000023016706
PPO-QP,20260807,300,15,76.879725022868,27.701524105582724,47.44715173678364,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,15.427725638926567,87.14551662408235,0.0,4.055345392828258e-10,94.32687675870197,30.0,47.93303069054799,125.0,81,-100.0,87.14551662408235,-745.5451339345349,87.14551662408235,-187.14551662408235,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.9735000023501925
