version,controller,seed,budget,day,step,soc_before_kwh,power_lower_kw,power_upper_kw,raw_power_kw,executed_power_kw,soc_after_kwh,qp_path,terminal_lower_kw,terminal_upper_kw,terminal_physical_gap_kw,soc_kwh,target_kwh,remaining_steps,physical_lower_kw,physical_upper_kw,tolerance_kw,terminal_roundoff_repair,terminal_ramp_relaxation,terminal_ramp_gap_kw
old,PPO-QP-no-penalty,20260806,15,259,0,125.0,-45.0,45.0,4.942737547445065,4.942737662840128,123.6992795624105,hard_qp_solution,-421.0526315789474,380.0,-200.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,1,123.6992795624105,-40.05726233715987,49.94273766284013,7.067352478360924,7.067352595329448,121.83944993206065,hard_qp_solution,-426.5293492109032,375.05726233715984,-200.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,2,121.83944993206065,-37.932647404670554,52.067352595329446,4.632426072549635,4.6324261811384195,120.62039041070842,hard_qp_solution,-434.36021081237624,367.98990974183045,-200.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,3,120.62039041070842,-40.36757381886158,49.63242618113842,2.2649657961240703,2.2649657971383963,120.02434677988253,hard_qp_solution,-439.4930930075435,363.357483560692,-200.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,4,120.02434677988253,-42.735034202861605,47.264965797138395,5.272445727762771,5.272445739793652,118.63686105888421,hard_qp_solution,-442.0027504004946,361.09251776355364,-200.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,5,118.63686105888421,-39.72755426020635,50.27244573979365,17.46334799169852,17.463348004090236,114.04124316307099,hard_qp_solution,-447.8447955415402,355.82007202375996,-200.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,6,114.04124316307099,-27.536651995909764,62.463348004090236,25.21770336744168,25.217703379257284,107.40500543168748,hard_qp_solution,-467.1947656291748,338.35672401966974,-200.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,7,107.40500543168748,-19.782296620742716,70.21770337925729,19.852224071263958,19.852224083429732,102.18073593604808,hard_qp_solution,-495.1368192350001,313.1390206404124,-200.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,8,102.18073593604808,-25.147775916570268,64.85222408342973,27.851004752085785,27.851004763829927,94.85152415609284,hard_qp_solution,-517.133743427166,293.28679655698267,-200.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,9,94.85152415609284,-17.148995236170073,72.85100476382993,35.09820349340623,35.09820350503206,85.61515481266335,hard_qp_solution,-547.9935825006618,265.43579179315276,-200.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,10,85.61515481266335,-9.90179649496794,80.09820350503206,46.26939753813924,46.26939754971423,73.43899756273855,hard_qp_solution,-586.8835586835228,230.3375882881207,-200.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,11,73.43899756273855,1.2693975497142276,91.26939754971423,46.41460186593554,46.41460187792547,61.224628647495,hard_qp_solution,-638.1515892095218,184.06819073840649,-200.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,12,61.224628647495,1.4146018779254703,91.41460187792546,60.280752503192794,60.280752514818744,45.3612727225427,hard_qp_solution,-689.5805109579159,137.653588860481,-200.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,13,45.3612727225427,15.280752514818744,77.37283634566226,61.34931186277761,61.34931187644338,29.216716965583917,hard_qp_solution,-756.3735885366623,77.37283634566226,-177.37283634566228,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,14,29.216716965583917,-100.0,16.023524469218884,61.21127864669739,16.023524469218884,25.0,hard_qp_solution,-824.3506654080678,16.023524469218884,-116.02352446921888,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,15,25.0,-28.976475530781116,0.0,57.27422860166247,0.0,25.0,hard_qp_solution,-842.1052631578948,0.0,-100.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,16,25.0,-45.0,0.0,55.29933159846826,0.0,25.0,hard_qp_solution,-842.1052631578948,0.0,-100.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,17,25.0,-45.0,0.0,57.791681991630384,0.0,25.0,hard_qp_solution,-842.1052631578948,0.0,-100.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,18,25.0,-45.0,0.0,42.340794562368266,0.0,25.0,hard_qp_solution,-842.1052631578948,0.0,-100.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,19,25.0,-45.0,0.0,34.81210794778935,0.0,25.0,hard_qp_solution,-842.1052631578948,0.0,-100.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,20,25.0,-45.0,0.0,15.255282782493811,0.0,25.0,hard_qp_solution,-842.1052631578948,0.0,-100.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,21,25.0,-45.0,0.0,13.002503109401697,0.0,25.0,hard_qp_solution,-842.1052631578948,0.0,-100.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,22,25.0,-45.0,0.0,5.907502729316063,0.0,25.0,hard_qp_solution,-842.1052631578948,0.0,-100.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,23,25.0,-45.0,0.0,5.704607277663805,0.0,25.0,hard_qp_solution,-842.1052631578948,0.0,-100.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,24,25.0,-45.0,0.0,0.3135045218072798,0.0,25.0,hard_qp_solution,-842.1052631578948,0.0,-100.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,25,25.0,-45.0,0.0,10.424186365478318,0.0,25.0,hard_qp_solution,-842.1052631578948,0.0,-100.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,26,25.0,-45.0,0.0,10.192514989221708,0.0,25.0,hard_qp_solution,-842.1052631578948,0.0,-100.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,27,25.0,-45.0,0.0,45.19829594345355,0.0,25.0,hard_qp_solution,-842.1052631578948,0.0,-100.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,28,25.0,-45.0,0.0,20.49506539997506,0.0,25.0,hard_qp_solution,-842.1052631578948,0.0,-100.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,29,25.0,-45.0,0.0,36.608958554504525,0.0,25.0,hard_qp_solution,-842.1052631578948,0.0,-100.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,30,25.0,-45.0,0.0,30.041836485092468,0.0,25.0,hard_qp_solution,-842.1052631578948,0.0,-100.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,31,25.0,-45.0,0.0,29.45235340255869,0.0,25.0,hard_qp_solution,-842.1052631578948,0.0,-100.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,32,25.0,-45.0,0.0,11.372223826545538,-43.99995936334031,35.44999034879332,phase2_solution,-842.1052631578948,0.0,-100.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,33,35.44999034879332,-88.99995936334031,1.0000406366596906,5.017319292407881,-41.63821254508927,45.33906582825202,hard_qp_solution,-798.1053037945544,39.70996332541462,-139.7099633254146,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,34,45.33906582825202,-86.63821254508926,3.3617874549107327,11.120050250396664,-30.717393108820957,52.63444669159699,hard_qp_solution,-756.4670912494652,77.28845014735766,-177.28845014735765,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,35,52.63444669159699,-75.71739310882096,14.282606891179043,4.855199544926554,-16.2442858255891,56.4924645751744,hard_qp_solution,-725.7496981406442,105.01089742806856,-200.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,36,56.4924645751744,-61.2442858255891,28.7557141744109,8.287390162059328,-60.24218046749621,70.79998243620476,phase2_solution,-709.5054123150552,119.67136538566272,-200.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,37,70.79998243620476,-100.0,-15.242180467496212,5.1261691114774255,-80.3385417218487,89.88038609514382,hard_qp_solution,-649.263231847559,174.03993325757807,-200.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,38,89.88038609514382,-100.0,-35.3385417218487,-7.147270625557615,-95.64860064692171,112.59692874878772,hard_qp_solution,-568.9246901257103,246.5454671615465,-200.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,39,112.59692874878772,-100.0,-50.64860064692171,-2.4321598838031853,-98.99951360501144,136.10931322997794,phase2_solution,-473.27608947878855,332.86832924539334,-200.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,40,136.10931322997794,-100.0,-53.999513605011444,5.2753448316447695,-98.99938923781583,159.6216681739592,phase2_solution,-374.2765758737771,422.21539027391617,-200.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,41,159.6216681739592,-100.0,-53.999389237815834,-4.564683978192301,-98.99934824923726,183.13401338315305,phase2_solution,-275.2771866359613,511.5623390610449,-200.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,42,183.13401338315305,-100.0,-53.99934824923726,-13.998047668491731,-91.60819405964789,204.89095947231942,hard_qp_solution,-176.27783838672403,600.9092508559816,-200.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,43,204.89095947231942,-84.66964432707611,-46.608194059647886,1.3039563492546105,-83.6691355564827,224.76237916698406,phase2_solution,-84.66964432707611,683.5856459948138,-184.66964432707613,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,44,224.76237916698406,-1.0005087705934257,100.0,-4.213815907628702,-1.0005087705934257,225.0,phase2_solution,-1.0005087705934257,759.0970408345394,-101.00050877059343,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,45,225.0,-0.0,43.99949122940657,-11.726191971583665,-0.0,225.0,phase2_solution,0.0,760.0,-100.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,46,225.0,-0.0,45.0,-36.49440353255745,-0.0,225.0,phase2_solution,0.0,760.0,-100.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,47,225.0,-0.0,45.0,-15.618528350386107,-0.0,225.0,phase2_solution,0.0,760.0,-100.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,48,225.0,-0.0,45.0,-10.598801468987833,-0.0,225.0,phase2_solution,0.0,760.0,-100.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,49,225.0,-0.0,45.0,-0.21474262142030945,-0.0,225.0,phase2_solution,0.0,760.0,-100.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,50,225.0,-0.0,45.0,-17.58384666458476,-0.0,225.0,phase2_solution,0.0,760.0,-100.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,51,225.0,-0.0,45.0,0.12237450897209087,-0.0,225.0,phase2_solution,0.0,760.0,-100.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,52,225.0,-0.0,45.0,0.8115401078120212,-0.0,225.0,phase2_solution,0.0,760.0,-100.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,53,225.0,-0.0,45.0,10.430330735932221,0.9999870198459511,224.73684552109316,phase2_solution,0.0,760.0,-100.0,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,54,224.73684552109316,-1.1080188585551218,45.99998701984595,15.612268185871942,-0.10829520045096828,224.76256563120026,phase2_solution,-1.1080188585551218,759.000012980154,-101.10801885855513,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,55,224.76256563120026,-0.9997236581041666,44.89170479954903,20.559737412161706,0.0006649666111054926,224.76239063998682,phase2_solution,-0.9997236581041666,759.097749398561,-100.99972365810417,,,,,,,,,
old,PPO-QP-no-penalty,20260806,15,259,56,224.76239063998682,-1.0004604632133938,45.000664966611104,34.77115184362663,-0.00046209563162855294,224.76250038769933,phase2_solution,-1.0004604632133938,759.0970844319498,-101.0004604632134,,,,,,,,,
