comparator,method,mean_difference,ci_lower,ci_upper,day_clusters,fixed_trained_seeds,bootstrap_replicates,rng_seed,contains_zero
Rule+QP,day_cluster,23.84746970271849,19.944826803105904,27.82434296962005,65,5,20000,20260908,False
Rule+QP,circular_block_7,23.84746970271849,19.35165890322836,28.485539784095813,65,5,20000,20260908,False
Rule+QP,circular_block_14,23.84746970271849,18.792401894182728,29.061277728532485,65,5,20000,20260908,False
NetLoadRule+QP,day_cluster,-1.138075026620068,-3.7083550807546297,1.5669795913210849,65,5,20000,20260908,True
NetLoadRule+QP,circular_block_7,-1.138075026620068,-3.692619467501899,1.508707498852373,65,5,20000,20260908,True
NetLoadRule+QP,circular_block_14,-1.138075026620068,-3.371296464052273,1.0556335750931385,65,5,20000,20260908,True
MPC-H24+QP,day_cluster,-1.582582340630216,-6.126700828406721,3.07169134903805,65,5,20000,20260908,True
MPC-H24+QP,circular_block_7,-1.582582340630216,-8.661616325468644,5.723382721415964,65,5,20000,20260908,True
MPC-H24+QP,circular_block_14,-1.582582340630216,-10.278146810723786,7.461666055557977,65,5,20000,20260908,True
MPC-H24-FRR+QP,day_cluster,-5.742175320522648,-9.946137420337717,-1.4669134656414822,65,5,20000,20260908,False
MPC-H24-FRR+QP,circular_block_7,-5.742175320522648,-11.899271733383491,0.5151650104479694,65,5,20000,20260908,True
MPC-H24-FRR+QP,circular_block_14,-5.742175320522648,-13.164766177097846,1.943981690917764,65,5,20000,20260908,True
PPO-QP-no-penalty,day_cluster,3.6372791957826568e-12,-1.840917845514084e-13,1.1095673576514502e-11,65,5,20000,20260908,True
PPO-QP-no-penalty,circular_block_7,3.6372791957826568e-12,-2.1251130769647158e-13,1.1070828629901649e-11,65,5,20000,20260908,True
PPO-QP-no-penalty,circular_block_14,3.6372791957826568e-12,-2.2623899335135683e-13,1.1012760891249992e-11,65,5,20000,20260908,True
MPC-H24-XP+QP,day_cluster,-1.6649013306426044,-6.129530411690548,2.933106327522657,65,5,20000,20260918,True
MPC-H24-XP+QP,circular_block_7,-1.6649013306426044,-8.729356202792884,5.6113451648131605,65,5,20000,20260920,True
MPC-H24-XP+QP,circular_block_14,-1.6649013306426044,-10.254640949536114,7.3193855045575145,65,5,20000,20260920,True
