controller,seed,day,step,p,soc,grid_import,grid_export,grid_violation,qp_execution_path,endpoint_minimum_violation_kw,endpoint_infeasible,feasible_state_violation,extra_excess_energy_kwh_step,power_lower_kw,power_upper_kw,ev_lower_fraction,ev_upper_fraction,base_load_minus_pv_kw,lighting_kw,soc_kwh,target_kwh,remaining_steps,physical_lower_kw,physical_upper_kw,terminal_lower_kw,terminal_upper_kw,terminal_physical_gap_kw,tolerance_kw,terminal_roundoff_repair,terminal_ramp_relaxation,terminal_ramp_gap_kw,terminal_target_conflict_step,mpc_status,mpc_fallback,runtime_ms,raw_battery_kw,raw_ev_fraction,executed_ev_fraction,action_correction,mpc_mip_gap,mpc_seconds,mpc_constraint_violation_max,mpc_message,soc_before,ev_before,price,carbon_signal,reward,ev_power_kw,correction,battery_proposal,battery_correction_squared,ev_proposal,ev_correction_squared,lighting_proposal,lighting_correction_squared,ramp_kw,ramp_slack_kw,forced_full_charge,charge_kwh
MPC-H24+QP,0,309,64,-1.7569431654793064e-09,224.99999999731995,168.0510405513708,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-1.3041436001290813e-08,100.0,0.0,0.0,160.55104054961384,7.5,224.99999999690263,125.0,32,-1.3041436001290813e-08,100.0,-1.3041436001290813e-08,759.9999999882301,-100.00000001304144,3.8e-08,0,0,0.0,0,0.0,0.0,20.27970000199275,-1.6228113963734362e-08,0.0,0.0,1.4471170798255056e-10,0.0,0.0166800000006333,4.5725811012231054e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,,,,,,,,,,
MPC-H24+QP,0,323,21,4.2612639526131875e-09,25.00000000181581,135.64224683912988,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-100.0,1.1161342428067654e-08,0.0,1.0,105.64224684047302,30.0,25.000000002937195,125.0,75,-100.0,1.1161342428067654e-08,-842.1052631455277,1.1161342428067654e-08,-100.00000001116136,3.8e-08,0,0,0.0,0,0.0,0.0,17.71759999974165,1.2367138424451696e-08,0.0,4.863537350630054e-11,1.2661800156261258e-10,0.0,0.0152264000062132,2.4909269313866392e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,,,,,,,,,,
MPC-H24+QP,0,326,35,11.469166121748584,25.0,90.31501877111958,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-100.0,11.469166121748584,0.0,0.0,94.28418489286815,7.5,28.01820161098647,125.0,61,-100.0,11.469166121748584,-829.3970458484781,11.469166121748584,-111.4691661217486,3.8e-08,0,0,0.0,0,0.0,0.0,18.164200002502184,11.469166121748586,0.0,0.0,2.775557561562892e-17,1.5197549069526846e-16,0.0156944000045768,1.6039862771322078e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,,,,,,,,,,
MPC-H24+QP,0,332,6,-3.843490252165664,224.9999999947588,132.13786395177246,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-3.843490274233965,100.0,0.0,1.0,98.2943736996068,30.0,224.08717105986943,125.0,90,-3.843490274233965,100.0,-3.843490274233965,756.5312500275038,-103.84349027423396,3.8e-08,0,0,0.0,0,0.0,0.0,15.543400004389696,-3.843490289225194,0.0,0.0,3.7059529750527176e-10,0.0001787712913566,0.0131270999991102,1.3876497462206316e-07,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,,,,,,,,,,
MPC-H24+QP,0,333,34,3.750000022872794,25.0,145.68435301935705,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-100.0,3.750000022872794,0.0,0.0,141.93435304222984,7.5,25.986842111282314,125.0,62,-100.0,3.750000022872794,-837.9501384788113,3.750000022872794,-103.7500000228728,3.8e-08,0,0,0.0,0,0.0,0.0,26.78880000166828,3.7500000228727934,0.0,0.0,6.938893903907228e-18,0.0,0.0241822000025422,1.6127240876073756e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,,,,,,,,,,
MPC-H24+QP,0,335,5,-43.02631578622722,224.9999999950339,169.5193396429272,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-43.02631580713715,100.0,0.0,1.0,96.4930238567,30.0,214.78124999580493,125.0,91,-43.02631580713715,100.0,-43.02631580713715,721.1687499840586,-143.02631580713717,3.8e-08,0,0,0.0,0,0.0,0.0,16.770800000813324,-43.02631582591278,0.0,0.0,3.9685560393465375e-10,1.8112900882415438e-16,0.0143502999999327,1.737950015012757e-07,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,,,,,,,,,,
MPC-H24+QP,0,339,40,19.87433741491969,25.0,77.42768244935614,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-100.0,19.87433741491969,0.0,0.0,89.80201986427583,7.5,30.23008879339992,125.0,56,-100.0,19.87433741491969,-820.0838366593688,19.87433741491969,-119.8743374149197,3.8e-08,0,0,0.0,0,0.0,0.0,28.27999999863096,19.87433741491969,0.0,0.0,0.0,0.0,0.0248540999964461,2.409447930062925e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,,,,,,,,,,
MPC-H24+QP,0,343,76,-4.431933006697738e-09,224.99999998917545,106.37188812551854,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-5.0009164528761946e-08,100.0,0.0,1.173394181819276e-09,76.37188809284422,30.0,224.9999999881228,125.0,20,-5.0009164528761946e-08,100.0,-5.0009164528761946e-08,759.9999999548667,-100.00000005000916,3.8e-08,0,0,0.0,0,0.0,0.0,9.248900001693984,-7.742053903233397e-08,0.0,4.707063072650897e-10,1.1912142425916095e-09,0.0,0.0063810999999986,3.311514671295009e-07,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,,,,,,,,,,
MPC-H24+QP,0,344,67,14.314092810288107,25.0,172.57508579721284,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-100.0,14.314092810288107,0.0,0.0,179.38917860750095,7.5,28.766866529023183,125.0,29,-100.0,14.314092810288107,-826.244772509376,14.314092810288107,-114.3140928102881,3.8e-08,0,0,0.0,0,0.0,0.0,17.553999998199288,14.31409282747214,0.0,0.0,1.718403197514817e-10,0.0,0.0148636000012629,4.522114238625363e-09,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,,,,,,,,,,
MPC-H24+QP,0,346,32,33.75000005159626,25.0,33.987848584533026,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-100.0,33.75000005159626,0.0,0.0,60.237848636129286,7.5,33.881578960946385,125.0,64,-100.0,33.75000005159626,-804.7091412170678,33.75000005159626,-133.75000005159626,3.8e-08,0,0,0.0,0,0.0,0.0,13.804499998514077,33.75000005159627,0.0,0.0,1.1102230246251563e-16,1.0759425138212506e-05,0.0108031999989179,1.559353535185437e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,,,,,,,,,,
