metric,mean_difference,method,ci_lower,ci_upper,rng_seed,day_clusters,bootstrap_replicates
cost,-0.14768988546635914,day_cluster,-0.23776372658687217,-0.06769072214726599,20260918,65,20000
carbon,-0.12998935100236245,day_cluster,-0.21829017563791714,-0.0497318097673671,20260918,65,20000
task_score,0.10683260462987111,day_cluster,-0.6513580846913521,0.9697117361763397,20260918,65,20000
peak,0.08231899001238634,day_cluster,-0.0701225133135744,0.31707948338989594,20260918,65,20000
grid_excess_energy_kwh,0.35639253103030094,day_cluster,-0.3596856347613066,1.1754992406295888,20260918,65,20000
grid_export_violation_kwh,0.35639253103030094,day_cluster,-0.3831932075520209,1.1641289131825867,20260918,65,20000
ramp_slack_kw_mean,-0.0018218469961444191,day_cluster,-0.012278226655973494,0.006812684352510562,20260918,65,20000
max_ramp_kw,-0.22710083726412236,day_cluster,-1.3353202082817663,0.6540176965326997,20260918,65,20000
cost,-0.14768988546635914,circular_block_7,-0.2372251818879115,-0.06000797446183762,20260920,65,20000
carbon,-0.12998935100236245,circular_block_7,-0.21987245826259036,-0.044516906803984825,20260920,65,20000
task_score,0.10683260462987111,circular_block_7,-0.6164700169921742,0.8076925434063951,20260920,65,20000
peak,0.08231899001238634,circular_block_7,-0.07012251320845779,0.3170794829912189,20260920,65,20000
grid_excess_energy_kwh,0.35639253103030094,circular_block_7,-0.3739006047781212,1.087805537113433,20260920,65,20000
grid_export_violation_kwh,0.35639253103030094,circular_block_7,-0.3739006047781212,1.087805537113433,20260920,65,20000
ramp_slack_kw_mean,-0.0018218469961444191,circular_block_7,-0.012278226639047582,0.006812684352362448,20260920,65,20000
max_ramp_kw,-0.22710083726412236,circular_block_7,-1.335320206929479,0.6540176960421104,20260920,65,20000
cost,-0.14768988546635914,circular_block_14,-0.2510637542625593,-0.039375285797675116,20260920,65,20000
carbon,-0.12998935100236245,circular_block_14,-0.23219836392860804,-0.029479565966873504,20260920,65,20000
task_score,0.10683260462987111,circular_block_14,-0.5310571555219757,0.647376786644768,20260920,65,20000
peak,0.08231899001238634,circular_block_14,-0.046748342260485305,0.31707948288108523,20260920,65,20000
grid_excess_energy_kwh,0.35639253103030094,circular_block_14,-0.32184659545106564,0.9505292971957642,20260920,65,20000
grid_export_violation_kwh,0.35639253103030094,circular_block_14,-0.32184659545106564,0.9505292971957642,20260920,65,20000
ramp_slack_kw_mean,-0.0018218469961444191,circular_block_14,-0.012278225977965976,0.0068126843388435,20260920,65,20000
max_ramp_kw,-0.22710083726412236,circular_block_14,-1.3353202068371297,0.654017696017202,20260920,65,20000
